Allakaghmeng aanumalghiit mangteghameng.

allakaghmeng	allakagh*[Quant_Qual][4Pl]

aanumalghiit	aane-@₁~:(i/u)ma[to.have.V-ed][to.have.been.V-ed][V→V]-@₁–lghii[the.one.that.V-ed][the.one.that.is.V][V→N][N][Abs][Unpd][Pl]
aanumalghiit	aane-@₁~:(i/u)ma[to.have.V-ed][to.have.been.V-ed][V→V]-@₁–lghii[the.one.that.V-ed][the.one.that.is.V][V→N][N][Rel][Unpd][Pl]
aanumalghiit	aane-@₁~:(i/u)ma[to.have.V-ed][to.have.been.V-ed][V→V][V][Intr][Ptcp][3Pl]

mangteghameng	mangteghagh[N][Rel][4DuPoss][SgPosd]
mangteghameng	mangteghagh[N][Rel][4DuPoss][PlPosd]
mangteghameng	mangteghagh[N][Rel][4PlPoss][SgPosd]
mangteghameng	mangteghagh[N][Rel][4PlPoss][PlPosd]
mangteghameng	mangteghagh[N][Abl_Mod][Unpd][Sg]

------------------------
Neghaqa perara ellnginaan.

neghaqa	negh-~(g₁)aqe[to.be.V.ing][to.regularly.or.repeatedly.V][V→V][V][Intr][Intrg][3Sg]
neghaqa	neghe-~(g₁)aqe[to.be.V.ing][to.regularly.or.repeatedly.V][V→V][V][Intr][Intrg][3Sg]
neghaqa	neghe[V][Trns][Ind][1Sg][3Sg]
neghaqa	negh[V][Trns][Ind][1Sg][3Sg]

perara	perara[N][Abs][Unpd][Sg]

ellnginaan	ellnginagh-~:(ng₁)u[to.be.N][N→V]-~:(u)te[condition.with.respect.to.V-ing][V→N][N][Abs][Unpd][Sg]
ellnginaan	ellnginagh[N][Rel][3SgPoss][SgPosd]
ellnginaan	ellnginagh[N][Rel][3SgPoss][PlPosd]
ellnginaan	ellnginagh*[Quant_Qual][3Sg]

------------------------
Sangavek atightughaqsin ingaghngaghpek eflugami.

sangavek	sa[V][Intr][CnsqI][2Sg]

atightughaqsin	atightugh-~(g₁)aqe[to.be.V.ing][to.regularly.or.repeatedly.V][V→V][V][Intr][Intrg][2Sg]

ingaghngaghpek	+?

eflugami	eflugagh[N][Loc][Unpd][Sg]
eflugami	eflugagh[N][Rel][4SgPoss][SgPosd]
eflugami	eflugagh[N][Rel][4SgPoss][PlPosd]

------------------------
Aghnalqwaaghaq kakilghii atkugmeng avaqutami mangteghaanituq.

aghnalqwaaghaq	+?

kakilghii	kaki-@₁–lghii[the.one.that.V-ed][the.one.that.is.V][V→N][N][Abs][Unpd][Sg]

atkugmeng	atkug[N][Rel][4DuPoss][SgPosd]
atkugmeng	atkug[N][Rel][4DuPoss][PlPosd]
atkugmeng	atkug[N][Rel][4PlPoss][SgPosd]
atkugmeng	atkug[N][Rel][4PlPoss][PlPosd]
atkugmeng	atkug[N][Abl_Mod][Unpd][Sg]

avaqutami	avaqutagh[N][Loc][Unpd][Sg]
avaqutami	avaqutagh[N][Rel][4SgPoss][SgPosd]
avaqutami	avaqutagh[N][Rel][4SgPoss][PlPosd]

