~+aatagh-	to V finally or repeatedly and persistently, several times	apparently not used with bases that end in a full vowel; iitghaataghtuq ‘it penetrated, went on into something’ (from itegh- ‘to enter’); kaataaghaghtuq ‘it got through (of sound, smell, news)’ (from kaate- ‘to arrive’); Taakut ilagaatet atughaataghaqiit, … ‘They’d sing these songs over and over again, …’ (from atugh- ‘to sing’) (SIVUQ. NANGAGH. 1:236) 	-āтаӷ-	
+aate-	to V together, as a group, in one movement 	probably non-productive; ateghaatut ‘they went down together’; (from ategh- ‘to go down’); iighaatut ‘they are playing hide and seek’ (lexicalized from iigh- ‘to hide’); mayughaatut ‘they climbed together’ (from mayugh- ‘to go up, climb’); qateghaatut ‘they jumped as a group’ (from qategh- ‘to jump’)	-āты-	
+ae	allows English words to be used in Yupik	frog-a ‘frog’, frog-et ‘frogs’; frog-nguuq ‘it is a frog’; computer-a or computer-ek ‘computer’ (note conventional dual for one thing); John-em aatkii camel-em melqwaneng ulimaaghet. ‘John’s garments were made of camel fur.’ (Mark 1.6)	-аы	
+agh-	to catch N (game)	used with game animal nouns; non-productive (?); ayveghaghtuq ‘he caught a walrus’ (from ayveq ‘walrus’); nanughaghtuq ‘he caught a polar bear’ (from nanuq ‘polar bear’)	-аӷ-	
-aghagh-	to be V-er; to V more; to be more V	see ~+(at)aghagh-		
+aghaghte-	to immediately V; to briefly V; to quickly V; to suddenly V	evidently used only with vowel-ending bases (?); esleqaghaghtuq ‘it filled immediately’ (from esleqe- ‘to be full’); estaaghaghtuq ‘it slid for a short time’ (from estu- ‘to slide’); maniighaghtuq ‘he suddenly ran for protection’ (from mani- ‘to move closer’); piighaghtuq ‘he did or said something quickly, or went quickly’ (from pi- ‘to do, say, go’); tagiighaghtuq ‘he came right back’ (from tagi- ‘to come’)	-аӷаҳты-	
:aghaq*	young N; small N	non-productive (?); used mainly with animate nouns; naghuyaaghaq ‘baby gull’ (from naghuyaq ‘gull’); kayngaaghaq ‘brown bear cub’ (from kaynga ‘brown bear’); nanaaghaq ‘polar bear cub’ (from nanuq ‘polar bear’); yugpagaghaq ‘dwarf’ (from yugpak ‘big person’ (!)); tapghaaghaq ‘razor clam; long thin rope’ (from tapghaq ‘rope’); kukupagaghaq ‘young ribbon seal’ (from kukupak ‘ribbon seal’); ulghaaghaghaq ‘young sea lion’ (from ulghaaq ‘sea lion’); also possibly in the following (from unidentified bases); panaaghaq ‘toy spear, peg’ (from pana ‘spear’): mesaqaaghaq ‘baby snow bunting’; nguuyngaaghaq ‘housefly’; sipelaaghaq ‘guillemot’; yuungaaghaq ‘jaeger’	-аӷақ	
-aghesnagh-	to just V; to V just now; to only V (and perhaps in vain)	see ~f+(a)ghesnagh-		
~+aghtagh-	to V repeatedly with back and forth movement	pangalgaghtaghtuq ‘it ran back and forth’ (from pangaleg- ‘to run on four legs’); mamlegaghtaghtuq ‘it cast shadows’ (from mamleg- ‘to be dark’); qepghaghaghtaghtuq ‘he worked very busily’ (from qepghagh- ‘to work’); talughaghtaghtuq ‘it moved in and out of sight’ (from talugh- ‘to move out of sight’)	-аҳтаӷ-	
~+aghte-	to suddenly V	aavgaghtuq ‘it suddenly split’ (from aveg- ‘to split’); neghyugaghtuq ‘he suddenly wanted to eat’ (from neghyug- ‘to want to eat’); allngughaghtuq ‘it suddenly dove’ (from allngugh- ‘to dive’); mayughaghtuq ‘it suddenly rose’ (from mayugh- ‘to go up’); cf. -qaghte-	-аҳты-	
