?aq	one that has been V-ed	marginally productive if not non-productive; tuqutaq ‘a killed thing’ (from tuqute- ‘to kill’); ulimaaq ‘made thing, ivory carving, product’ (from ulima- ‘to make’); aantat ‘dump, midden’ (from aante- ‘to put out(side))’; qiipaq ‘sewing thread’ (from qiipe- ‘to twist’); uumgaq ‘small box’ (from umeg- ‘to close’); cf. -kaq1
%(e)nkuk / %(e)nkut	N and partner; N and associate(s); N and family	concerning the dual form, -(e)nkuk: generally used on both nouns of a pair (the second of which may also have the enclitic -llu);  meteghllugenkut amaankutlu ‘the raven and the wolf’ (from meteghlluk ‘raven’ and amaa ‘wolf’) yuggaankuk mayeraaghpagenkuklu ‘the little man and the giant’ (from yuggaq* ‘little man’ and mayeraaghpak ‘giant’); Taanata ungipaghaq tawatelnguq, Kiyaghneghenkuk Satan-enkuk. ‘That’s the story. God and Satan.’ (from Kiyaghneq ‘God’) (SIVUQ. NANGAGH. 2:252); Taana Tutmatelek Aqulagenkuk Qaaqwaankuk avaqutaqaak. ‘That Tutmatelek is the son of Aqulak and Qaaqwaq.’ (SIVUQ. NANGAGH. 3:10); however, if the postbase -lghiik is used, the present postbase need not occur on two nouns: Kiyaghsimalghiik yugenkuk nulighqullghiik. ‘There lived a man and wife.’ (UNGIPAGHAGH. 113); concerning the plural form, -(e)nkut: Patankut esghapagiit. ‘Pata and his friends watched.’ (PIYAA. 13); Pangeghtellemnni tawani Muumetaankut taglaataqngamteki tespamavek Ungazimun. ‘When we went to Chukotka at that time we took back Muumetaq and associates there to New Chaplino.’ (PANGEGH. 1)
~f+miiq	thing held in one’s N; thing held by V-ing	qaneghmiiq ‘a thing held in the mouth’ (from qaneq ‘mouth’); eggmiiq ‘something held between upper and lower teeth’ (from egge- ‘to crimp or hold with teeth’); = -mik
@~f+na-2	in order to V; to V	used with subordinative mood endings; neghnaluni ‘in order to eat’ (from negh<e>- ‘to eat’); kuuvnaluku ‘in order to spill it’ (from kuuve- ‘to spill’); tuqunnaluki ‘in order to kill them’ (from tuqute- ‘to kill’); laalighhnaluni ‘in order to visit’ (from laalighte- ‘to visit’); atughnaluku ‘in order to use it’ (from atugh- ‘to use’); aanaluni or aanenaluni ‘in order to go out’ (from aane- ‘to go out’); ingaghtuq qavaghnaluni ‘he lay down in order to sleep’ (from qavagh- ‘to sleep’); igiightunga aglaghnalunga ‘I have decided to go home’ (from aglagh- ‘to go home’); Uugtaqelghiik sikum qaaynganun meghnaalinalutek ama qavaghnalutek. ‘They2 would climb on top of the ice in order to rest and in order to sleep.’ (from meghnaali- ‘to rest’ and qavagh- ‘to sleep’) (QUNGLUK 7)
@~f+naqae	one who is going to V	neqennaqa ‘one who is going to catch fish or game’ (from neqete- ‘to catch fish or game’); qimugsighnaqet ‘those people who are going out on dogsleds’ (from qimugsigh- ‘to run dogs’); unkuseniighyaghnaqa qaghlughiiq ‘the person who is going trapping is harnessing his team’ (from unkuseniigh- ‘to trap’)
@~f+naq	something that causes V-ing	used with "emotional roots" as well as other some bases; aklunaq ‘time of scarcity’ (from aklu- ‘to be in need’); yiminaq ‘one who is intimidating’ (from emotional root yimi- ‘intimidated’); iyataghnaq or igataghnaq ‘famine’ (from iyatagh- or igatagh- ‘to be hungry’); kalevnaq ‘deep soft snow’ (from kaleve- ‘to sink into snow, mud, etc.’); kasugnaq ‘rough, splashing water’ (from kasug- ‘to hit or be hit’); nangghanaq ‘interesting thing’ (from emotional root nanggha- ‘interested’); neghnaq ‘crab’ (lexicalized; from negh<e>- ‘to eat’); nenglaghnaq ‘funny thing’ (from nenglagh- ‘to laugh’); palluggnaq ‘rough water’ (from pallugte- ‘to thrash around in the water’); qaasninaq ‘stinging thing’ (from qaasni- ‘to sting’)
@~f–neghlluk	something that is difficult or hard to V; one who hardly needs to V	neneghlluk ‘something that is hard to eat; someone who can go for long periods without eating’ (from negh<e>- ‘to eat’); aaghhneghlluk ‘someone who is difficult to convince’ (from aaghte- ‘to convince’); ineghneghlliquq ‘he is disobedient’ (from ineghte- ‘to admonish’, with the postbase in question followed by -iqe- ‘to be troubled with --’)
@~f–neq1	the act of V-ing; the activity of V-ing; the state of being V	qiyaneq ‘the act of crying’ (from qiya- ‘to cry’); kumlanneq ‘the state of being cold’ (from kumlate- ‘to be cold’); ikighhneq ‘the act of opening’ (from ikighte- ‘to open’); qavaneq ‘the act of sleeping’ (from qavagh- ‘to sleep’); aveneq ‘the act of dividing in two’ (from aveg- ‘to divide in two’); neneq ‘the act of eating’ (from negh<e>- ‘to eat’); this postbase keeps e with “short” bases  that end in e  (not preceded by t)(i.e. bases of the form (C1)VVC2e- where C2 ≠ t), but drops e from longer bases: kuuveneq ‘the act of spilling’ (from kuuve- ‘to spill’); this postbase may be used with an ablative-modalis ending together with verbs taaqe- ‘to finish’, aghtugh- ‘to not manage’, uutgute- ‘to go back’, etc.: neneghmeng taaqluni aanuq ‘having finished (the act of) eating he went out’ ; taghnughhaq taaqsan neneghmeng aanunga ‘when the boy finished eating I went out’; Ivaamayaqangat naalkenneghmeng aghtughaat. ‘They looked for her, but couldn’t find her (literally, couldn’t manage toward her, concerning the act of finding (her).’) (from naalke- ‘to find’) (MATERIALY 443); uutghutaa neneghmeng ‘he changed his mind about eating’ (literally, ‘went back on it, concerning the act of eating’); ighsaaquq aglaneghmeng ‘he has been refusing to go home’ (from aglagh- ‘to go home’)
@~f+ni-1	to say that one is V-ing or being V-ed; to think that one is V-ing or being V-ed	this is a “compound verbal” postbase; taginii ‘he says he (another) came over’; taginiiq ‘he says he (himself came over’ (from tagi- ‘to come over’); kuuvnii ‘he says it spilled’ (from kuuve- ‘to spill’); laalighhnii ‘he says he (another person) is visiting’ (from laalighte- ‘to visit’); igataghniiq ‘he says he (himself) is hungry’, igtataghniiten ‘he says you are hungry’ (from igatagh- ‘to be hungry’); Kii, akugaaq ungipaatngwaaghamken aghnaghllagmun puughnnaqniluten.  ‘Golly, yesterday I certainly told you (saying) that you would be deceived by the big woman.’ (from puughhnaqe- ‘to be going to deceive’) (AYUM. UNGIP. II:11); Takukestaghngaaghmigu sumeghtaghaamalghii uyavannaqniluku. ‘While he was going to it he thought (thinking) that it would be too far.’ (from uyavannaqe- ‘to be going to be far’) (UNGIPAGHAGH. 78)
~f+niq	thing that is good to V	esghaghniq ‘thing that is eye-catching or attractive’ (from esghagh- ‘to see’)
