+ae	allows English words to be used in Yupik	frog-a ‘frog’, frog-et ‘frogs’; frog-nguuq ‘it is a frog’; computer-a or computer-ek ‘computer’ (note conventional dual for one thing); John-em aatkii camel-em melqwaneng ulimaaghet. ‘John’s garments were made of camel fur.’ (Mark 1.6)
:aghaq*	young N; small N	non-productive (?); used mainly with animate nouns; naghuyaaghaq ‘baby gull’ (from naghuyaq ‘gull’); kayngaaghaq ‘brown bear cub’ (from kaynga ‘brown bear’); nanaaghaq ‘polar bear cub’ (from nanuq ‘polar bear’); yugpagaghaq ‘dwarf’ (from yugpak ‘big person’ (!)); tapghaaghaq ‘razor clam; long thin rope’ (from tapghaq ‘rope’); kukupagaghaq ‘young ribbon seal’ (from kukupak ‘ribbon seal’); ulghaaghaghaq ‘young sea lion’ (from ulghaaq ‘sea lion’); also possibly in the following (from unidentified bases); panaaghaq ‘toy spear, peg’ (from pana ‘spear’): mesaqaaghaq ‘baby snow bunting’; nguuyngaaghaq ‘housefly’; sipelaaghaq ‘guillemot’; yuungaaghaq ‘jaeger’
~f%mete-2	to be at N; to be in N	a contraction of the singular localis ending %~fmi and the archaic verb base ete- ‘to be’; now a postbase in it’s own right ; angyametuq ‘he is in the boat’ (from angyaq ‘boat’); kiiwmetuq ‘it is at the river’ (from kiikw ‘river’); see also -nte-, -nite-2
~f+mii	resident of N; inhabitant of N	Ungazighmii ‘resident of New Chaplino’ (from Ungaziq ‘New Chaplino’); Sivungaghmii ‘resident of Savoonga’ (from Sivungaq ‘Savoonga’); Quutmiit ‘Chukotkans’ (from Qutae ‘Chukotka’); Sivuqaghhmiit ‘residents of Gambell or St. Lawrence Island’ (from Sivuqaq ‘Gambell or St. Lawrence Island’); Pugughileghmiit ‘people of, or ancestrally from, Pugughileq (“Poowooiliak”)’); Ruuseghmii ‘Russian’ (from English or Russian “Russia”); Iintiyaghmii ‘Indian’ (from English “India(n)”)
~f+mik	thing held in one’s N	qaneghmik ‘a thing held in the mouth’; whaamik ‘son’ (endearing term) (from wha(ni) ‘right here’); = -miiq
@~f+na-1	command or request former	forms commands, requests, etc. directed toward the future; takes itransitive participial endings and yields forms having a future optative meaning; neghnaken ‘(you1) eat it (future), neghnaketen ‘(you1) eat them (in the future)’, neghnakesi ‘(youpl.) eat them (future)’(from negh<e>- ‘to eat’); kayusighnakevnga ‘(you) help me (future)’(from kayusigh- ‘to help’); atuqnakevut 'let's use it (future)'(from atuqe- ‘to use’); for intransitives, postbases -lghaa- and -ggaa-/-ghhaa- (q.v.) are used instead 
~fngiighhaq*	small N; little N	used only withvowel-ending bases; with consonant-ending bases the postbase -ghhaq (q.v.) is used instead; yaywaalingiighhaq ‘little orphan’ (from yaywaali ‘orphan’); nengiighhaq ‘little place’ (from nae ‘place’); iiyngiighhaq ‘little eye’ (from iyae ‘eye’); nenglungiighhaq ‘small sod house’ (from nenglu ‘sod house’); sangiighhaq ‘small thing, small amount’ (from sa ‘thing, something’)
-gaq*	young N; baby N; little N; one like N	see –ghaq*
-ggaq*	little N; small N; bit of N	see –ghhaq*
–ghaq*	young N; baby N; little N; one like N	non-productive; forms with this postbase are generally lexicalized; aghnaghaq ‘girl’ (from aghnaq ‘woman’); kaviighaq ‘young fox’ (from kaviiq ‘fox’); qikmighaq ‘puppy’ (from qikmiq ‘dog’); afsengaghaq ‘baby mouse’ (from afsengaq ‘mouse’); naayvaghaq ‘little lake’ (from naayvaq ‘lake’); kiiwaq ‘little river; creek’ (from kiikw ‘river’); itegaq ‘foot’ (from itek ‘toe cap of boot’); amighaq ‘skin prepared for a boat’ (from amiq ‘skin’); ateghaq ‘alternate name’ (from ateq ‘name’); manughaq ‘front of house’ (from manu ‘front’); qesighaq ‘mist’ (from qesiq ‘spittle’); qiipaghaq ‘cloth; cloth cover parka’ (from qiipaq ‘thread’); possibly also, ighneghaq ‘intestine’ (from ighneq ‘son’, though the semantic connection is not clear) 
–ghhaq*	little N; small N; bit of N	used (only?) with consonant-ending bases; with vowel-ending bases -ngiighhaq (q.v.) is usually used instead; aghnaghhaq ‘little woman’ (from aghnaq ‘woman’); qikmiq ‘dog’ qikmighhaq ‘little dog’ (from qikmiq ‘dog’); kiiwhaq ‘little river’ (from kiikw ‘river’); meghhaq ‘small area of open water in ice field’ (from meq ‘water’)              
–ghllak	big N; large N; lots of N	nunaghllak ‘big land’ (from nuna ‘land’); tumeghllaget ‘big footprints’ or ‘lots of footprints’ (from tumae ‘footprint’); angyaghllak ‘big boat’ (from angyaq ‘boat’); atkugllak ‘big parka’ (from atkuk ‘parka’); qiighwllalguuq ‘he has a lot of grey hair’ (from qiiqw ‘grey hair’); kiiwhllagek ‘a little river’ (from kiikw ‘river’); uughqaghtaghllak ‘big sea swell’ (from uughqaghtaq ‘sea swell’)
–ghnaggaq*	big N	iqallugnaggaq ‘big fish’ (from iqalluk ‘fish’); aghnalqwaaghnaggaq ‘big old woman’ (from aghnalqaaq ‘old woman’)
