~+aatagh-	to V finally or repeatedly and persistently, several times	apparently not used with bases that end in a full vowel; iitghaataghtuq ‘it penetrated, went on into something’ (from itegh- ‘to enter’); kaataaghaghtuq ‘it got through (of sound, smell, news)’ (from kaate- ‘to arrive’); Taakut ilagaatet atughaataghaqiit, … ‘They’d sing these songs over and over again, …’ (from atugh- ‘to sing’) (SIVUQ. NANGAGH. 1:236) 
+aate-	to V together, as a group, in one movement 	probably non-productive; ateghaatut ‘they went down together’; (from ategh- ‘to go down’); iighaatut ‘they are playing hide and seek’ (lexicalized from iigh- ‘to hide’); mayughaatut ‘they climbed together’ (from mayugh- ‘to go up, climb’); qateghaatut ‘they jumped as a group’ (from qategh- ‘to jump’)
-aghagh-	to be V-er; to V more; to be more V	see ~+(at)aghagh-
+aghaghte-	to immediately V; to briefly V; to quickly V; to suddenly V	evidently used only with vowel-ending bases (?); esleqaghaghtuq ‘it filled immediately’ (from esleqe- ‘to be full’); estaaghaghtuq ‘it slid for a short time’ (from estu- ‘to slide’); maniighaghtuq ‘he suddenly ran for protection’ (from mani- ‘to move closer’); piighaghtuq ‘he did or said something quickly, or went quickly’ (from pi- ‘to do, say, go’); tagiighaghtuq ‘he came right back’ (from tagi- ‘to come’)
-aghesnagh-	to just V; to V just now; to only V (and perhaps in vain)	see ~f+(a)ghesnagh-
~+aghtagh-	to V repeatedly with back and forth movement	pangalgaghtaghtuq ‘it ran back and forth’ (from pangaleg- ‘to run on four legs’); mamlegaghtaghtuq ‘it cast shadows’ (from mamleg- ‘to be dark’); qepghaghaghtaghtuq ‘he worked very busily’ (from qepghagh- ‘to work’); talughaghtaghtuq ‘it moved in and out of sight’ (from talugh- ‘to move out of sight’)
~+aghte-	to suddenly V	aavgaghtuq ‘it suddenly split’ (from aveg- ‘to split’); neghyugaghtuq ‘he suddenly wanted to eat’ (from neghyug- ‘to want to eat’); allngughaghtuq ‘it suddenly dove’ (from allngugh- ‘to dive’); mayughaghtuq ‘it suddenly rose’ (from mayugh- ‘to go up’); cf. -qaghte-
~+aghtugh-	to V repeatedly	marginally productive or non-productive; iighaghtughtuq ‘he hid from his enemies’ (from iigh- ‘to hide’); iniightughtuq ‘he is hanging things’ (from ini- ‘to hang to dry’); payangitaghtughtuq ‘the Chukotkans are repeatedly visiting’ (from payangite- ‘for Chukotkans to visit’); peggaghtughtuq ‘he stayed up late’ (from pegge- ‘to stay awake all night’)
-aqe-	to be currently V-ing; to V now and then (with the subordinative); to always V (with particle quunpeng)	see ~+(g)aqe-
~+(at)aghagh-	to be V-er; to V more; to be more V	the at used with all bases except those that end in te; umaataghaghtuq ‘it is thicker’ (from umu- ‘to be thick’); taakataghaghtuq ‘it is longer’ (from taake- ‘to be long’); aangataghaghtuq ‘it is bigger’ (from aange- ‘to be big’); pinighataghaghtuq ‘it is better’ (from pinigh- ‘to be good’); uglaghataghaghtut ‘they are more numerous’ (from uglagh- ‘to be many’); sukataghaghtuq ‘it is faster’ (from sukate- ‘to go or be fast’); nighughaghaghtuq ‘it got brighter’ (from nighughte- ‘to get bright’); akingitaghaghtuq ‘it is cheaper’ (from akingite- ‘to be cheap’; used with a noun in the ablative-modalis case to make comparisons: mangteghaqa aangataghaghtuq manghteghaghpeneng ‘my house is bigger than your house’; una pinighataghaghtuq taameng ‘this is better than that’
~f–laghate-	to have already V-ed together; to V as a group	itelaghatut ‘they came in together, as a group’ (from itegh- ‘to come in’); aanlaghatut ‘they went out together’ (from aane- ‘to go out’); tagilaghatut ‘they all came’ (from tagi- ‘to come’); Entaqun apeghiighluteng esgha taam kingunganeng mulugpenateng, qavameggnenguq tuqulaghatkaagut. 'I think it was not long afterwards that they had all died in their sleep.' (from tuqu- ‘to die’) (SIVUQ. NANGAGH. 3:88); Aghnaghaghhaq nayaggiinaat unegtuq, anengii iflalaghatut qamaghlluteng. ‘The little girl, their sister, only she, was left, as her brothers all were lost, all of them.’ (from ifla- ‘to get lost’) (UNGAZ. UNGIP. 11); apparently not used with bases ending in te
@~f–nasiigh-	to put off V-ing; to stall at V-ing; to V angrily	teghtughnasiightuq ‘he woke up angry’ (from teghtugh- ‘to wake up’); neghnasiightuq ‘he put off eating’ (from negh<e>- ‘to eat’); qepghanasiightuq ‘he put off working’ (from qepghagh- ‘to work’)
