aafkaneghlluk	NounPostbase; ! durable material that will not burst
aaghheghneq	NounPostbase; ! person that can easily be persuaded
aaghlu	NounPostbase; ! fireball of some sort coming down from mountains (perhaps meteor or comet)
aaghqutaq	NounPostbase; ! a certain ball game
aaghwtaq	NounPostbase; ! tent with a arched roof; wooden house type with arched roof covered with hide
aaghw	NounPostbase; ! upside down
aagna	NounPostbase; ! that one over there; that one going away
aagneq	NounPostbase; ! crotch of pants; one pace; one step
aagra	NounPostbase; ! insulated inner room of the traditional domeshaped house, the mangteghapik (q.v.)
aagralghun	NounPostbase; ! guyline at corner of the aagra, the insulated inner room of traditional domeshaped house
aagriin	NounPostbase; ! ridgepole supporting the aagra, the insulatedinner room of traditional domeshaped house
aagyugneq	NounPostbase; ! persistent person
aagyug	NounPostbase; ! 
aahaaleketiiq	NounPostbase; ! a game involving coiled lines drawn on the ground which one follows from the outside inward as a particular song is sung
aahaangwliq	NounPostbase; ! oldsquaw duck (Clangula hyemalis); the cry of the oldsquaw
aakaq*	NounPostbase; ! older sister of female
aakw	NounPostbase; ! blood
aakwrak	NounPostbase; ! small spot or streak of blood
aalghaq	NounPostbase; ! another family in the same clan; the other of a pair of boats cooperating in a hunt; hunting partner; second wife
Aallgha aghneq	NounPostbase; ! Monday
aallgutaq	NounPostbase; ! broom; besom; wing of bird used as a broom
aallneq	NounPostbase; ! ember; soot with grease from an oil lamp
aallngunaan	NounPostbase; ! without a partner
aalqullghiik	NounPostbase; ! pair; couple; person and companion
aamak	NounPostbase; ! a kind of berry
aamqun	NounPostbase; ! welt put in between the boot sole and the upper on a skinboot
aanelgun	NounPostbase; ! littermate; one born at the same time; a person's contemporary
aangeghllak	NounPostbase; ! big thing; large thing
Aangqaghvik	NounPostbase; ! June; July
aangqanneq	NounPostbase; ! traditional ball game
aangqaq	NounPostbase; ! ball
aangqengwaaq	NounPostbase; ! small rattle
aangwunani	NounPostbase; ! (he, she or it) being bloodless
aanngerquq	NounPostbase; ! ankle bone
aanqaghneq	NounPostbase; ! bulge; protrusion
aanqaghreki	NounPostbase; ! the number three (in a counting or finger naming jingle for children)
aanqulleq	NounPostbase; ! manure
aantaq	NounPostbase; ! midden; dump
aanvik	NounPostbase; ! outlet; exit
aanyaghaq1	NounPostbase; ! first one out; firstborn child; man who goes outside the first (in the morning); first letter of word, initial
aanyaghaq2	NounPostbase; ! exit; the way out; outlet
aanziiq	NounPostbase; ! a burp; a belch
Aasaq	NounPostbase; ! former village site west of Cape Chukotskii in Chukotka
Aasa	NounPostbase; ! Singikpak Pt. site east of Southwest Cape on St. Lawrence Is.
aas	NounPostbase; ! 
aasi	NounPostbase; ! the number six (in a counting or finger naming jingle for children)
aaskestaaghhaq	NounPostbase; ! narrow thing; something that does not extend far
Aasliq	NounPostbase; ! former village on east shore of Provideniia Bay; Plover Bay in Chukotka
aasliq	NounPostbase; ! soup of greens and seal blood
aasliquutaq	NounPostbase; ! grease stain in the entrance opening of a winter house
aatati	NounPostbase; ! the number ‘one’ (in a counting or finger naming jingle for children)
aateghngalghii	NounPostbase; ! loaded; put on
aatkaq	NounPostbase; ! article of clothing; garment
aatwarae	NounPostbase; ! hot water
aavneq	NounPostbase; ! half; half dollar
aavnguq	NounPostbase; ! burl
aavngutae	NounPostbase; ! sealskin pants
aawaallu	NounPostbase; ! so soon!; already
aawallu	NounPostbase; ! so soon!; already
aawhkaghhaaneng	NounPostbase; ! for ages (in the past); for quite a while now
aawhkaghniimna	NounPostbase; ! previous place; former one
aawhkaghniq*	NounPostbase; ! hing of a while ago
aawhkaghtaq	NounPostbase; ! thing of a while ago
aawhkan	NounPostbase; ! a while ago (during the same season); a week ago; a month ago
aawhkaqun	NounPostbase; ! in the springtime
aawhkayaghaq	NounPostbase; ! some time ago; a while back
aawhtaq	NounPostbase; ! jade
aawyaq	NounPostbase; ! blood clot
aaygu	NounPostbase; ! arrow
aayguk	NounPostbase; ! pair of stars seen at dawn, Altair and Tarared in the constellation of the Eagle
aaykaq	NounPostbase; ! poker or similar card game; gambling
afkuyaq	NounPostbase; ! cause of something (especially a problem)
aflaaq	NounPostbase; ! thing between two others; middle one
aflenganeq	NounPostbase; ! thrifty person; one who takes good care of what he has
