Allakaghmeng aanumalghiit mangteghameng.

allakaghmeng	allakagh*[Quant_Qual][4Pl]

aanumalghiit	aane-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
aanumalghiit	aane-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
aanumalghiit	aane-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][3Pl]
aanumalghiit	aane-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
aanumalghiit	aane-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
aanumalghiit	aane-@₁~:(i/u)magh[V→V][V][Intr][Ptcp][3Pl]
aanumalghiit	aghte-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
aanumalghiit	aghte-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
aanumalghiit	aghte-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][3Pl]
aanumalghiit	aghte-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
aanumalghiit	aghte-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
aanumalghiit	aghte-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)magh[V→V][V][Intr][Ptcp][3Pl]

mangteghameng	mangteghagh[N][Abl_Mod][Unpd][Sg]
mangteghameng	mangteghagh[N][Rel][4DuPoss][PlPosd]
mangteghameng	mangteghagh[N][Rel][4DuPoss][SgPosd]
mangteghameng	mangteghagh[N][Rel][4PlPoss][PlPosd]
mangteghameng	mangteghagh[N][Rel][4PlPoss][SgPosd]

------------------------
Neghaqa perara ellnginaan.

neghaqa	ne-–ghagh*[N→N]-~–ke[N→V][V][Intr][Intrg][3Sg]
neghaqa	ne-–ghagh*[N→N]-~–ke[N→N][N][Abs][Unpd][Sg]
neghaqa	ne-–ghagh*[N→N][N][Abs][1SgPoss][SgPosd]
neghaqa	negh-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
neghaqa	neghe-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
neghaqa	neghe[V][Trns][Ind][1Sg][3Sg]
neghaqa	negh[V][Trns][Ind][1Sg][3Sg]
neghaqa	negh-aq[V→N]-~–ke[N→V][V][Intr][Intrg][3Sg]
neghaqa	negh-aq[V→N]-~–ke[N→N][N][Abs][Unpd][Sg]
neghaqa	negh-aq[V→N][N][Abs][1SgPoss][SgPosd]
neghaqa	negh-aq[V→N][N][Abs][3SgPoss][SgPosd]

perara	perara[N][Abs][Unpd][Sg]

ellnginaan	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fnaq[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
ellnginaan	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fnaq[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
ellnginaan	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
ellnginaan	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
ellnginaan	ellngit-––i[N→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
