Taghnughhaq qapragllequq aqumgamakuni.

taghnughhaq	taghnughhagh*[N][Abs][Unpd][Sg]

qapragllequq	qaprag-–ghte[V→V]-@₁lleqe[V→V][V][Intr][Ind][3Sg]
qapragllequq	qaprag-te[V→V]-@₁lleqe[V→V][V][Intr][Ind][3Sg]
qapragllequq	qaprag-@₁lleqe[V→V][V][Intr][Ind][3Sg]

aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)ma[V→V][V][Intr][Cond][4Sg]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
aqumgamakuni	aqumga-@₁~:(i/u)man[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]

------------------------
Ighneqa qiyaaq aghyuughyavgu.

ighneqa	ighnegh-~–ke[N→V][V][Intr][Intrg][3Sg]
ighneqa	ighnegh-~–ke[N→N][N][Abs][Unpd][Sg]
ighneqa	ighnegh[N][Abs][1SgPoss][SgPosd]

