SIVUQAM UNGIIPAA

sivuqam	Sivuqagh[N][Rel][Unpd][Sg]

------------------------
Akulkim Apellgha

------------------------


------------------------
Akuwaaq Qayiilleghtaqngamta, taamum ilangan aatghi liitaput.

qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–lleq[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qayugh-––i[N→V]-ugh[V→V]-–llek[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qayugh-––ii[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
qayiilleghtaqngamta	qayugh-––ii[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][PlPosd]
qayiilleghtaqngamta	qayugh-––ii[N→V]-–lleq[V→N]-–ghte[N→V]-~(g₁)aqe[V→V][V][Intr][CnsqI][1Pl]
qayiilleghtaqngamta	qayugh-––ii[N→V]-–lleq[V→N]-–ghte[N→V][V][Intr][CnsqII][1Pl]
qayiilleghtaqngamta	qayugh-––ii[N→V]-–lleq[V→N]-–ghte[N→V][V][Trns][CnsqII][1Pl]
qayiilleghtaqngamta	qayugh-––ii[N→V]-–llek[V→N]-–ghte[N→V]-~(g₁)aqe[V→V]-~fnga[V→V]-@₁~:(u)n[V→N][N][Rel][1PlPoss][SgPosd]
