SIVUGAM KIYAGHTAALLGHA AYUMIQ

ayumiq	ayumigh*[N][Abs][Unpd][Sg]

------------------------
Uvim Ungipaa

ungipaa	ungipagh-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaa	ungipagh-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaa	ungipagh[N][Abs][3SgPoss][SgPosd]
ungipaa	ungipagh[V][Intr][Opt][PRS][2Sg]
ungipaa	Ungipagh-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaa	Ungipagh[N][Abs][3SgPoss][SgPosd]

------------------------


------------------------
Elngaatall liisalghiinga, liitelleghma kenlenganeng taagken mangteghapiperegwaaq.

elngaatall	elngaatall

liisalghiinga	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liisalghiinga	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
liisalghiinga	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][1Sg]
liisalghiinga	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp_Obl][1Sg]
liisalghiinga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liisalghiinga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
liisalghiinga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][1Sg]
liisalghiinga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Ptcp_Obl][1Sg]
liisalghiinga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
liisalghiinga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][3SgPoss][SgPosd]
liisalghiinga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][1Sg]
liisalghiinga	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp_Obl][1Sg]
