AYUMIIM MANGTEGHASQWAAGHILLU MANGTEGHAPIGILLU

ayumiim	ayumigh*[N][Rel][Unpd][Sg]

mangteghasqwaaghillu	mangteghasqwaagh[N][Abs][3SgPoss][PlPosd]-llu[Encl]

mangteghapigillu	mangteghapig[N][Abs][3SgPoss][PlPosd]-llu[Encl]

------------------------
Pelaasim Apellgha 

------------------------


------------------------
Mangteghasqwaaghet sivuknaqanka kiigmi atut.  Uglaghtalestun angkiita ulimaaqelghiit.

mangteghasqwaaghet	mangteghasqwaagh[N][Abs][Unpd][Pl]
mangteghasqwaaghet	mangteghasqwaagh[N][Rel][Unpd][Pl]

sivuknaqanka	sivu-~–ke[N→N]-te[N→V]-@₁~fnaqe[V→V][V][Trns][Ind][1Sg][3Pl]
sivuknaqanka	sivu-~–ke[N→N]-te[N→V]-te[V→V]-@₁~fnaqe[V→V][V][Trns][Ind][1Sg][3Pl]
sivuknaqanka	sivug-~–ke[N→N]-te[N→V]-@₁~fnaqe[V→V][V][Trns][Ind][1Sg][3Pl]
sivuknaqanka	sivug-~–ke[N→N]-te[N→V]-te[V→V]-@₁~fnaqe[V→V][V][Trns][Ind][1Sg][3Pl]
sivuknaqanka	sivuke-@₁~fnaqe[V→V][V][Trns][Ind][1Sg][3Pl]
sivuknaqanka	sivuke-te[V→V]-@₁~fnaqe[V→V][V][Trns][Ind][1Sg][3Pl]

kiigmi	kii[N][Rel][4SgPoss][DuPosd]
kiigmi	kiig[N][Abs][Unpd][Sg]-mi[Encl]
kiigmi	kiig[N][Loc][Unpd][Sg]
kiigmi	kiig[N][Rel][4SgPoss][PlPosd]
kiigmi	kiig[N][Rel][4SgPoss][SgPosd]

atut	atugh[N][Abs][Unpd][Pl]
atut	atugh[N][Rel][Unpd][Pl]

angkiita	angka-aq[V→N]-––i[N→V]-@₁~:(u)te[V→V][V][Intr][Intrg][3Sg]
angkiita	angka-aq[V→N]-––i[N→V]-@₁~:(u)ta[V→N][N][Abs][Unpd][Sg]
angkiita	angka-aq[V→N]-––i[N→V]-~:(u)te[V→V][V][Intr][Intrg][3Sg]
angkiita	angka-aq[V→N]-––i[N→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
angkiita	angka-aq[V→N]-––i[N→V]-~:(u)ta[V→N][N][Abs][Unpd][Sg]
angkiita	angka-aq[V→N]-––i[N→V]-te[V→V][V][Intr][Intrg][3Sg]
angkiita	angka-~i[V→V]-@₁~:(u)te[V→V][V][Intr][Intrg][3Sg]
angkiita	angka-~i[V→V]-@₁~:(u)ta[V→N][N][Abs][Unpd][Sg]
angkiita	angka-~i[V→V]-~:(u)te[V→V][V][Intr][Intrg][3Sg]
angkiita	angka-~i[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
angkiita	angka-~i[V→V]-~:(u)ta[V→N][N][Abs][Unpd][Sg]
angkiita	angka-~i[V→V]-te[V→V][V][Intr][Intrg][3Sg]

ulimaaqelghiit	ete-@₁~:(u)n[V→N]-–li[N→V]-@₁~:(i/u)ma[V→V]-~(g₁)aqe[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
ulimaaqelghiit	ete-@₁~:(u)n[V→N]-–li[N→V]-@₁~:(i/u)ma[V→V]-~(g₁)aqe[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
ulimaaqelghiit	ete-@₁~:(u)n[V→N]-–li[N→V]-@₁~:(i/u)ma[V→V]-~(g₁)aqe[V→V][V][Intr][Ptcp][3Pl]
