AATKAM KAKILLGHA, ATUQELLGHA NEGHIGHLUKU

aatkam	aatkagh[N][Rel][Unpd][Sg]

neghighluku	negh-aq[V→N]-––igh[N→V][V][Trns][Sbrd][_][3Sg]
neghighluku	neghigh[V][Trns][Sbrd][_][3Sg]
neghighluku	neghe-aq[V→N]-––igh[N→V][V][Trns][Sbrd][_][3Sg]

------------------------
Wayengim Apellgha

------------------------


------------------------
Mekestaaghhaalunga liitunga kakimeng.

mekestaaghhaalunga	me-~–ke[N→V]-(te)ste[V→V]-~aghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(te)ste[V→V]-~aghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(te)ste[V→V]-~aghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(te)ste[V→V]-~aghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(te)ste[V→V]-~aghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(te)ste[V→V]-~aghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(te)ste[Cmpd_Vbl]-~aghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(te)ste[Cmpd_Vbl]-~aghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Sbrd][_][1Sg]
mekestaaghhaalunga	me-~–ke[N→V]-(te)ste[Cmpd_Vbl]-~aghte[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~:(ng₁)u[N→V]-~:(u)te[V→V][V][Intr][Sbrd][1Sg]
