NATENG ANGYAPIGEM ULIIMALLGHI

nateng	na-@₁~:(u)n[V→N][N][Abs][4PlPoss][PlPosd]

angyapigem	angyapig[N][Rel][Unpd][Sg]

------------------------
Akulkim Apellgha

------------------------


------------------------
Ayumiq ulimghusiq pinilghii maaten atughput aviisalghii.

ayumiq	ayumigh*[N][Abs][Unpd][Sg]

pinilghii	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-@₁~:(u)n[V→N]-~:(ng₁)igh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-@₁~:(u)n[V→N]-––igh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-@₁~:(u)n[V→N]-igh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-@₁~fni[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-@₁~fni[Cmpd_Vbl]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-~:(u)te[V→V]-@₁~fni[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pinegh-––i[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pinegh-––igh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pinigh-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-neq[V→N]-––i[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pinilghii	pi-neq[V→N]-––igh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

maaten	maaten
maaten	maatete[N][Abs][Unpd][Sg]

atughput	atugh-–gpe[V→V][V][Intr][Ind][3Pl]
atughput	atugh[N][Abs][1PlPoss][SgPosd]

aviisalghii	aveg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	aveg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	aveg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	aveg-––i[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	aveg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	aveg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	aveg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aviisalghii	aveg-––i[N→V]-–ghte[V→V]-@₁~:(u)te[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
