Kaavam Anglinaqellgha 

------------------------
Kaavam Apellgha 

------------------------


------------------------
Sikneq

sikneq	Siknegh[N][Abs][Unpd][Sg]

------------------------
Sikneghmi tesamani qafsinaneng akuuraghaqaqa qazigyaq, whaten iiwleng pigpenaan, ayumiqullghet ataasit.

sikneghmi	Siknegh[N][Abs][Unpd][Sg]-mi[Encl]
sikneghmi	Siknegh[N][Loc][Unpd][Sg]
sikneghmi	Siknegh[N][Rel][4SgPoss][PlPosd]
sikneghmi	Siknegh[N][Rel][4SgPoss][SgPosd]

qafsinaneng	qafsig-––i[N→V]-@₁~:(u)n[V→N][N][Abl_Mod][3SgPoss][SgPosd]
qafsinaneng	qafsig-––i[N→V]-@₁~:(u)n[V→N][N][Abl_Mod][3SgPoss][PlPosd]
qafsinaneng	qafsina[N][Abl_Mod][Unpd][Pl]

akuuraghaqaqa	akuuragh-~(g₁)aqe[V→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
akuuraghaqaqa	akuuragh-~(g₁)aqe[V→V][V][Trns][Ind][1Sg][3Sg]
akuuraghaqaqa	akuuragh-aq[V→N]-~–ke[N→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
akuuraghaqaqa	akuuragh-aq[V→N][N][Abs][1SgPoss][SgPosd]-qa[Encl]
akuuraghaqaqa	akuuragh-aq[V→N][N][Abs][3SgPoss][SgPosd]-qa[Encl]
akuuraghaqaqa	akuuragh-aq[V→N]-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][Unpd][Sg]
akuuraghaqaqa	akugh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fragh[V→V]-~(g₁)aqe[V→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
akuuraghaqaqa	akugh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fragh[V→V]-~(g₁)aqe[V→V][V][Trns][Ind][1Sg][3Sg]
akuuraghaqaqa	akugh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fragh[V→V]-aq[V→N]-~–ke[N→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
akuuraghaqaqa	akugh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fragh[V→V]-aq[V→N][N][Abs][1SgPoss][SgPosd]-qa[Encl]
akuuraghaqaqa	akugh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fragh[V→V]-aq[V→N][N][Abs][3SgPoss][SgPosd]-qa[Encl]
akuuraghaqaqa	akugh-~:(ng₁)u[N→V]-@₁~:(u)te[V→V]-@₁~fragh[V→V]-aq[V→N]-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][Unpd][Sg]
akuuraghaqaqa	akugh-~:(ng₁)u[N→V]-@₁~fragh[V→V]-~(g₁)aqe[V→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
akuuraghaqaqa	akugh-~:(ng₁)u[N→V]-@₁~fragh[V→V]-~(g₁)aqe[V→V][V][Trns][Ind][1Sg][3Sg]
