ESTAMAA 

------------------------
Ayumiim Ungipaghaatangi 

ayumiim	ayumigh*[N][Rel][Unpd][Sg]

ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
ungipaghaatangi	ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
