Ayngaghlingaawetenkuk, Qilakaghiilaankuk

------------------------
Puughhutem Ungipaghaa

puughhutem	puughhe-~:(u)te[V→N][N][Rel][Unpd][Sg]

ungipaghaa	ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipagh-–ghagh*[N→N][N][Abs][3SgPoss][SgPosd]
ungipaghaa	ungipagh[V][Trns][Ind][3Sg][3Sg]
ungipaghaa	ungipaghagh-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipaghagh-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipaghagh[N][Abs][3SgPoss][SgPosd]
ungipaghaa	ungipaghagh[V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipagh-agh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipagh-agh[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	Ungipagh-–ghagh*[N→N][N][Abs][3SgPoss][SgPosd]
ungipaghaa	Ungipagh-agh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	Ungipagh-agh[N→V][V][Intr][Opt][PRS][2Sg]

------------------------


------------------------
Ungipaghaninguq imani taakugnguq aghnaghaghhaak ilughaqutalghiik.

ungipaghaninguq	ungipagh-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]-nguq[Encl]
ungipaghaninguq	ungipagh-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]-nguq[Encl]
ungipaghaninguq	ungipaghagh[N][Abs][4SgPoss][SgPosd]-nguq[Encl]
ungipaghaninguq	ungipaghagh[N][Abs][4SgPoss][PlPosd]-nguq[Encl]
ungipaghaninguq	ungipaghagh[N][Loc][Unpd][Pl]-nguq[Encl]
ungipaghaninguq	ungipagh-aq[V→N][N][Abs][4SgPoss][SgPosd]-nguq[Encl]
ungipaghaninguq	ungipagh-aq[V→N][N][Abs][4SgPoss][PlPosd]-nguq[Encl]
ungipaghaninguq	Ungipagh-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]-nguq[Encl]
ungipaghaninguq	Ungipagh-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]-nguq[Encl]

imani	ima-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
imani	ima-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
imani	ima-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
imani	ima-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
imani	ima-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
imani	ima-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
imani	ima-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
imani	ima-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
imani	ima-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
imani	imagh[N][Abs][4SgPoss][SgPosd]
imani	imagh[N][Abs][4SgPoss][PlPosd]
imani	imagh[N][Loc][Unpd][Pl]
imani	imanagh-––i[N→V][V][Intr][Opt][PRS][2Sg]
imani	imani
imani	ima-neq[V→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]

aghnaghaghhaak	aghnagh-–ghagh*[N→N]-–ghhagh*[N→N][N][Abs][Unpd][Du]
aghnaghaghhaak	aghnagh-–ghagh*[N→N]-–ghhagh*[N→N][N][Abs][3DuPoss][SgPosd]
aghnaghaghhaak	aghnagh-–ghagh*[N→N]-–ghhagh*[N→N][N][Rel][Unpd][Du]
aghnaghaghhaak	aghnaghagh*-–ghhagh*[N→N][N][Abs][Unpd][Du]
aghnaghaghhaak	aghnaghagh*-–ghhagh*[N→N][N][Abs][3DuPoss][SgPosd]
aghnaghaghhaak	aghnaghagh*-–ghhagh*[N→N][N][Rel][Unpd][Du]
aghnaghaghhaak	aghnaghaghhagh*[N][Abs][Unpd][Du]
aghnaghaghhaak	aghnaghaghhagh*[N][Abs][3DuPoss][SgPosd]
aghnaghaghhaak	aghnaghaghhagh*[N][Rel][Unpd][Du]
aghnaghaghhaak	aghnagh-aq[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Du]
aghnaghaghhaak	aghnagh-aq[V→N]-–ghhagh*[N→N][N][Abs][3DuPoss][SgPosd]
aghnaghaghhaak	aghnagh-aq[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Du]
aghnaghaghhaak	aghnagh-agh[N→V][V][Intr][Opt][FUT][3Du]

------------------------
Kugwelestaghhiinaak, yaywaalingiighhaat.

yaywaalingiighhaat	yaywaali-~:(ng₁)ite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)ite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][3PlPoss][SgPosd]
yaywaalingiighhaat	yaywaali-~:(ng₁)ite[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Rel][Unpd][Pl]
yaywaalingiighhaat	yaywaali-~:(ng₁)ite[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Pl]
