Meteghllugllagenkuk Anipaghllagenkuk

meteghllugllagenkuk	meteghllug-–ghllag[N→N]-~sf-w:(e)nkuk[N→N][N][Abs][Unpd][Sg]

anipaghllagenkuk	anipa-–ghllag[N→N]-~sf-w:(e)nkuk[N→N][N][Abs][Unpd][Sg]
anipaghllagenkuk	anipaghllag-~sf-w:(e)nkuk[N→N][N][Abs][Unpd][Sg]

------------------------
Iteghyaghaam Anagutaghmun Neghighluku Apellgha

anagutaghmun	anag-~:(ng₁)u[V→V]-tagh[V→V]-mete[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anagutaghmun	anagutagh-~fmete[N→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anagutaghmun	anagutagh-~fmete[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]
anagutaghmun	anagu-tagh[V→V]-mete[V→V]-@₁~:(u)n[V→N][N][Abs][Unpd][Sg]

neghighluku	negh-aq[V→N]-––igh[N→V][V][Trns][Sbrd][_][3Sg]
neghighluku	neghigh[V][Trns][Sbrd][_][3Sg]
neghighluku	neghe-aq[V→N]-––igh[N→V][V][Trns][Sbrd][_][3Sg]

------------------------


------------------------
Ungipaghaninguq imani meteghllugwet, anipat qateperewaaghuyalghiit Anipankuk meteghllugwenkuk piniqutepigsalghiik, quunpeng qerngaghmetaqelghiik.

ungipaghaninguq	ungipagh-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]-nguq[Encl]
ungipaghaninguq	ungipagh-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]-nguq[Encl]
ungipaghaninguq	ungipaghagh[N][Abs][4SgPoss][SgPosd]-nguq[Encl]
ungipaghaninguq	ungipaghagh[N][Abs][4SgPoss][PlPosd]-nguq[Encl]
ungipaghaninguq	ungipaghagh[N][Loc][Unpd][Pl]-nguq[Encl]
ungipaghaninguq	ungipagh-aq[V→N][N][Abs][4SgPoss][SgPosd]-nguq[Encl]
ungipaghaninguq	ungipagh-aq[V→N][N][Abs][4SgPoss][PlPosd]-nguq[Encl]
ungipaghaninguq	Ungipagh-–ghagh*[N→N][N][Abs][4SgPoss][SgPosd]-nguq[Encl]
ungipaghaninguq	Ungipagh-–ghagh*[N→N][N][Abs][4SgPoss][PlPosd]-nguq[Encl]

imani	ima-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
imani	ima-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
imani	ima-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
imani	ima-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
imani	ima-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
imani	ima-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
imani	ima-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
imani	ima-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
imani	ima-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
imani	imagh[N][Abs][4SgPoss][SgPosd]
imani	imagh[N][Abs][4SgPoss][PlPosd]
imani	imagh[N][Loc][Unpd][Pl]
imani	imanagh-––i[N→V][V][Intr][Opt][PRS][2Sg]
imani	imani
imani	ima-neq[V→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]

anipat	anipa[N][Abs][Unpd][Pl]
anipat	anipa[N][Rel][Unpd][Pl]

anipankuk	anipa-~sf-w:(e)nkuk[N→N][N][Abs][Unpd][Sg]

piniqutepigsalghiik	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
