Sikughaaghenkut, Kaviighhaankut, Meteghllugllagenkut 

sikughaaghenkut	sikughaagh-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]

kaviighhaankut	kaviigh-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]
kaviighhaankut	kavite-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]
kaviighhaankut	kavite*-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]
kaviighhaankut	kaviigh-–ghhagh*[N→N]-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]
kaviighhaankut	kavighte-@₁~:(u)n[V→N]-–ghhagh*[N→N]-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]

meteghllugllagenkut	meteghllug-–ghllag[N→N]-~sf-w:(e)nkut[N→N][N][Abs][Unpd][Sg]

------------------------
Iyaakam Apellgha 

------------------------


------------------------
Uksuum neqangisagani, Kaviighhaq pirughsaghtuumalghii Sikughaaghet umiilgitnun.

neqangisagani	neqangisag-aq[V→N][N][Abs][4SgPoss][SgPosd]
neqangisagani	neqangisag-aq[V→N][N][Abs][4SgPoss][PlPosd]

kaviighhaq	kaviigh-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
kaviighhaq	kavite-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
kaviighhaq	kavite*-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
kaviighhaq	kaviigh-–ghhagh*[N→N][N][Abs][Unpd][Sg]
kaviighhaq	kavighte-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]

pirughsaghtuumalghii	pirughte-@₁~fyaghtugh[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pirughsaghtuumalghii	pirughte-@₁~fyaghtugh[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pirughsaghtuumalghii	pirughte-@₁~fyaghtugh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
pirughsaghtuumalghii	pirughte-@₁~fyaghtugh[V→V]-~:(ng₁)u[V→V]-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

sikughaaghet	sikughaagh[N][Abs][Unpd][Pl]
sikughaaghet	sikughaagh[N][Rel][Unpd][Pl]

umiilgitnun	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––i[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––i[N→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––i[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-aq[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-aq[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––i[N→V]-aq[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––i[N→V]-aq[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––i[N→V]-aq[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––igh[N→V]-–ghte[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––ii[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––ii[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––ii[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––ii[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––ii[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––igh[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––igh[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––igh[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––igh[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––igh[N→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
umiilgitnun	umeg-––igh[N→V]-te[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][DuPosd]
umiilgitnun	umeg-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][PlPosd]
umiilgitnun	umeg-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3DuPoss][DuPosd]
umiilgitnun	umeg-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][PlPosd]
umiilgitnun	umeg-––igh[N→V]-~:(ng₁)u[V→V]-@₁~:(u)n[V→N]-–leg[N→N][N][Ter][3PlPoss][SgPosd]
