Pupigpalluq Mekelghiiq Nulightulghii

pupigpalluq	pupig-palluq[N→N][N][Abs][Unpd][Sg]

mekelghiiq	me-~–ke[N→V][V][Intr][Ptcp][3Sg]
mekelghiiq	mekelghiigh[N][Abs][Unpd][Sg]

nulightulghii	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-tu[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
nulightulghii	nulugh-––igh[N→V]-tu[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
nulightulghii	nulighh-––igh[N→V]-tu[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
nulightulghii	nulightugh-@₁–lghii[V→N][N][Abs][Unpd][Sg]
nulightulghii	nulighh-tu[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
nulightulghii	nulighh-tugh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------


------------------------
Ungipaghaatanga Tuliim

ungipaghaatanga	ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)te[V→V][V][Trns][Intrg][3Sg][1Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaghaatanga	ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][SgPosd]
