Aa Gguutkaa!

aa	aa

gguutkaa	ggute-~–ke[N→V][V][Intr][Intrg][3Sg]

------------------------


------------------------
Iyaakam Ungipaghaa

ungipaghaa	ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipagh-–ghagh*[N→N][N][Abs][3SgPoss][SgPosd]
ungipaghaa	ungipagh[V][Trns][Ind][3Sg][3Sg]
ungipaghaa	ungipaghagh-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipaghagh-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipaghagh[N][Abs][3SgPoss][SgPosd]
ungipaghaa	ungipaghagh[V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipagh-agh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	ungipagh-agh[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	Ungipagh-–ghagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	Ungipagh-–ghagh*[N→N][N][Abs][3SgPoss][SgPosd]
ungipaghaa	Ungipagh-agh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghaa	Ungipagh-agh[N→V][V][Intr][Opt][PRS][2Sg]

------------------------


------------------------
Qiitaq mekelghiighhaq gguusiqumalghii.

qiitaq	qiighw-––i[N→V]-@₁~:(u)te[V→V][V][Trns][Ind][3Sg][3Du]
qiitaq	qiighw-––i[N→V]-@₁~:(u)taq[V→N][N][Abs][Unpd][Sg]
qiitaq	qiighw-––i[N→V]-~:(u)te[V→V][V][Trns][Ind][3Sg][3Du]
qiitaq	qiighw-––i[N→V]-te[V→V][V][Trns][Ind][3Sg][3Du]
qiitaq	quug-––i[N→V]-@₁~:(u)te[V→V][V][Trns][Ind][3Sg][3Du]
qiitaq	quug-––i[N→V]-@₁~:(u)taq[V→N][N][Abs][Unpd][Sg]
qiitaq	quug-––i[N→V]-~:(u)te[V→V][V][Trns][Ind][3Sg][3Du]
qiitaq	quug-––i[N→V]-te[V→V][V][Trns][Ind][3Sg][3Du]

mekelghiighhaq	me-~–ke[N→V]-@₁–lghii[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
mekelghiighhaq	mekelghiigh-––i[N→V]-@₁~:(u)n[V→N]-–ghhagh*[N→N][N][Abs][Unpd][Sg]
mekelghiighhaq	mekelghiigh-–ghhagh*[N→N][N][Abs][Unpd][Sg]

gguusiqumalghii	gguusiqe-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
gguusiqumalghii	gguusiqe-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
Naani, Willu, ungipaasimakanga, "Gguutka aqnighllaguuq."

naani	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
naani	na-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
naani	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
naani	na-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
naani	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
naani	na-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
naani	na-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
naani	na-te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
naani	na-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
naani	na-~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
naani	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
naani	na-~:(u)te[V→N]-te[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
naani	na-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
naani	na-–ghte[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
naani	naa[N][Abs][4SgPoss][SgPosd]
naani	naa[N][Abs][4SgPoss][PlPosd]
naani	naa[N][Loc][Unpd][Pl]
naani	naa-ni[N→N][N][Abs][Unpd][Sg]
naani	na-aq[V→N][N][Abs][4SgPoss][SgPosd]
naani	na-aq[V→N][N][Abs][4SgPoss][PlPosd]

ungipaasimakanga	ungipagh-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaasimakanga	ungipagh-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaasimakanga	ungipagh-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaasimakanga	ungipagh-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaasimakanga	ungipagh-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]
ungipaasimakanga	ungipagh-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Cond][3Sg][1Sg]
ungipaasimakanga	ungipagh-–ghte[N→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]
ungipaasimakanga	ungipagh-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
ungipaasimakanga	ungipagh-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
