Yupigem Sanqutanganun Apeghtuusaqegkanun Liitaghaasighqat

yupigem	Yupig[N][Rel][Unpd][Sg]

sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][SgPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][PlPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][SgPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][PlPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→V]-~:(u)ta[V→N][N][Ter][3SgPoss][SgPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→V]-~:(u)ta[V→N][N][Ter][3SgPoss][PlPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][SgPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→N]-te[N→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][PlPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][SgPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qe[N→N]-te[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][PlPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qu[N→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][SgPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qu[N→V]-@₁~:(u)ta[V→N][N][Ter][3SgPoss][PlPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qu[N→V]-~:(u)ta[V→N][N][Ter][3SgPoss][SgPosd]
sanqutanganun	sa-@₁~:(u)n[V→N]-qu[N→V]-~:(u)ta[V→N][N][Ter][3SgPoss][PlPosd]

liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-te[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-sigh[V→V]-–ghqe[V→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-te[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)te[V→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-sigh[V→V]-–ghqe[V→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-te[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-sigh[V→V]-–ghqe[V→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-te[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-sigh[V→V]-–ghqe[V→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-te[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V]-sigh[V→V]-–ghqe[V→V][V][Intr][Intrg][3Pl]
liitaghaasighqat	legh-––i[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–ghagh*[N→N]-te[N→V]-@₁~:(u)siq[V→N]-–ghqe[N→V][V][Intr][Intrg][3Pl]
