Qilughwaaghneng Wayaallghiik

qilughwaaghneng	qilughwaagh[N][Abl_Mod][Unpd][Pl]

wayaallghiik	waya-te[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	waya-te[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	waya-te[N→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	waya-–ghte[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	waya-–ghte[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	waya-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	waya-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	waya-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	waya-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-–ghte[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-–ghte[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-–ghte[N→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-–ghte[N→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-–ghte[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-–ghte[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-–ghte[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	waya-ate[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	waya-ate[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	waya-ate[N→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-te[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-te[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-te[N→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(u)te[V→V][V][Intr][Ptcp][3Du]
wayaallghiik	wayagh-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
wayaallghiik	wayagh-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
wayaallghiik	wayagh-~:(u)te[V→N]-te[N→V][V][Intr][Ptcp][3Du]
