Siingvallagha

siingvallagha	siingvallagha[V][Intr][Opt][PRS][2Sg]

------------------------
Qugwayunghitem, efqughyunghitem met aanesqaghtameng akuzilghiini.

met	me[N][Abs][Unpd][Pl]
met	me[N][Rel][Unpd][Pl]

akuzilghiini	akuzi-@₁–lghii[V→N][N][Abs][4SgPoss][SgPosd]
akuzilghiini	akuzi-@₁–lghii[V→N][N][Abs][4SgPoss][PlPosd]
akuzilghiini	akuzi-@₁–lghii[V→N][N][Loc][Unpd][Pl]
akuzilghiini	akuzi-@₁–lghii[V→N]-ni[N→N][N][Abs][Unpd][Sg]
akuzilghiini	akuzi-–lghiini[V→V][V][Intr][Opt][PRS][2Sg]

------------------------


------------------------
Mekelghiiq naami meghtiisqesatni naani pii,

mekelghiiq	me-~–ke[N→V][V][Intr][Ptcp][3Sg]
mekelghiiq	mekelghiigh[N][Abs][Unpd][Sg]

naami	naa[N][Abs][Unpd][Sg]-mi[Encl]
naami	naa[N][Loc][Unpd][Sg]
naami	naa[N][Rel][4SgPoss][PlPosd]
naami	naa[N][Rel][4SgPoss][SgPosd]

meghtiisqesatni	me-–ghte[N→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Pl][4Sg]
meghtiisqesatni	me-–ghte[N→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Du][4Sg]
meghtiisqesatni	me-–ghte[N→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Sg][4Sg]
meghtiisqesatni	megh-–ghte[N→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Pl][4Sg]
meghtiisqesatni	megh-–ghte[N→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Du][4Sg]
meghtiisqesatni	megh-–ghte[N→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Sg][4Sg]
meghtiisqesatni	megh-–ghte[V→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Pl][4Sg]
meghtiisqesatni	megh-–ghte[V→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Du][4Sg]
meghtiisqesatni	megh-–ghte[V→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Sg][4Sg]
meghtiisqesatni	meghtagh-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Pl][4Sg]
meghtiisqesatni	meghtagh-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Du][4Sg]
meghtiisqesatni	meghtagh-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Sg][4Sg]
meghtiisqesatni	megh-te[N→V]-~i[V→V]-~sf:isqe[Cmpd_Vbl]-te[V→V][V][Trns][CnsqI][3Pl][4Sg]
