Aqsam imii

aqsam	aqsa[N][Rel][Unpd][Sg]

imii	imugh-––i[N→V][V][Intr][Intrg][3Sg]
imii	imugh-––igh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
imii	imugh-––igh[N→V][V][Intr][Opt][PRS][2Sg]
imii	imagh-––i[N→V][V][Intr][Intrg][3Sg]
imii	imagh-––igh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
imii	imagh-––igh[N→V][V][Intr][Opt][PRS][2Sg]
imii	imigh-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
imii	imigh[V][Intr][Opt][PRS][2Sg]
imii	ima-aq[V→N]-––i[N→V][V][Intr][Opt][PRS][2Sg]
imii	ima-~i[V→V][V][Intr][Opt][PRS][2Sg]
imii	ima[V][Trns][Ind][3Sg][3Pl]
imii	imagh[N][Abs][3SgPoss][PlPosd]
imii	imugh[N][Abs][3SgPoss][PlPosd]

------------------------
Anglegutkutiinalghiit.

anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~fna[V→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~fnagh[V→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~:(u)n[V→N]-agh[N→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~fna[V→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-@₁~fnagh[V→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fna[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fna[V→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fnagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)n[V→N]-–tu[N→V]-~i[V→V]-~:(u)te[V→V]-@₁~fnagh[V→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N]-agh[N→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)n[V→N]-agh[N→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-agh[N→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-te[V→V]-@₁~:(u)n[V→N]-agh[N→V][V][Intr][Ptcp][3Pl]
anglegutkutiinalghiit	anglegute-~–ke[N→V]-@₁~:(u)te[V→V]-~i[V→V]-~:(u)te[V→V]-@₁~:(u)n[V→N]-agh[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Pl]
