KILGAAN QIKMIGHAA

kilgaan	kilgaa[N][Abs][2SgPoss][SgPosd]

qikmighaa	qikmigh-––i[N→V]-@₁~:(u)n[V→N]-–ghagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
qikmighaa	qikmigh-––i[N→V]-@₁~:(u)n[V→N]-–ghagh*[N→N][N][Abs][3SgPoss][SgPosd]
qikmighaa	qikmigh-––igh[N→V][V][Trns][Ind][3Sg][3Sg]
qikmighaa	qikmigh-–ghagh*[N→N]-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
qikmighaa	qikmigh-–ghagh*[N→N][N][Abs][3SgPoss][SgPosd]
qikmighaa	qikmighagh-~:(ng₁)u[N→V][V][Intr][Opt][PRS][2Sg]
qikmighaa	qikmighagh[N][Abs][3SgPoss][SgPosd]
qikmighaa	qikmigh-agh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
qikmighaa	qikmigh-agh[N→V][V][Intr][Opt][PRS][2Sg]

------------------------
Iyaakam Apellgha

------------------------


------------------------
Sulpigem qikmini Siilpak mangteghameggnun living-room-memun itghulluku, neghsam qugweziineng iqlugsaghqameng tuunumakanga.

qikmini	qikmigh-––i[N→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
qikmini	qikmigh-––i[N→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
qikmini	qikmigh-––i[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
qikmini	qikmigh-––i[N→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
qikmini	qikmigh-––i[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
qikmini	qikmigh-––i[N→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
qikmini	qikmigh-––i[N→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
qikmini	qikmigh-––i[N→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
qikmini	qikmigh-––i[N→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
qikmini	qikmigh[N][Abs][4SgPoss][SgPosd]
qikmini	qikmigh[N][Abs][4SgPoss][PlPosd]
qikmini	qikmigh[N][Loc][Unpd][Pl]

mangteghameggnun	mangteghagh[N][Ter][4PlPoss][PlPosd]
mangteghameggnun	mangteghagh[N][Ter][4PlPoss][SgPosd]

itghulluku	itghute[V][Trns][Sbrd][_][3Sg]

neghsam	neghsagh[N][Rel][Unpd][Sg]

tuunumakanga	tum-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-~–(g₁)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tum-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-~sf–(g₃)kaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tum-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@₂~fkaq[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
tuunumakanga	tum-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)u[N→V]-@₁~:(i/u)ma[V→V]-@*@₂~sf–(g₂)k(a)e[V→N]-–nge[N→V][V][Intr][Intrg][3Sg]
