Leghlleq

leghlleq	leghllegh[N][Abs][Unpd][Sg]

------------------------


------------------------
Leghlleghet upenghami kaatutangitneng iingtalukillu unaknaqegkayuguut.

leghlleghet	leghllegh[N][Abs][Unpd][Pl]
leghlleghet	leghllegh[N][Rel][Unpd][Pl]

kaatutangitneng	kaaw-–tu[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N][N][Abl_Mod][Unpd][Pl]
kaatutangitneng	kaaw-–tu[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N][N][Abl_Mod][Unpd][Pl]
kaatutangitneng	kaaw-–tu[N→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3DuPoss][PlPosd]
kaatutangitneng	kaaw-–tu[N→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3DuPoss][DuPosd]
kaatutangitneng	kaaw-–tu[N→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3PlPoss][PlPosd]
kaatutangitneng	kaaw-–tu[N→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3PlPoss][SgPosd]
kaatutangitneng	kaaw-–tu[N→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3PlPoss][DuPosd]
kaatutangitneng	kaaw-–tu[N→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N][N][Abl_Mod][Unpd][Pl]
kaatutangitneng	kaaw-–tu[N→V]-~:(u)ta[V→N][N][Abl_Mod][3DuPoss][PlPosd]
kaatutangitneng	kaaw-–tu[N→V]-~:(u)ta[V→N][N][Abl_Mod][3DuPoss][DuPosd]
kaatutangitneng	kaaw-–tu[N→V]-~:(u)ta[V→N][N][Abl_Mod][3PlPoss][PlPosd]
kaatutangitneng	kaaw-–tu[N→V]-~:(u)ta[V→N][N][Abl_Mod][3PlPoss][SgPosd]
kaatutangitneng	kaaw-–tu[N→V]-~:(u)ta[V→N][N][Abl_Mod][3PlPoss][DuPosd]
kaatutangitneng	kaaw-–tu[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N][N][Abl_Mod][Unpd][Pl]
kaatutangitneng	kaaw-–tu[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N][N][Abl_Mod][Unpd][Pl]
kaatutangitneng	kaaw-–tu[V→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3DuPoss][PlPosd]
kaatutangitneng	kaaw-–tu[V→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3DuPoss][DuPosd]
kaatutangitneng	kaaw-–tu[V→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3PlPoss][PlPosd]
kaatutangitneng	kaaw-–tu[V→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3PlPoss][SgPosd]
kaatutangitneng	kaaw-–tu[V→V]-@₁~:(u)ta[V→N][N][Abl_Mod][3PlPoss][DuPosd]
kaatutangitneng	kaaw-–tu[V→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N][N][Abl_Mod][Unpd][Pl]
