Yupigem Homonym-ngi

yupigem	Yupig[N][Rel][Unpd][Sg]

------------------------


------------------------
Qikmighwaagha

qikmighwaagha	qikmighwaagh[N][Abs][3SgPoss][SgPosd]

------------------------


------------------------
1. Ayveghem, maklagem, neghsam neghqwaaghi sipsamelnguutlu, ggayegmelnguutlu.

ayveghem	ayvegh[N][Rel][Unpd][Sg]

maklagem	Maklag[N][Rel][Unpd][Sg]
maklagem	maklag[N][Rel][Unpd][Sg]

neghsam	neghsagh[N][Rel][Unpd][Sg]

neghqwaaghi	neghqwaagh[N][Abs][3SgPoss][PlPosd]

------------------------
"Neghsam qikmighwaagha whanga pilleqaqa naghaaghutnguluku," pii naani mekelghiighhaam.

neghsam	neghsagh[N][Rel][Unpd][Sg]

qikmighwaagha	qikmighwaagh[N][Abs][3SgPoss][SgPosd]

whanga	wha[N][Abs][3SgPoss][SgPosd]
whanga	whanga

pilleqaqa	pi-@₁~:(u)te[V→V]-@₁lleqe[V→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
pilleqaqa	pi-@₁~:(u)te[V→V]-@₁lleqe[V→V][V][Trns][Ind][1Sg][3Sg]
pilleqaqa	pi-te[N→V]-@₁lleqe[V→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
pilleqaqa	pi-te[N→V]-@₁lleqe[V→V][V][Trns][Ind][1Sg][3Sg]
pilleqaqa	pi-te[V→V]-@₁lleqe[V→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
pilleqaqa	pi-te[V→V]-@₁lleqe[V→V][V][Trns][Ind][1Sg][3Sg]
pilleqaqa	pi-~:(u)te[V→V]-@₁lleqe[V→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
pilleqaqa	pi-~:(u)te[V→V]-@₁lleqe[V→V][V][Trns][Ind][1Sg][3Sg]
pilleqaqa	pi-~:(u)te[V→N]-te[N→V]-@₁lleqe[V→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
pilleqaqa	pi-~:(u)te[V→N]-te[N→V]-@₁lleqe[V→V][V][Trns][Ind][1Sg][3Sg]
pilleqaqa	pi-–lleq[V→N]-~–ke[N→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
pilleqaqa	pi-–lleq[V→N][N][Abs][1SgPoss][SgPosd]-qa[Encl]
pilleqaqa	pi-–lleq[V→N][N][Abs][3SgPoss][SgPosd]-qa[Encl]
pilleqaqa	pi-–lleq[V→N]-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][Unpd][Sg]
pilleqaqa	pi-@₁lleqe[V→V]-~(g₁)aqe[V→V][V][Intr][Intrg][3Sg]
pilleqaqa	pi-@₁lleqe[V→V][V][Trns][Ind][1Sg][3Sg]

naghaaghutnguluku	na-@₁~:(u)n[V→N]-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₁~:(u)te[V→V]-~:(ng₁)u[V→V][V][Trns][Sbrd][_][3Sg]
