Part 1

------------------------
Sivuqam Ungipaghii

sivuqam	Sivuqagh[N][Rel][Unpd][Sg]

ungipaghii	ungipagh-–ghagh*[N→N][N][Abs][3SgPoss][PlPosd]
ungipaghii	ungipagh-aq[V→N]-––i[N→V][V][Intr][Intrg][3Sg]
ungipaghii	ungipagh-aq[V→N]-––igh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghii	ungipagh-aq[V→N]-––igh[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghii	ungipagh-~i[V→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghii	ungipagh-~i[V→V][V][Intr][Intrg][3Sg]
ungipaghii	ungipaghagh-––i[N→V][V][Intr][Intrg][3Sg]
ungipaghii	ungipaghagh-––igh[N→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
ungipaghii	ungipaghagh-––igh[N→V][V][Intr][Opt][PRS][2Sg]
ungipaghii	ungipagh[V][Trns][Ind][3Sg][3Pl]
ungipaghii	ungipaghagh[N][Abs][3SgPoss][PlPosd]
ungipaghii	Ungipagh-–ghagh*[N→N][N][Abs][3SgPoss][PlPosd]

------------------------
