Sulpik Naapleghhii Kaviighmeng

naapleghhii	naapte-@₁–lghii[V→N][N][Abs][Unpd][Sg]

kaviighmeng	kaviigh[N][Abl_Mod][Unpd][Sg]
kaviighmeng	kaviigh[N][Rel][4DuPoss][PlPosd]
kaviighmeng	kaviigh[N][Rel][4DuPoss][SgPosd]
kaviighmeng	kaviigh[N][Rel][4PlPoss][PlPosd]
kaviighmeng	kaviigh[N][Rel][4PlPoss][SgPosd]

------------------------
Tuug’ghim Apellgha

------------------------


------------------------
Sulpik quunpeng sumeghtaghaghaqelghii unkuseniigh­meng kaviighniighmeng uksumi.

quunpeng	quunpeng

sumeghtaghaghaqelghii	sumeghtaghagh-~(g₁)aqe[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghaqelghii	sumeghtaghagh-aq[V→N]-~–ke[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghaqelghii	sumegh-taq[N→N]-–ghagh*[N→N]-–ghagh*[N→N]-~–ke[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghaqelghii	sumegh-ta[N→N]-–ghagh*[N→N]-–ghagh*[N→N]-~–ke[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
sumeghtaghaghaqelghii	sumegh-tagh[N→V]-aq[V→N]-–ghagh*[N→N]-~–ke[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
Uspeqaqelghii neqesghightughnaluni temngi tamaagun nunivagkun uyavanteghllag­penaan nemeng.

uspeqaqelghii	uspeqe-~(g₁)aqe[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

temngi	temngi

nunivagkun	nunivag[N][Via][Unpd][Sg]

nemeng	ne[N][Abl_Mod][Unpd][Sg]
nemeng	ne[N][Rel][4DuPoss][PlPosd]
nemeng	ne[N][Rel][4DuPoss][SgPosd]
nemeng	ne[N][Rel][4PlPoss][PlPosd]
nemeng	ne[N][Rel][4PlPoss][SgPosd]

------------------------
Piyugmeng kaasugnaghluki siifqaghnaluni.

piyugmeng	pi-@₁~:(u)te[V→V]-@₁~f–yu[V→N][N][Rel][4DuPoss][DuPosd]
piyugmeng	pi-@₁~:(u)te[V→V]-@₁~f–yu[V→N][N][Rel][4PlPoss][DuPosd]
piyugmeng	pi-@₁~f–yu[V→N][N][Rel][4DuPoss][DuPosd]
piyugmeng	pi-@₁~f–yu[V→N][N][Rel][4PlPoss][DuPosd]
piyugmeng	pi-~:(u)te[V→V]-@₁~f–yu[V→N][N][Rel][4DuPoss][DuPosd]
piyugmeng	pi-~:(u)te[V→V]-@₁~f–yu[V→N][N][Rel][4PlPoss][DuPosd]
piyugmeng	piyug[N][Abl_Mod][Unpd][Sg]
piyugmeng	piyug[N][Rel][4DuPoss][PlPosd]
piyugmeng	piyug[N][Rel][4DuPoss][SgPosd]
piyugmeng	piyug[N][Rel][4PlPoss][PlPosd]
piyugmeng	piyug[N][Rel][4PlPoss][SgPosd]
piyugmeng	piyug[Abl_Mod][Unpd][Sg]

kaasugnaghluki	kaate-@₁~fyug[V→V]-@₁~fnagh[V→V][V][Trns][Sbrd][_][3Pl]
kaasugnaghluki	kaate-@₁~fyugnagh[V→V][V][Trns][Sbrd][_][3Pl]

siifqaghnaluni	siigh-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	siigh-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	siigh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	siigh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	siigh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	siigh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	siigh-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	siigh-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	siigh-––igh[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	siigh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	siigh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	siigh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	siigh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	siigh-––igh[N→V]-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sii-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sii-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sii-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sii-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sii-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sii-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sii-–fqagh[V→V]-@₁~fna[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fnaq[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)te[V→V][V][Intr][Sbrd][3Sg]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][SgPosd]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-@₁~:(u)n[V→N]-–luk[N→N][N][Abs][4SgPoss][PlPosd]
siifqaghnaluni	sa-aq[V→N]-––i[N→V]-–fqagh[V→V]-@₁~fna[V→V]-~:(u)te[V→V][V][Intr][Sbrd][3Sg]
