Vuvallanga Ayapeghyugem (1)

------------------------
(1) Ayapeghyugnguq taana Avatmiit pikaat, Walangankut Kepelgunkut saknaaghat.

ayapeghyugnguq	ayapegh-@₁~fyug[V→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]

taana	taane[V][Intr][Intrg][3Sg]
taana	taana

avatmiit	Avate-~fmii[N→N][N][Abs][Unpd][Pl]
avatmiit	Avate-~fmii[N→N][N][Rel][Unpd][Pl]
avatmiit	Avatmii(t)[N][Abs][Unpd][Pl]
avatmiit	Avatmii(t)[N][Rel][Unpd][Pl]

------------------------


	

------------------------
Vuvallam sanqutangi sivuliq qalik, signeghet, qaltaghwaaghek, aghqusighhaak tughneghaghnun, saguyak, tagnelghii nanighhaq kumangalghii.

vuvallam	vuvalla[N][Rel][Unpd][Sg]

sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-te[V→V]-@₁~:(u)taq[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-te[V→V]-@₁~:(u)ta[V→N][N][Abs][3SgPoss][PlPosd]
sanqutangi	sa-@₁~:(u)n[V→N]-qe[N→V]-~:(u)ta[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
