Yughqutaam Ighnegha Kiighwyaaghtekaq

ighnegha	ighnegh[N][Abs][3SgPoss][SgPosd]

kiighwyaaghtekaq	kiighwyagh-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~–(g₁)kaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-–ghte[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₂~fkaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~–(g₁)kaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₂~fkaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~–(g₁)kaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-te[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₂~fkaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-~–(g₁)kaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-–ghte[N→V]-@₂~fkaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-~:(ng₁)u[N→V]-–ghte[V→V]-~–(g₁)kaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-~:(ng₁)u[N→V]-–ghte[V→V]-@₂~fkaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-~:(ng₁)ughte[N→V]-~–(g₁)kaq[V→N][N][Abs][Unpd][Sg]
kiighwyaaghtekaq	kiighwyagh-~:(ng₁)ughte[N→V]-@₂~fkaq[V→N][N][Abs][Unpd][Sg]

------------------------


	

------------------------
Kiyaghsimaa nalighmeng kiyaghsimangita, maalghuk nulighqullghiik yugek avaqutiilnguuk.

kiyaghsimaa	kiyaghte-@₁~:(i/u)ma[V→V][V][Intr][Intrg][3Sg]
kiyaghsimaa	kiyaghte-@₁~:(i/u)magh[V→V]-~:(ng₁)u[V→V][V][Intr][Opt][PRS][2Sg]
kiyaghsimaa	kiyaghte-@₁~:(i/u)magh[V→V][V][Intr][Opt][PRS][2Sg]

nalighmeng	naligh*[N][Abl_Mod][Unpd][Sg]
nalighmeng	naligh*[N][Rel][4DuPoss][PlPosd]
nalighmeng	naligh*[N][Rel][4DuPoss][SgPosd]
nalighmeng	naligh*[N][Rel][4PlPoss][PlPosd]
nalighmeng	naligh*[N][Rel][4PlPoss][SgPosd]
nalighmeng	nalighmeng
nalighmeng	nalighmeng[N][Abs][Unpd][Sg]

kiyaghsimangita	kiyaghte-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V][V][Intr][Intrg][3Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)ta[V→N][N][Abs][Unpd][Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→V][V][Intr][Intrg][3Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-~:(u)ta[V→N][N][Abs][Unpd][Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)ma[V→V]-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V]-te[V→V][V][Intr][Intrg][3Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)ma[V→V]-~:(ng₁)ite[V→V][V][Intr][Intrg][3Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)man[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)te[V→V][V][Intr][Intrg][3Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)man[V→N]-–nge[N→V]-~i[V→V]-@₁~:(u)ta[V→N][N][Abs][Unpd][Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)man[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→V][V][Intr][Intrg][3Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)man[V→N]-–nge[N→V]-~i[V→V]-~:(u)te[V→N][N][Abs][Unpd][Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)man[V→N]-–nge[N→V]-~i[V→V]-~:(u)ta[V→N][N][Abs][Unpd][Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)man[V→N]-–nge[N→V]-~i[V→V]-te[V→V][V][Intr][Intrg][3Sg]
kiyaghsimangita	kiyaghte-@₁~:(i/u)mangite[V→V][V][Intr][Intrg][3Sg]

maalghuk	maalghug[N][Abs][Unpd][Sg]

nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-@₁~:(u)n[V→N]-–ghqe[N→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
