Yuggaq Unangyiilnguq Enkaam Nanuq

enkaam	enkaam

nanuq	nanugh[N][Abs][Unpd][Sg]
nanuq	nanugh*[N][Abs][Unpd][Sg]

------------------------


	

------------------------
Iimnanguq yuggaq kiyaghsimalghii nunaaghmi enngaatall unangyiitepiglleghhii.

iimnanguq	iime-@₁~f–neq[V→N]-–nge[N→V][V][Intr][Ind][3Sg]
iimnanguq	iime-@₁~neq[V→N]-–nge[N→V][V][Intr][Ind][3Sg]
iimnanguq	iime-@₁~fnaq[V→N]-–nge[N→V][V][Intr][Ind][3Sg]
iimnanguq	iime-@₁~fna[V→V]-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Ind][3Sg]
iimnanguq	iime-@₁~fna[V→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]
iimnanguq	iime-@₁~fna[V→V]-–ngugh*[V→N][N][Abs][Unpd][Sg]
iimnanguq	iime-@₁~fnagh[V→V]-–ngugh*[V→N][N][Abs][Unpd][Sg]
iimnanguq	iimna-–nge[N→V][V][Intr][Ind][3Sg]
iimnanguq	iimna[N][Abs][Unpd][Sg]-nguq[Encl]
iimnanguq	iimnanguq
iimnanguq	iimnangugh[N][Abs][Unpd][Sg]

kiyaghsimalghii	kiyaghte-@₁~:(i/u)ma[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
kiyaghsimalghii	kiyaghte-@₁~:(i/u)magh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

nunaaghmi	nunaagh[N][Abs][Unpd][Sg]-mi[Encl]
nunaaghmi	nunaagh[N][Loc][Unpd][Sg]
nunaaghmi	nunaagh[N][Rel][4SgPoss][PlPosd]
nunaaghmi	nunaagh[N][Rel][4SgPoss][SgPosd]

enngaatall	enngaatall

unangyiitepiglleghhii	una-–nge[N→V]-@₁~f–yu[V→V]-~i[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	una-–nge[N→V]-@₁~f–yu[V→V]-~i[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	una-–nge[N→V]-@₁~f–yu[V→V]-~i[V→V]-te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	una-–nge[N→V]-@₁~f–yu[V→N]-––i[N→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	una-–nge[N→V]-@₁~f–yu[V→N]-––i[N→V]-~:(u)te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	una-–nge[N→V]-@₁~f–yu[V→N]-––i[N→V]-te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	una-–nge[N→V]-@₁~f–yiite[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	una-–nge[N→V]-@₁~fyagh[V→V]-~:(ng₁)ite[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	unange-@₁~f–yu[V→V]-~i[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	unange-@₁~f–yu[V→V]-~i[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	unange-@₁~f–yu[V→V]-~i[V→V]-te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	unange-@₁~f–yu[V→N]-––i[N→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	unange-@₁~f–yu[V→N]-––i[N→V]-~:(u)te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	unange-@₁~f–yu[V→N]-––i[N→V]-te[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	unange-@₁~f–yiite[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
unangyiitepiglleghhii	unange-@₁~fyagh[V→V]-~:(ng₁)ite[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
Ilangi mughutalgutangi unangaqelghiit ellnga mughulluni taglaneghmini avangunani.

ilangi	ila-@₁~:(u)n[V→N]-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ilangi	ila-@₁~:(u)n[V→N]-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ilangi	ila-–nge[N→V]-~i[V→V][V][Intr][Opt][PRS][2Sg]
ilangi	ila-–nge[N→V][V][Intr][Opt][PRS][2Sg]
ilangi	ila[N][Abs][3SgPoss][PlPosd]

