Egeghaghmii (1)

------------------------
(1) Egeghaq.

egeghaq	Egeghagh[N][Abs][Unpd][Sg]

------------------------
Una ama ayumightaq nuna Ploverem kangiighaanilnguq.

una	ete-@₁~:(u)n[V→N][N][Abs][3SgPoss][SgPosd]
una	una
una	una[N][Abs][Unpd][Sg]

ama	ama

ayumightaq	ayumigh*-–ghte[N→V][V][Trns][Ind][3Sg][3Du]
ayumightaq	ayumigh*-te[N→V][V][Trns][Ind][3Sg][3Du]
ayumightaq	ayumigh*-taq[N→N][N][Abs][Unpd][Sg]
ayumightaq	ayumightagh[N][Abs][Unpd][Sg]

nuna	ne-te[N→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][SgPosd]
nuna	nuna[N][Abs][Unpd][Sg]

kangiighaanilnguq	Kangii-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ptcp][3Sg]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-–ghte[N→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ptcp][3Du]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ptcp][3Sg]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-–ghte[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ptcp][3Du]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ptcp][3Sg]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-te[N→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ptcp][3Du]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ptcp][3Sg]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-te[N→V]-te[V→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V][V][Intr][Ptcp][3Du]
kangiighaanilnguq	Kangii-–ghagh*[N→N]-~:(ng₁)u[N→V]-@₁~:(u)n[V→N]-~:(ng₁)ite**[N→V]-@*ngugh*[V→N][N][Abs][Unpd][Sg]
