Yuuk Enkaam Qateghyiighaghhaq

enkaam	enkaam

qateghyiighaghhaq	qateghyiighagh*-–ghhagh*[N→N][N][Abs][Unpd][Sg]

------------------------


	

------------------------
Yuugnguq iimna aghvengyupiglleghhii.

iimna	iime-@₁~fna[V→V][V][Intr][Opt][PRS][2Sg]
iimna	iimna
iimna	iimna[N][Abs][Unpd][Sg]

aghvengyupiglleghhii	aghvegh-–nge[N→V]-@₁~f–yu[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aghvengyupiglleghhii	aghvegh-–nge[N→V]-@₁~fyug[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aghvengyupiglleghhii	aghvenge-@₁~f–yu[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]
aghvengyupiglleghhii	aghvenge-@₁~fyug[V→V]-–pigte[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Sg]

------------------------
aaten ilangani nuliini pimakanga, "Enta tanpeghhmeng akmagutangllaa!"

maaten	maaten
maaten	maatete[N][Abs][Unpd][Sg]

ilangani	ila-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-@₁~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
ilangani	ila-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][PlPosd]
ilangani	ila-~fnga[V→V]-@₁~:(u)n[V→N][N][Abs][3SgPoss][PlPosd]
ilangani	ila-~fnga[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-~:(u)te[V→V]-@₁~fni[V→V][V][Intr][Opt][PRS][2Sg]
ilangani	ila-~fnga[V→V]-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl][V][Intr][Opt][PRS][2Sg]
ilangani	ila[N][Loc][3SgPoss][SgPosd]
ilangani	ila[N][Loc][3SgPoss][PlPosd]
ilangani	ilangani
ilangani	ilangani[N][Abs][Unpd][Sg]

nuliini	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-@₁~:(u)te[V→V]-@₁~:(u)n[V→N][N][Abs][4SgPoss][SgPosd]
