aghvegh[N][Abl_Mod][Unpd][Sg]	aghveghmeng
anigu[N][Abl_Mod][Unpd][Sg]	anigumeng
aqavzig[N][Abl_Mod][Unpd][Sg]	aqavzigmeng
aqelqagh[N][Abl_Mod][Unpd][Sg]	aqelqameng
ayvegh[N][Abl_Mod][Unpd][Sg]	ayveghmeng
esla[N][Abl_Mod][Unpd][Sg]	eslameng
iqallug[N][Abl_Mod][Unpd][Sg]	iqallugmeng
kayu[N][Abl_Mod][Unpd][Sg]	kayumeng
kemegh[N][Abl_Mod][Unpd][Sg]	kemeghmeng
kufi[N][Abl_Mod][Unpd][Sg]	kufimeng
Laluramke[N][Abl_Mod][Unpd][Sg]	Laluramkemeng
megh[N][Abl_Mod][Unpd][Sg]	meghmeng
naayvagh[N][Abl_Mod][Unpd][Sg]	naayvameng
neghsagh[N][Abl_Mod][Unpd][Sg]	neghsameng
neqe[N][Abl_Mod][Unpd][Sg]	neqmeng
nuna[N][Abl_Mod][Unpd][Sg]	nunameng
pagunghagh*[N][Abl_Mod][Unpd][Sg]	pagunghaghmeng
sikig[N][Abl_Mod][Unpd][Sg]	sikigmeng
Sivungagh*[N][Abl_Mod][Unpd][Sg]	Sivungaghmeng
Sivuqagh[N][Abl_Mod][Unpd][Sg]	Sivuqameng
ukazig[N][Abl_Mod][Unpd][Sg]	ukazigmeng
ulghaagh[N][Abl_Mod][Unpd][Sg]	ulghaaghmeng
Ungazigh[N][Abl_Mod][Unpd][Sg]	Ungazimeng
uqugh[N][Abl_Mod][Unpd][Sg]	uqumeng
vegaagh[N][Abl_Mod][Unpd][Sg]	vegaaghmeng
veg[N][Abl_Mod][Unpd][Sg]	vegmeng
yavlu[N][Abl_Mod][Unpd][Sg]	yavlumeng
yaywaali[N][Abl_Mod][Unpd][Sg]	yaywaalimeng
