aane[Intr_Ind][1Du]	aanukung
aane[Intr_Ind][1Pl]	aanukut
aane[Intr_Ind][1Sg]	aanunga
aane[Intr_Ind][2Du]	aanutek
aane[Intr_Ind][2Pl]	aanusi
aane[Intr_Ind][2Sg]	aanuten
aane[Intr_Ind][3Du]	aanuk
aane[Intr_Ind][3Pl]	aanut
aane[Intr_Ind][3Sg]	aanuq
aange[Intr_Ind][1Du]	aangukung
aange[Intr_Ind][1Pl]	aangukut
aange[Intr_Ind][1Sg]	aangunga
aange[Intr_Ind][2Du]	aangutek
aange[Intr_Ind][2Pl]	aangusi
aange[Intr_Ind][2Sg]	aanguten
aange[Intr_Ind][3Du]	aanguk
aange[Intr_Ind][3Pl]	aangut
aange[Intr_Ind][3Sg]	aanguq
aghula[Intr_Ind][1Du]	aghulaakung
aghula[Intr_Ind][1Pl]	aghulaakut
aghula[Intr_Ind][1Sg]	aghulaanga
aghula[Intr_Ind][2Du]	aghulaatek
aghula[Intr_Ind][2Pl]	aghulaasi
aghula[Intr_Ind][2Sg]	aghulaaten
aghula[Intr_Ind][3Du]	aghulaak
aghula[Intr_Ind][3Pl]	aghulaat
aghula[Intr_Ind][3Sg]	aghulaaq
aghulaqe[Intr_Ind][1Du]	aghulaqukung
aghulaqe[Intr_Ind][1Pl]	aghulaqukut
aghulaqe[Intr_Ind][1Sg]	aghulaqunga
aghulaqe[Intr_Ind][2Du]	aghulaqutek
aghulaqe[Intr_Ind][2Pl]	aghulaqusi
aghulaqe[Intr_Ind][2Sg]	aghulaquten
aghulaqe[Intr_Ind][3Du]	aghulaquk
aghulaqe[Intr_Ind][3Pl]	aghulaqut
aghulaqe[Intr_Ind][3Sg]	aghulaquq
alinge[Intr_Ind][1Du]	alingukung
alinge[Intr_Ind][1Pl]	alingukut
alinge[Intr_Ind][1Sg]	alingunga
alinge[Intr_Ind][2Du]	alingutek
alinge[Intr_Ind][2Pl]	alingusi
alinge[Intr_Ind][2Sg]	alinguten
alinge[Intr_Ind][3Du]	alinguk
alinge[Intr_Ind][3Pl]	alingut
