aaw[N][Abs][Du]	aawek
aaw[N][Abs][Pl]	aawet
aaw[N][Abs][Sg]	aakw
aghnaghagh*[N][Abs][Du]	aghnaghaak
aghnaghagh*[N][Abs][Pl]	aghnaghaat
aghnaghagh*[N][Abs][Sg]	aghnaghaq
ape[N][Abs][Du]	apek
ape[N][Abs][Pl]	apet
ape[N][Abs][Sg]	apa
ata[N][Abs][Du]	atak
ata[N][Abs][Pl]	atat
ata[N][Abs][Sg]	ata
avaqutagh[N][Abs][Du]	avaqutak
avaqutagh[N][Abs][Pl]	avaqutat
avaqutagh[N][Abs][Sg]	avaqutaq
eltughagh*[N][Abs][Du]	eltughaak
eltughagh*[N][Abs][Pl]	eltughaat
eltughagh*[N][Abs][Sg]	eltughaq
ighnegh[N][Abs][Du]	ighneghek
ighnegh[N][Abs][Pl]	ighneghet
ighnegh[N][Abs][Sg]	ighneq
iigge[N][Abs][Du]	iiggek
iigge[N][Abs][Pl]	iigget
iigge[N][Abs][Sg]	iigga
mekelghiigh[N][Abs][Du]	mekelghiighek
mekelghiigh[N][Abs][Pl]	mekelghiighet
mekelghiigh[N][Abs][Sg]	mekelghiiq
mekestaaghhagh*[N][Abs][Du]	mekestaaghhaak
mekestaaghhagh*[N][Abs][Pl]	mekestaaghhaat
mekestaaghhagh*[N][Abs][Sg]	mekestaaghhaq
naa[N][Abs][Du]	naak
naa[N][Abs][Pl]	naat
naa[N][Abs][Sg]	naa
nengyugh*[N][Abs][Du]	nengyuuk
nengyugh*[N][Abs][Pl]	nengyuut
nengyugh*[N][Abs][Sg]	nengyuq
nuliigh[N][Abs][Du]	nuliighek
nuliigh[N][Abs][Pl]	nuliighet
nuliigh[N][Abs][Sg]	nuliiq
nuyagh[N][Abs][Du]	nuyak
nuyagh[N][Abs][Pl]	nuyat
nuyagh[N][Abs][Sg]	nuyaq
panig[N][Abs][Du]	panigek
panig[N][Abs][Pl]	paniget
panig[N][Abs][Sg]	panik
seghlegh[N][Abs][Du]	seghleghek
seghlegh[N][Abs][Pl]	seghleghet
seghlegh[N][Abs][Sg]	seghleq
takestaaghhagh*[N][Abs][Du]	takestaaghhaak
takestaaghhagh*[N][Abs][Pl]	takestaaghhaat
takestaaghhagh*[N][Abs][Sg]	takestaaghhaq
ugi[N][Abs][Du]	ugik
ugi[N][Abs][Pl]	ugit
ugi[N][Abs][Sg]	ugi
