aane[V][Intr][Ind][1Du]	aanukung
aane[V][Intr][Ind][1Pl]	aanukut
aane[V][Intr][Ind][1Sg]	aanunga
aane[V][Intr][Ind][2Du]	aanutek
aane[V][Intr][Ind][2Pl]	aanusi
aane[V][Intr][Ind][2Sg]	aanuten
aane[V][Intr][Ind][3Du]	aanuk
aane[V][Intr][Ind][3Pl]	aanut
aane[V][Intr][Ind][3Sg]	aanuq
aange[V][Intr][Ind][1Du]	aangukung
aange[V][Intr][Ind][1Pl]	aangukut
aange[V][Intr][Ind][1Sg]	aangunga
aange[V][Intr][Ind][2Du]	aangutek
aange[V][Intr][Ind][2Pl]	aangusi
aange[V][Intr][Ind][2Sg]	aanguten
aange[V][Intr][Ind][3Du]	aanguk
aange[V][Intr][Ind][3Pl]	aangut
aange[V][Intr][Ind][3Sg]	aanguq
aghulaqe[V][Intr][Ind][1Du]	aghulaqukung
aghulaqe[V][Intr][Ind][1Pl]	aghulaqukut
aghulaqe[V][Intr][Ind][1Sg]	aghulaqunga
aghulaqe[V][Intr][Ind][2Du]	aghulaqutek
aghulaqe[V][Intr][Ind][2Pl]	aghulaqusi
aghulaqe[V][Intr][Ind][2Sg]	aghulaquten
aghulaqe[V][Intr][Ind][3Du]	aghulaquk
aghulaqe[V][Intr][Ind][3Pl]	aghulaqut
aghulaqe[V][Intr][Ind][3Sg]	aghulaquq
aghula[V][Intr][Ind][1Du]	aghulaakung
aghula[V][Intr][Ind][1Pl]	aghulaakut
aghula[V][Intr][Ind][1Sg]	aghulaanga
aghula[V][Intr][Ind][2Du]	aghulaatek
aghula[V][Intr][Ind][2Pl]	aghulaasi
aghula[V][Intr][Ind][2Sg]	aghulaaten
aghula[V][Intr][Ind][3Du]	aghulaak
aghula[V][Intr][Ind][3Pl]	aghulaat
aghula[V][Intr][Ind][3Sg]	aghulaaq
alinge[V][Intr][Ind][1Du]	alingukung
alinge[V][Intr][Ind][1Pl]	alingukut
alinge[V][Intr][Ind][1Sg]	alingunga
alinge[V][Intr][Ind][2Du]	alingutek
alinge[V][Intr][Ind][2Pl]	alingusi
alinge[V][Intr][Ind][2Sg]	alinguten
alinge[V][Intr][Ind][3Du]	alinguk
alinge[V][Intr][Ind][3Pl]	alingut
alinge[V][Intr][Ind][3Sg]	alinguq
aqii[V][Intr][Ind][1Du]	aqiigukung
