aakagh*[N][Equ][1SgPoss][SgPosd]	aakamtun
aakagh*[N][Equ][2SgPoss][SgPosd]	aakaghpetun
aakagh*[N][Equ][3SgPoss][SgPosd]	aakaatun
aakagh*[N][Loc][1SgPoss][SgPosd]	aakamni
aakagh*[N][Loc][2SgPoss][SgPosd]	aakaghpeni
aakagh*[N][Loc][3SgPoss][SgPosd]	aakaani
aakagh*[N][Ter][1SgPoss][SgPosd]	aakamnun
aakagh*[N][Ter][2SgPoss][SgPosd]	aakaghpenun
aakagh*[N][Ter][3SgPoss][SgPosd]	aakaanun
aakagh*[N][Via][1SgPoss][SgPosd]	aakamkun
aakagh*[N][Via][2SgPoss][SgPosd]	aakaghpekun
aakagh*[N][Via][3SgPoss][SgPosd]	aakaakun
amig[N][Equ][1SgPoss][SgPosd]	amimtun
amig[N][Equ][2SgPoss][SgPosd]	amigpetun
amig[N][Equ][3SgPoss][SgPosd]	amigatun
amig[N][Loc][1SgPoss][SgPosd]	amimni
amig[N][Loc][2SgPoss][SgPosd]	amigpeni
amig[N][Loc][3SgPoss][SgPosd]	amigani
amig[N][Ter][1SgPoss][SgPosd]	amimnun
amig[N][Ter][2SgPoss][SgPosd]	amigpenun
amig[N][Ter][3SgPoss][SgPosd]	amiganun
amig[N][Via][1SgPoss][SgPosd]	amimkun
amig[N][Via][2SgPoss][SgPosd]	amigpekun
amig[N][Via][3SgPoss][SgPosd]	amigakun
angyagh[N][Equ][1SgPoss][SgPosd]	angyamtun
angyagh[N][Equ][2SgPoss][SgPosd]	angyaghpetun
angyagh[N][Equ][3SgPoss][SgPosd]	angyaatun
angyagh[N][Loc][1SgPoss][SgPosd]	angyamni
angyagh[N][Loc][2SgPoss][SgPosd]	angyaghpeni
angyagh[N][Loc][3SgPoss][SgPosd]	angyaani
angyagh[N][Ter][1SgPoss][SgPosd]	angyamnun
angyagh[N][Ter][2SgPoss][SgPosd]	angyaghpenun
angyagh[N][Ter][3SgPoss][SgPosd]	angyaanun
angyagh[N][Via][1SgPoss][SgPosd]	angyamkun
angyagh[N][Via][2SgPoss][SgPosd]	angyaghpekun
angyagh[N][Via][3SgPoss][SgPosd]	angyaakun
aveg[N][Equ][1SgPoss][SgPosd]	avemtun
aveg[N][Equ][2SgPoss][SgPosd]	avegpetun
aveg[N][Equ][3SgPoss][SgPosd]	aavgatun
aveg[N][Loc][1SgPoss][SgPosd]	avemni
aveg[N][Loc][2SgPoss][SgPosd]	avegpeni
aveg[N][Loc][3SgPoss][SgPosd]	aavgani
aveg[N][Ter][1SgPoss][SgPosd]	avemnun
aveg[N][Ter][2SgPoss][SgPosd]	avegpenun
aveg[N][Ter][3SgPoss][SgPosd]	aavganun
aveg[N][Via][1SgPoss][SgPosd]	avemkun
aveg[N][Via][2SgPoss][SgPosd]	avegpekun
aveg[N][Via][3SgPoss][SgPosd]	aavgakun
eflugagh[N][Equ][1SgPoss][SgPosd]	eflugamtun
eflugagh[N][Equ][2SgPoss][SgPosd]	eflugaghpetun
eflugagh[N][Equ][3SgPoss][SgPosd]	eflugaatun
eflugagh[N][Loc][1SgPoss][SgPosd]	eflugamni
eflugagh[N][Loc][2SgPoss][SgPosd]	eflugaghpeni
eflugagh[N][Loc][3SgPoss][SgPosd]	eflugaani
eflugagh[N][Ter][1SgPoss][SgPosd]	eflugamnun
eflugagh[N][Ter][2SgPoss][SgPosd]	eflugaghpenun
eflugagh[N][Ter][3SgPoss][SgPosd]	eflugaanun
eflugagh[N][Via][1SgPoss][SgPosd]	eflugamkun
eflugagh[N][Via][2SgPoss][SgPosd]	eflugaghpekun
eflugagh[N][Via][3SgPoss][SgPosd]	eflugaakun
efluge[N][Equ][1SgPoss][SgPosd]	eflugemtun
efluge[N][Equ][2SgPoss][SgPosd]	eflugegpetun
efluge[N][Equ][3SgPoss][SgPosd]	eflugngatun
efluge[N][Loc][1SgPoss][SgPosd]	eflugemni
efluge[N][Loc][2SgPoss][SgPosd]	eflugegpeni
efluge[N][Loc][3SgPoss][SgPosd]	eflugngani
efluge[N][Ter][1SgPoss][SgPosd]	eflugemnun
efluge[N][Ter][2SgPoss][SgPosd]	eflugegpenun
efluge[N][Ter][3SgPoss][SgPosd]	eflugnganun
efluge[N][Via][1SgPoss][SgPosd]	eflugemkun
efluge[N][Via][2SgPoss][SgPosd]	eflugegpekun
efluge[N][Via][3SgPoss][SgPosd]	eflugngakun
egllu[N][Equ][1SgPoss][SgPosd]	egllumtun
egllu[N][Equ][2SgPoss][SgPosd]	egllugpetun
egllu[N][Equ][3SgPoss][SgPosd]	egllungatun
egllu[N][Loc][1SgPoss][SgPosd]	egllumni
egllu[N][Loc][2SgPoss][SgPosd]	egllugpeni
egllu[N][Loc][3SgPoss][SgPosd]	egllungani
egllu[N][Ter][1SgPoss][SgPosd]	egllumnun
egllu[N][Ter][2SgPoss][SgPosd]	egllugpenun
egllu[N][Ter][3SgPoss][SgPosd]	egllunganun
