aakagh*[N][Equ][1SgPoss][SgPosd]	aakamtun
aakagh*[N][Equ][2SgPoss][SgPosd]	aakagpetun
aakagh*[N][Equ][3SgPoss][SgPosd]	aakaatun
amig[N][Equ][1SgPoss][SgPosd]	amimtun
amig[N][Equ][2SgPoss][SgPosd]	amigpetun
amig[N][Equ][3SgPoss][SgPosd]	amigatun
angyagh[N][Equ][1SgPoss][SgPosd]	angyamtun
angyagh[N][Equ][2SgPoss][SgPosd]	angyaghpetun
angyagh[N][Equ][3SgPoss][SgPosd]	angyaatun
aveg[N][Equ][1SgPoss][SgPosd]	avemtun
aveg[N][Equ][2SgPoss][SgPosd]	avegpetun
aveg[N][Equ][3SgPoss][SgPosd]	aavgatun
eflugagh[N][Equ][1SgPoss][SgPosd]	eflugamtun
eflugagh[N][Equ][2SgPoss][SgPosd]	eflugaghpetun
eflugagh[N][Equ][3SgPoss][SgPosd]	eflugaatun
efluge[N][Equ][1SgPoss][SgPosd]	eflugemtun
efluge[N][Equ][2SgPoss][SgPosd]	eflugegpetun
efluge[N][Equ][3SgPoss][SgPosd]	eflugeatun
egllu[N][Equ][1SgPoss][SgPosd]	egllumtun
egllu[N][Equ][2SgPoss][SgPosd]	egllugpetun
egllu[N][Equ][3SgPoss][SgPosd]	egllaatun
ighnegh[N][Equ][1SgPoss][SgPosd]	ighnemtun
ighnegh[N][Equ][2SgPoss][SgPosd]	ighneghpetun
ighnegh[N][Equ][3SgPoss][SgPosd]	ighneghatun
kemekrag[N][Equ][1SgPoss][SgPosd]	kemekramtun
kemekrag[N][Equ][2SgPoss][SgPosd]	kemekragpetun
kemekrag[N][Equ][3SgPoss][SgPosd]	kemekragatun
qergese[N][Equ][1SgPoss][SgPosd]	qergesemtun
qergese[N][Equ][2SgPoss][SgPosd]	qergesegpetun
qergese[N][Equ][3SgPoss][SgPosd]	qergeseatun
qikmigh[N][Equ][1SgPoss][SgPosd]	qikmimtun
qikmigh[N][Equ][2SgPoss][SgPosd]	qikmighpetun
qikmigh[N][Equ][3SgPoss][SgPosd]	qikmiitun
tipele[N][Equ][1SgPoss][SgPosd]	tipelemtun
tipele[N][Equ][2SgPoss][SgPosd]	tipelegpetun
tipele[N][Equ][3SgPoss][SgPosd]	tipeleatun
aakagh*[N][Ter][1SgPoss][SgPosd]	aakamnun
aakagh*[N][Ter][2SgPoss][SgPosd]	aakagpenun
aakagh*[N][Ter][3SgPoss][SgPosd]	aakaanun
amig[N][Ter][1SgPoss][SgPosd]	amimnun
amig[N][Ter][2SgPoss][SgPosd]	amigpenun
amig[N][Ter][3SgPoss][SgPosd]	amiganun
angyagh[N][Ter][1SgPoss][SgPosd]	angyamnun
angyagh[N][Ter][2SgPoss][SgPosd]	angyaghpenun
angyagh[N][Ter][3SgPoss][SgPosd]	angyaanun
aveg[N][Ter][1SgPoss][SgPosd]	avemnun
aveg[N][Ter][2SgPoss][SgPosd]	avegpenun
aveg[N][Ter][3SgPoss][SgPosd]	aavganun
eflugagh[N][Ter][1SgPoss][SgPosd]	eflugamnun
eflugagh[N][Ter][2SgPoss][SgPosd]	eflugaghpenun
eflugagh[N][Ter][3SgPoss][SgPosd]	eflugaanun
efluge[N][Ter][1SgPoss][SgPosd]	eflugemnun
efluge[N][Ter][2SgPoss][SgPosd]	eflugegpenun
efluge[N][Ter][3SgPoss][SgPosd]	eflugeanun
egllu[N][Ter][1SgPoss][SgPosd]	egllumnun
egllu[N][Ter][2SgPoss][SgPosd]	egllugpenun
egllu[N][Ter][3SgPoss][SgPosd]	egllaanun
ighnegh[N][Ter][1SgPoss][SgPosd]	ighnemnun
ighnegh[N][Ter][2SgPoss][SgPosd]	ighneghpenun
ighnegh[N][Ter][3SgPoss][SgPosd]	ighneghanun
kemekrag[N][Ter][1SgPoss][SgPosd]	kemekramnun
kemekrag[N][Ter][2SgPoss][SgPosd]	kemekragpenun
kemekrag[N][Ter][3SgPoss][SgPosd]	kemekraganun
qergese[N][Ter][1SgPoss][SgPosd]	qergesemnun
qergese[N][Ter][2SgPoss][SgPosd]	qergesegpenun
qergese[N][Ter][3SgPoss][SgPosd]	qergeseanun
qikmigh[N][Ter][1SgPoss][SgPosd]	qikmimnun
qikmigh[N][Ter][2SgPoss][SgPosd]	qikmighpenun
qikmigh[N][Ter][3SgPoss][SgPosd]	qikmiinun
tipele[N][Ter][1SgPoss][SgPosd]	tipelemnun
tipele[N][Ter][2SgPoss][SgPosd]	tipelegpenun
tipele[N][Ter][3SgPoss][SgPosd]	tipeleanun
aakagh*[N][Loc][1SgPoss][SgPosd]	aakamni
aakagh*[N][Loc][2SgPoss][SgPosd]	aakagpeni
aakagh*[N][Loc][3SgPoss][SgPosd]	aakaani
amig[N][Loc][1SgPoss][SgPosd]	amimni
amig[N][Loc][2SgPoss][SgPosd]	amigpeni
amig[N][Loc][3SgPoss][SgPosd]	amigani
angyagh[N][Loc][1SgPoss][SgPosd]	angyamni
angyagh[N][Loc][2SgPoss][SgPosd]	angyaghpeni
angyagh[N][Loc][3SgPoss][SgPosd]	angyaani
aveg[N][Loc][1SgPoss][SgPosd]	avemni
aveg[N][Loc][2SgPoss][SgPosd]	avegpeni
aveg[N][Loc][3SgPoss][SgPosd]	aavgani
eflugagh[N][Loc][1SgPoss][SgPosd]	eflugamni
eflugagh[N][Loc][2SgPoss][SgPosd]	eflugaghpeni
eflugagh[N][Loc][3SgPoss][SgPosd]	eflugaani
efluge[N][Loc][1SgPoss][SgPosd]	eflugemni
efluge[N][Loc][2SgPoss][SgPosd]	eflugegpeni
efluge[N][Loc][3SgPoss][SgPosd]	eflugeani
egllu[N][Loc][1SgPoss][SgPosd]	egllumni
egllu[N][Loc][2SgPoss][SgPosd]	egllugpeni
egllu[N][Loc][3SgPoss][SgPosd]	egllaani
ighnegh[N][Loc][1SgPoss][SgPosd]	ighnemni
ighnegh[N][Loc][2SgPoss][SgPosd]	ighneghpeni
ighnegh[N][Loc][3SgPoss][SgPosd]	ighneghani
kemekrag[N][Loc][1SgPoss][SgPosd]	kemekramni
kemekrag[N][Loc][2SgPoss][SgPosd]	kemekragpeni
kemekrag[N][Loc][3SgPoss][SgPosd]	kemekragani
qergese[N][Loc][1SgPoss][SgPosd]	qergesemni
qergese[N][Loc][2SgPoss][SgPosd]	qergesegpeni
qergese[N][Loc][3SgPoss][SgPosd]	qergeseani
