aane[V][Intr][Opt][PRS][1Pl]	aanelta
aane[V][Intr][Opt][PRS][2Du]	aanitek
aghula[V][Intr][Opt][PRS][2Sg]	aghula
alleg[V][Trns][Opt][PRS][2Sg][3Pl]	allegki
aqfa[V][Trns][Opt][PRS][2Sg][3Pl]	aqfaki
aqfa[V][Trns][Opt][PRS][2Sg][3Sg]	aqfagu
aqii[V][Intr][Opt][PRS][2Sg]	aqiigi
gaagh[V][Intr][Opt][PRS][1Pl]	gaaghelta
gaagh[V][Intr][Opt][PRS][2Sg]	gaaghi
gaagh[V][Trns][Opt][PRS][2Sg][3Pl]	gaaghqi
gaagh[V][Trns][Opt][PRS][2Sg][3Sg]	gaaghhu
guute[V][Intr][Opt][PRS][2Sg]	guuten
ingaghte[V][Intr][Opt][PRS][1Pl]	ingaghtelta
ingaghte[V][Intr][Opt][PRS][2Du]	ingaghtek
ingaghte[V][Intr][Opt][PRS][2Sg]	ingaghten
inghu[V][Intr][Opt][PRS][1Pl]	inghulta
inghu[V][Intr][Opt][PRS][2Sg]	inghu
itegh[V][Intr][Opt][PRS][1Pl]	iitghelta
itegh[V][Intr][Opt][PRS][2Sg]	iitghi
kayusigh[V][Trns][Opt][PRS][2Sg][1Sg]	kayusighnga
kenigh[V][Trns][Opt][NEG][2Sg][1Sg]	kenifqaama
kenigh[V][Trns][Opt][NEG][2Sg][3Pl]	kenifqiita
kenigh[V][Trns][Opt][NEG][2Sg][3Sg]	kenifqaan
liite[V][Trns][Opt][PRS][2Sg][3Pl]	liitiki
mayugh[V][Intr][Opt][PRS][1Pl]	mayuulta
mayugh[V][Intr][Opt][PRS][2Sg]	mayaa
nagate[V][Trns][Opt][PRS][2Sg][1Sg]	nagatinga
nagate[V][Trns][Opt][PRS][2Sg][3Sg]	nagatigu
neghe[V][Intr][Opt][PRS][2Sg]	neghi
neghe[V][Trns][Opt][PRS][2Sg][3Pl]	neghiki
neghe[V][Trns][Opt][PRS][2Sg][3Sg]	neghigu
negh[V][Intr][Opt][PRS][2Sg]	neghi
nekeve[V][Intr][Opt][PRS][2Sg]	nekevi
payegh[V][Trns][Opt][PRS][2Sg][3Sg]	paasghu
pumsug[V][Trns][Opt][PRS][2Sg][3Sg]	pumsuggu
qavagh[V][Intr][Opt][PRS][1Pl]	qavaalta
qavagh[V][Intr][Opt][PRS][2Du]	qavaghtek
qavagh[V][Intr][Opt][PRS][2Sg]	qavaa
qelpeghte[V][Trns][Opt][PRS][2Sg][3Sg]	qelpeghtigu
tagi[V][Intr][Opt][PRS][2Du]	tagitek
tagi[V][Intr][Opt][PRS][2Sg]	tagi
tugu[V][Trns][Opt][PRS][2Sg][3Sg]	tugugu
ukig[V][Intr][Opt][PRS][1Pl]	ukigelta
ukig[V][Intr][Opt][PRS][2Sg]	ukigi
umeg[V][Trns][Opt][PRS][2Sg][3Sg]	uumggu
