alleg[V][Opt][PRES][2Sg][1Pl]	allegkut
alleg[V][Opt][PRES][2Sg][1Sg]	allegnga
alleg[V][Opt][PRES][2Sg][3Du]	allegkek
alleg[V][Opt][PRES][2Sg][3Pl]	allegki
alleg[V][Opt][PRES][2Sg][3Sg]	aallg–ggu
aqfa[V][Opt][PRES][2Sg][1Pl]	aqfakut
aqfa[V][Opt][PRES][2Sg][1Sg]	aqfanga
aqfa[V][Opt][PRES][2Sg][3Du]	aqfakek
aqfa[V][Opt][PRES][2Sg][3Pl]	aqfaki
aqfa[V][Opt][PRES][2Sg][3Sg]	aqfagu
egte[V][Opt][PRES][2Sg][1Pl]	egtekut
egte[V][Opt][PRES][2Sg][1Sg]	egtenga
egte[V][Opt][PRES][2Sg][3Du]	egtekek
egte[V][Opt][PRES][2Sg][3Pl]	egteki
egte[V][Opt][PRES][2Sg][3Sg]	egtegu
gaagh[V][Opt][PRES][2Sg][1Pl]	gaaghqut
gaagh[V][Opt][PRES][2Sg][1Sg]	gaaghnga
gaagh[V][Opt][PRES][2Sg][3Du]	gaaghqek
gaagh[V][Opt][PRES][2Sg][3Pl]	gaaghqi
gaagh[V][Opt][PRES][2Sg][3Sg]	gaagh–ghhu
kaaw[V][Opt][PRES][2Sg][1Pl]	kaawkut
kaaw[V][Opt][PRES][2Sg][1Sg]	kaawnga
kaaw[V][Opt][PRES][2Sg][3Du]	kaawkek
kaaw[V][Opt][PRES][2Sg][3Pl]	kaawki
kaaw[V][Opt][PRES][2Sg][3Sg]	kaaw–ggu
kayusigh[V][Opt][PRES][2Sg][1Pl]	kayusighqut
kayusigh[V][Opt][PRES][2Sg][1Sg]	kayusighnga
kayusigh[V][Opt][PRES][2Sg][3Du]	kayusighqek
kayusigh[V][Opt][PRES][2Sg][3Pl]	kayusighqi
kayusigh[V][Opt][PRES][2Sg][3Sg]	kayusigh–ghhu
lata[V][Opt][PRES][2Sg][1Pl]	latakut
lata[V][Opt][PRES][2Sg][1Sg]	latanga
lata[V][Opt][PRES][2Sg][3Du]	latakek
lata[V][Opt][PRES][2Sg][3Pl]	lataki
lata[V][Opt][PRES][2Sg][3Sg]	latagu
liite[V][Opt][PRES][2Sg][1Pl]	liitkut
liite[V][Opt][PRES][2Sg][1Sg]	liitnga
liite[V][Opt][PRES][2Sg][3Du]	liitkek
liite[V][Opt][PRES][2Sg][3Pl]	liitki
liite[V][Opt][PRES][2Sg][3Sg]	liitgu
nagate[V][Opt][PRES][2Sg][1Pl]	nagatkut
nagate[V][Opt][PRES][2Sg][1Sg]	nagatnga
nagate[V][Opt][PRES][2Sg][3Du]	nagatkek
nagate[V][Opt][PRES][2Sg][3Pl]	nagatki
nagate[V][Opt][PRES][2Sg][3Sg]	nagatgu
pugimagh[V][Opt][PRES][2Sg][1Pl]	pugimaghqut
pugimagh[V][Opt][PRES][2Sg][1Sg]	pugimaghnga
pugimagh[V][Opt][PRES][2Sg][3Du]	pugimaghqek
pugimagh[V][Opt][PRES][2Sg][3Pl]	pugimaghqi
pugimagh[V][Opt][PRES][2Sg][3Sg]	pugimagh–ghhu
pumsug[V][Opt][PRES][2Sg][1Pl]	pumsugkut
pumsug[V][Opt][PRES][2Sg][1Sg]	pumsugnga
pumsug[V][Opt][PRES][2Sg][3Du]	pumsugkek
pumsug[V][Opt][PRES][2Sg][3Pl]	pumsugki
pumsug[V][Opt][PRES][2Sg][3Sg]	pumsug–ggu
tagite[V][Opt][PRES][2Sg][1Pl]	tagitkut
tagite[V][Opt][PRES][2Sg][1Sg]	tagitnga
tagite[V][Opt][PRES][2Sg][3Du]	tagitkek
tagite[V][Opt][PRES][2Sg][3Pl]	tagitki
tagite[V][Opt][PRES][2Sg][3Sg]	tagitgu
tugu[V][Opt][PRES][2Sg][1Pl]	tugukut
tugu[V][Opt][PRES][2Sg][1Sg]	tugunga
tugu[V][Opt][PRES][2Sg][3Du]	tugukek
tugu[V][Opt][PRES][2Sg][3Pl]	tuguki
tugu[V][Opt][PRES][2Sg][3Sg]	tugugu
tuqute[V][Opt][PRES][2Sg][1Pl]	tuqutkut
tuqute[V][Opt][PRES][2Sg][1Sg]	tuqutnga
tuqute[V][Opt][PRES][2Sg][3Du]	tuqutkek
tuqute[V][Opt][PRES][2Sg][3Pl]	tuqutki
tuqute[V][Opt][PRES][2Sg][3Sg]	tuqutgu
