aane[V][Opt][NEG][2Du]	aanqaaftek
aane[V][Opt][NEG][2Pl]	aanqaafsi
aane[V][Opt][NEG][2Sg]	aanqaavek
aghula[V][Opt][NEG][2Du]	aghulaqaaftek
aghula[V][Opt][NEG][2Pl]	aghulaqaafsi
aghula[V][Opt][NEG][2Sg]	aghulaqaavek
alleg[V][Opt][NEG][2Du]	allegqaaftek
alleg[V][Opt][NEG][2Pl]	allegqaafsi
alleg[V][Opt][NEG][2Sg]	allegqaavek
aqii[V][Opt][NEG][2Du]	aqiiqaaftek
aqii[V][Opt][NEG][2Pl]	aqiiqaafsi
aqii[V][Opt][NEG][2Sg]	aqiiqaavek
aqume[V][Opt][NEG][2Du]	aqumqaaftek
aqume[V][Opt][NEG][2Pl]	aqumqaafsi
aqume[V][Opt][NEG][2Sg]	aqumqaavek
gaagh[V][Opt][NEG][2Du]	gaaghqaaftek
gaagh[V][Opt][NEG][2Pl]	gaaghqaafsi
gaagh[V][Opt][NEG][2Sg]	gaaghqaavek
guute[V][Opt][NEG][2Du]	guutqaaftek
guute[V][Opt][NEG][2Pl]	guutqaafsi
guute[V][Opt][NEG][2Sg]	guutqaavek
ingaghte[V][Opt][NEG][2Du]	ingaghteqaaftek
ingaghte[V][Opt][NEG][2Pl]	ingaghteqaafsi
ingaghte[V][Opt][NEG][2Sg]	ingaghteqaavek
inghu[V][Opt][NEG][2Du]	inghuqaaftek
inghu[V][Opt][NEG][2Pl]	inghuqaafsi
inghu[V][Opt][NEG][2Sg]	inghuqaavek
itegh[V][Opt][NEG][2Du]	iteghqaaftek
itegh[V][Opt][NEG][2Pl]	iteghqaafsi
itegh[V][Opt][NEG][2Sg]	iteghqaavek
kaaw[V][Opt][NEG][2Du]	kaawqaaftek
kaaw[V][Opt][NEG][2Pl]	kaawqaafsi
kaaw[V][Opt][NEG][2Sg]	kaawqaavek
lata[V][Opt][NEG][2Du]	lataqaaftek
lata[V][Opt][NEG][2Pl]	lataqaafsi
lata[V][Opt][NEG][2Sg]	lataqaavek
liite[V][Opt][NEG][2Du]	liitqaaftek
liite[V][Opt][NEG][2Pl]	liitqaafsi
liite[V][Opt][NEG][2Sg]	liitqaavek
mayugh[V][Opt][NEG][2Du]	mayughqaaftek
mayugh[V][Opt][NEG][2Pl]	mayughqaafsi
mayugh[V][Opt][NEG][2Sg]	mayughqaavek
nagate[V][Opt][NEG][2Du]	nagatqaaftek
nagate[V][Opt][NEG][2Pl]	nagatqaafsi
nagate[V][Opt][NEG][2Sg]	nagatqaavek
nanglii[V][Opt][NEG][2Du]	nangliiqaaftek
nanglii[V][Opt][NEG][2Pl]	nangliiqaafsi
nanglii[V][Opt][NEG][2Sg]	nangliiqaavek
nekeve[V][Opt][NEG][2Du]	nekevqaaftek
nekeve[V][Opt][NEG][2Pl]	nekevqaafsi
nekeve[V][Opt][NEG][2Sg]	nekevqaavek
pugimagh[V][Opt][NEG][2Du]	pugimaghqaaftek
pugimagh[V][Opt][NEG][2Pl]	pugimaghqaafsi
pugimagh[V][Opt][NEG][2Sg]	pugimaghqaavek
qavagh[V][Opt][NEG][2Du]	qavaghqaaftek
qavagh[V][Opt][NEG][2Pl]	qavaghqaafsi
qavagh[V][Opt][NEG][2Sg]	qavaghqaavek
qayugh[V][Opt][NEG][2Du]	qayughqaaftek
qayugh[V][Opt][NEG][2Pl]	qayughqaafsi
qayugh[V][Opt][NEG][2Sg]	qayughqaavek
qelpeghte[V][Opt][NEG][2Du]	qelpeghteqaaftek
qelpeghte[V][Opt][NEG][2Pl]	qelpeghteqaafsi
qelpeghte[V][Opt][NEG][2Sg]	qelpeghteqaavek
tagi[V][Opt][NEG][2Du]	tagiqaaftek
tagi[V][Opt][NEG][2Pl]	tagiqaafsi
tagi[V][Opt][NEG][2Sg]	tagiqaavek
ukig[V][Opt][NEG][2Du]	ukigqaaftek
ukig[V][Opt][NEG][2Pl]	ukigqaafsi
ukig[V][Opt][NEG][2Sg]	ukigqaavek
umeg[V][Opt][NEG][2Du]	umegqaaftek
umeg[V][Opt][NEG][2Pl]	umegqaafsi
umeg[V][Opt][NEG][2Sg]	umegqaavek
