aane[V][Opt][PRS][1Du]	aaneltung
aane[V][Opt][PRS][1Pl]	aanelta
aane[V][Opt][PRS][2Du]	aanitek
aane[V][Opt][PRS][2Pl]	aanitek
aane[V][Opt][PRS][2Sg]	aani
aghula[V][Opt][PRS][1Du]	aghulaltung
aghula[V][Opt][PRS][1Pl]	aghulalta
aghula[V][Opt][PRS][2Du]	aghulatek
aghula[V][Opt][PRS][2Pl]	aghulatek
aghula[V][Opt][PRS][2Sg]	aghula
alleg[V][Opt][PRS][1Du]	aallgeltung
alleg[V][Opt][PRS][1Pl]	aallgelta
alleg[V][Opt][PRS][2Du]	allegtek
alleg[V][Opt][PRS][2Pl]	allegtek
alleg[V][Opt][PRS][2Sg]	aallgi
aqii[V][Opt][PRS][1Du]	aqiiltung
aqii[V][Opt][PRS][1Pl]	aqiilta
aqii[V][Opt][PRS][2Du]	aqiitek
aqii[V][Opt][PRS][2Pl]	aqiitek
aqii[V][Opt][PRS][2Sg]	aqiigi
aqume[V][Opt][PRS][1Du]	aqumeltung
aqume[V][Opt][PRS][1Pl]	aqumelta
aqume[V][Opt][PRS][2Du]	aqumitek
aqume[V][Opt][PRS][2Pl]	aqumitek
aqume[V][Opt][PRS][2Sg]	aqumi
gaagh[V][Opt][PRS][1Du]	gaagheltung
gaagh[V][Opt][PRS][1Pl]	gaaghelta
gaagh[V][Opt][PRS][2Du]	gaaghtek
gaagh[V][Opt][PRS][2Pl]	gaaghtek
gaagh[V][Opt][PRS][2Sg]	gaaghi
guute[V][Opt][PRS][1Du]	guuteltung
guute[V][Opt][PRS][1Pl]	guutelta
guute[V][Opt][PRS][2Du]	guutek
guute[V][Opt][PRS][2Pl]	guutek
guute[V][Opt][PRS][2Sg]	guuten
ingaghte[V][Opt][PRS][1Du]	ingaghteltung
ingaghte[V][Opt][PRS][1Pl]	ingaghtelta
ingaghte[V][Opt][PRS][2Du]	ingaghtek
ingaghte[V][Opt][PRS][2Pl]	ingaghtek
ingaghte[V][Opt][PRS][2Sg]	ingaghten
inghu[V][Opt][PRS][1Du]	inghultung
inghu[V][Opt][PRS][1Pl]	inghulta
inghu[V][Opt][PRS][2Du]	inghutek
inghu[V][Opt][PRS][2Pl]	inghutek
inghu[V][Opt][PRS][2Sg]	inghu
itegh[V][Opt][PRS][1Du]	iitgheltung
itegh[V][Opt][PRS][1Pl]	iitghelta
itegh[V][Opt][PRS][2Du]	iteghtek
itegh[V][Opt][PRS][2Pl]	iteghtek
itegh[V][Opt][PRS][2Sg]	iitghi
kaaw[V][Opt][PRS][1Du]	kaaweltung
kaaw[V][Opt][PRS][1Pl]	kaawelta
kaaw[V][Opt][PRS][2Du]	kaawtek
kaaw[V][Opt][PRS][2Pl]	kaawtek
kaaw[V][Opt][PRS][2Sg]	kaawi
lata[V][Opt][PRS][1Du]	lataltung
lata[V][Opt][PRS][1Pl]	latalta
lata[V][Opt][PRS][2Du]	latatek
lata[V][Opt][PRS][2Pl]	latatek
lata[V][Opt][PRS][2Sg]	lata
liite[V][Opt][PRS][1Du]	liiteltung
liite[V][Opt][PRS][1Pl]	liitelta
liite[V][Opt][PRS][2Du]	liitek
liite[V][Opt][PRS][2Pl]	liitek
liite[V][Opt][PRS][2Sg]	liiten
mayugh[V][Opt][PRS][1Du]	mayuultung
mayugh[V][Opt][PRS][1Pl]	mayuulta
mayugh[V][Opt][PRS][2Du]	mayughtek
mayugh[V][Opt][PRS][2Pl]	mayughtek
mayugh[V][Opt][PRS][2Sg]	mayaa
nagate[V][Opt][PRS][1Du]	nagateltung
nagate[V][Opt][PRS][1Pl]	nagatelta
nagate[V][Opt][PRS][2Du]	nagatek
nagate[V][Opt][PRS][2Pl]	nagatek
nagate[V][Opt][PRS][2Sg]	nagaten
nanglii[V][Opt][PRS][1Du]	nangliiltung
nanglii[V][Opt][PRS][1Pl]	nangliilta
nanglii[V][Opt][PRS][2Du]	nangliitek
nanglii[V][Opt][PRS][2Pl]	nangliitek
nanglii[V][Opt][PRS][2Sg]	nangliigi
nekeve[V][Opt][PRS][1Du]	nekeveltung
nekeve[V][Opt][PRS][1Pl]	nekevelta
nekeve[V][Opt][PRS][2Du]	nekevitek
nekeve[V][Opt][PRS][2Pl]	nekevitek
nekeve[V][Opt][PRS][2Sg]	nekevi
pugimagh[V][Opt][PRS][1Du]	pugimaaltung
pugimagh[V][Opt][PRS][1Pl]	pugimaalta
pugimagh[V][Opt][PRS][2Du]	pugimaghtek
pugimagh[V][Opt][PRS][2Pl]	pugimaghtek
pugimagh[V][Opt][PRS][2Sg]	pugimaa
qavagh[V][Opt][PRS][1Du]	qavaaltung
qavagh[V][Opt][PRS][1Pl]	qavaalta
qavagh[V][Opt][PRS][2Du]	qavaghtek
qavagh[V][Opt][PRS][2Pl]	qavaghtek
qavagh[V][Opt][PRS][2Sg]	qavaa
qayugh[V][Opt][PRS][1Du]	qayuultung
qayugh[V][Opt][PRS][1Pl]	qayuulta
qayugh[V][Opt][PRS][2Du]	qayughtek
qayugh[V][Opt][PRS][2Pl]	qayughtek
qayugh[V][Opt][PRS][2Sg]	qayaa
qelpeghte[V][Opt][PRS][1Du]	qelpeghteltung
qelpeghte[V][Opt][PRS][1Pl]	qelpeghtelta
qelpeghte[V][Opt][PRS][2Du]	qelpeghtek
qelpeghte[V][Opt][PRS][2Pl]	qelpeghtek
qelpeghte[V][Opt][PRS][2Sg]	qelpeghten
tagi[V][Opt][PRS][1Du]	tagiltung
tagi[V][Opt][PRS][1Pl]	tagilta
tagi[V][Opt][PRS][2Du]	tagitek
tagi[V][Opt][PRS][2Pl]	tagitek
tagi[V][Opt][PRS][2Sg]	tagi
ukig[V][Opt][PRS][1Du]	ukigeltung
