aange-@₁–lghii[V→N][N][Abs][Unpd][Sg]	aangelghii
akuzi-~:(u)te[V→V][V][Intr][Ind][3Du]	akuzituk
amqeghte-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	amqeghtekanga
aqlaghate*-@*ngugh*[V→N][N][Abs][Unpd][Sg]	aqlaghalnguq
aqlaghate*-@*ngugh*[V→N][N][Abs][Unpd][Sg]	aqlaghasnguq
esghagh-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][1Sg]	esghaamakanganga
esghagh-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	esghaqanga
gaagh-~:(u)te[V→V][V][Trns][Ind][3Sg][3Sg]	gaaghutaa
inghu-~:(u)te[V→V][V][Trns][Ind][3Sg][3Sg]	inghutaa
itegh-@₁–lghii[V→N][N][Abs][Unpd][Sg]	itelghii
itegh-~:(u)te[V→V][V][Trns][Ind][3Sg][3Sg]	iitghutaa
iyatagh-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	iyataamaaq
kaate-@₁–lghii[V→N][N][Abs][Unpd][Sg]	kaallghii
kaate-~:(u)te[V→V][V][Trns][Ind][3Sg][3Sg]	kaatutaa
kayusigh[V][Trns][Ptcp][2Sg][1Sg]	kayusiqevnga
kuuve-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	kuuvegkanga
laalighte-@₁–lghii[V→N][N][Abs][Unpd][Sg]	laalighlleghhii
Laluramke-ti[N→V][V][Intr][Ind][3Sg]	laluramketiiq
mayugh-~:(u)te[V→V][V][Trns][Ind][3Sg][3Sg]	mayuutaa
neghe-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	neghumaaq
neghe-@₁–lghii[V→N][N][Abs][Unpd][Sg]	neghelghii
neghenghite*-@*ngugh*[V→N][N][Abs][Unpd][Sg]	neghenghilnguq
neghenghite*-@*ngugh*[V→N][N][Abs][Unpd][Sg]	neghenghisnguq
neghenghite*-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	neghenghilkanga
neghenghite*-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	neghenghiskanga
neghenghite*-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	neghenghitkanga
neghe-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][1SgPoss][PlPosd]	neghegkenka
neghe-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][1SgPoss][SgPosd]	neghegkeka
neghe-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][2SgPoss][PlPosd]	neghegketen
neghe-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][2SgPoss][PlPosd]	neghegketen
neghe-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][2SgPoss][SgPosd]	neghegken
neghe-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][PlPosd]	neghegkangi
neghe-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	neghegkanga
negh-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][1Sg]	neghumalghiinga
negh-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][2Sg]	neghumalghiiten
negh-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][3Pl]	neghumalghiit
negh-@₁~:(i/u)ma[V→V][V][Intr][Ptcp][3Sg]	neghumalghiiq
negh-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][1Sg][3Sg]	neghumakegka
negh-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][2Sg][3Sg]	neghumaken
negh-@₁~:(i/u)ma[V→V][V][Trns][Ptcp][3Sg][3Sg]	neghumakanga
pagunghagh*-–ligh[N→V][V][Trns][Ind][3Sg][3Sg]	pagunghalighaa
qilug-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	qilukanga
Quyilleg-ti[N→V][V][Intr][Ind][3Sg]	quyillegtiiq
siku[Imprs_Agnt]-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	sikumaaq
sukate*-@*ngugh*[V→N][N][Abs][Unpd][Sg]	sukalnguq
sukate*-@*ngugh*[V→N][N][Abs][Unpd][Sg]	sukasnguq
tagi-@₁–lghii[V→N][N][Abs][Unpd][Sg]	tagilghii
tuqute-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	tuquskanga
tuqute-@*@₂~sf–(g₂)k(a)e[V→N][N][Abs][3SgPoss][SgPosd]	tuqutkanga
umeg-@₁~:(i/u)ma[V→V][V][Intr][Ind][3Sg]	uumgumaaq
