aaw[N][Abs][2DuPoss][DuPosd]	aaw(g)tek
aaw[N][Abs][2DuPoss][PlPosd]	aatek
aaw[N][Abs][2DuPoss][SgPosd]	aawtek
aghnaghagh*[N][Abs][2DuPoss][DuPosd]	aghnaghagh(g)tek
aghnaghagh*[N][Abs][2DuPoss][PlPosd]	aghnaghaghtek
aghnaghagh*[N][Abs][2DuPoss][SgPosd]	aghnaghagh(t/y)ek
angyagh[N][Abs][2DuPoss][DuPosd]	angya(g)tek
angyagh[N][Abs][2DuPoss][PlPosd]	angyatek
angyagh[N][Abs][2DuPoss][SgPosd]	angyaghtek
apa[N][Abs][2DuPoss][DuPosd]	apa(g)tek
apa[N][Abs][2DuPoss][PlPosd]	apatek
apa[N][Abs][2DuPoss][SgPosd]	apayek
ata[N][Abs][2DuPoss][DuPosd]	ata(g)tek
ata[N][Abs][2DuPoss][PlPosd]	atatek
ata[N][Abs][2DuPoss][SgPosd]	atayek
ategh[N][Abs][2DuPoss][DuPosd]	aatgh(g)tek
ategh[N][Abs][2DuPoss][PlPosd]	atetek
ategh[N][Abs][2DuPoss][SgPosd]	ateghtek
avaqutagh[N][Abs][2DuPoss][DuPosd]	avaquta(g)tek
avaqutagh[N][Abs][2DuPoss][PlPosd]	avaqutatek
avaqutagh[N][Abs][2DuPoss][SgPosd]	avaqutaghtek
eltughagh*[N][Abs][2DuPoss][DuPosd]	eltughagh(g)tek
eltughagh*[N][Abs][2DuPoss][PlPosd]	eltughaghtek
eltughagh*[N][Abs][2DuPoss][SgPosd]	eltughagh(t/y)ek
ggute[N][Abs][2DuPoss][DuPosd]	ggute(g)tek
ggute[N][Abs][2DuPoss][PlPosd]	ggutetek
ggute[N][Abs][2DuPoss][SgPosd]	gguteyek
ighnegh[N][Abs][2DuPoss][DuPosd]	ighnegh(g)tek
ighnegh[N][Abs][2DuPoss][PlPosd]	ighnetek
ighnegh[N][Abs][2DuPoss][SgPosd]	ighneghtek
iigge[N][Abs][2DuPoss][DuPosd]	iigge(g)tek
iigge[N][Abs][2DuPoss][PlPosd]	iiggetek
iigge[N][Abs][2DuPoss][SgPosd]	iiggeyek
iye[N][Abs][2DuPoss][DuPosd]	iye(g)tek
iye[N][Abs][2DuPoss][PlPosd]	iyetek
iye[N][Abs][2DuPoss][SgPosd]	iyeyek
kemeg[N][Abs][2DuPoss][DuPosd]	kemg(g)tek
kemeg[N][Abs][2DuPoss][PlPosd]	kemetek
kemeg[N][Abs][2DuPoss][SgPosd]	kemegtek
mekelghiigh[N][Abs][2DuPoss][DuPosd]	mekelghiigh(g)tek
mekelghiigh[N][Abs][2DuPoss][PlPosd]	mekelghiitek
mekelghiigh[N][Abs][2DuPoss][SgPosd]	mekelghiightek
mekestaaghhagh*[N][Abs][2DuPoss][DuPosd]	mekestaaghhagh(g)tek
mekestaaghhagh*[N][Abs][2DuPoss][PlPosd]	mekestaaghhaghtek
mekestaaghhagh*[N][Abs][2DuPoss][SgPosd]	mekestaaghhagh(t/y)ek
naa[N][Abs][2DuPoss][DuPosd]	naa(g)tek
naa[N][Abs][2DuPoss][PlPosd]	naatek
naa[N][Abs][2DuPoss][SgPosd]	naayek
ne[N][Abs][2DuPoss][DuPosd]	ne(g)tek
ne[N][Abs][2DuPoss][PlPosd]	netek
ne[N][Abs][2DuPoss][SgPosd]	neyek
nengyugh*[N][Abs][2DuPoss][DuPosd]	nengyugh(g)tek
nengyugh*[N][Abs][2DuPoss][PlPosd]	nengyughtek
nengyugh*[N][Abs][2DuPoss][SgPosd]	nengyugh(t/y)ek
nuliigh[N][Abs][2DuPoss][DuPosd]	nuliigh(g)tek
nuliigh[N][Abs][2DuPoss][PlPosd]	nuliitek
nuliigh[N][Abs][2DuPoss][SgPosd]	nuliightek
nuyagh[N][Abs][2DuPoss][DuPosd]	nuya(g)tek
nuyagh[N][Abs][2DuPoss][PlPosd]	nuyatek
nuyagh[N][Abs][2DuPoss][SgPosd]	nuyaghtek
panig[N][Abs][2DuPoss][DuPosd]	panig(g)tek
panig[N][Abs][2DuPoss][PlPosd]	panitek
panig[N][Abs][2DuPoss][SgPosd]	panigtek
qiighw[N][Abs][2DuPoss][DuPosd]	qiighw(g)tek
qiighw[N][Abs][2DuPoss][PlPosd]	qiitek
qiighw[N][Abs][2DuPoss][SgPosd]	qiighwtek
seghlegh[N][Abs][2DuPoss][DuPosd]	seghlegh(g)tek
seghlegh[N][Abs][2DuPoss][PlPosd]	seghletek
seghlegh[N][Abs][2DuPoss][SgPosd]	seghleghtek
sigute[N][Abs][2DuPoss][DuPosd]	sigute(g)tek
sigute[N][Abs][2DuPoss][PlPosd]	sigutetek
sigute[N][Abs][2DuPoss][SgPosd]	siguteyek
takestaaghhagh*[N][Abs][2DuPoss][DuPosd]	takestaaghhagh(g)tek
takestaaghhagh*[N][Abs][2DuPoss][PlPosd]	takestaaghhaghtek
takestaaghhagh*[N][Abs][2DuPoss][SgPosd]	takestaaghhagh(t/y)ek
ugi[N][Abs][2DuPoss][DuPosd]	ugi(g)tek
ugi[N][Abs][2DuPoss][PlPosd]	ugitek
ugi[N][Abs][2DuPoss][SgPosd]	ugiyek
