afsengagh*[N][Abs][Unpd][Du]	afsengaak
afsengagh*[N][Abs][Unpd][Pl]	afsengaat
afsengagh*[N][Abs][Unpd][Sg]	afsengaq
aghnagh[N][Abs][Unpd][Du]	aghnak
aghnagh[N][Abs][Unpd][Pl]	aghnat
aghnagh[N][Abs][Unpd][Sg]	aghnaq
aghnegh[N][Abs][Unpd][Du]	aghneghek
aghnegh[N][Abs][Unpd][Pl]	aghneghet
aghnegh[N][Abs][Unpd][Sg]	aghneq
amaa[N][Abs][Unpd][Du]	amaak
amaa[N][Abs][Unpd][Pl]	amaat
amaa[N][Abs][Unpd][Sg]	amaa
angyagh[N][Abs][Unpd][Du]	angyak
angyagh[N][Abs][Unpd][Pl]	angyat
angyagh[N][Abs][Unpd][Sg]	angyaq
anipa[N][Abs][Unpd][Du]	anipak
anipa[N][Abs][Unpd][Pl]	anipat
anipa[N][Abs][Unpd][Sg]	anipa
ategh[N][Abs][Unpd][Du]	aatghek
ategh[N][Abs][Unpd][Pl]	aatghet
ategh[N][Abs][Unpd][Sg]	ateq
atkug[N][Abs][Unpd][Du]	atkugek
atkug[N][Abs][Unpd][Pl]	atkuget
atkug[N][Abs][Unpd][Sg]	atkuk
ayvegh[N][Abs][Unpd][Du]	ayveghek
ayvegh[N][Abs][Unpd][Pl]	ayveghet
ayvegh[N][Abs][Unpd][Sg]	ayveq
ggute[N][Abs][Unpd][Du]	ggutek
ggute[N][Abs][Unpd][Pl]	ggutet
ggute[N][Abs][Unpd][Sg]	ggun
ggute[N][Abs][Unpd][Sg]	gguta
iye[N][Abs][Unpd][Du]	iyek
iye[N][Abs][Unpd][Pl]	iyet
iye[N][Abs][Unpd][Sg]	iya
kameg[N][Abs][Unpd][Du]	kaamgek
kameg[N][Abs][Unpd][Pl]	kaamget
kameg[N][Abs][Unpd][Sg]	kamek
kaviigh[N][Abs][Unpd][Du]	kaviighek
kaviigh[N][Abs][Unpd][Pl]	kaviighet
kaviigh[N][Abs][Unpd][Sg]	kaviiq
kemeg[N][Abs][Unpd][Du]	kemgek
kemeg[N][Abs][Unpd][Pl]	kemget
kemeg[N][Abs][Unpd][Sg]	kemek
kiig[N][Abs][Unpd][Du]	kiigek
kiig[N][Abs][Unpd][Pl]	kiiget
kiig[N][Abs][Unpd][Sg]	kiik
kii[N][Abs][Unpd][Du]	kiik
kii[N][Abs][Unpd][Pl]	kiit
kii[N][Abs][Unpd][Sg]	kii
kiiw[N][Abs][Unpd][Du]	kiiwek
kiiw[N][Abs][Unpd][Pl]	kiiwet
kiiw[N][Abs][Unpd][Sg]	kiikw
mangteghagh[N][Abs][Unpd][Du]	mangteghak
mangteghagh[N][Abs][Unpd][Pl]	mangteghat
mangteghagh[N][Abs][Unpd][Sg]	mangteghaq
manig[N][Abs][Unpd][Du]	manigek
manig[N][Abs][Unpd][Pl]	maniget
manig[N][Abs][Unpd][Sg]	manik
naayghagh[N][Abs][Unpd][Du]	naayghak
naayghagh[N][Abs][Unpd][Pl]	naayghat
naayghagh[N][Abs][Unpd][Sg]	naayghaq
nanugh*[N][Abs][Unpd][Du]	nanuuk
nanugh*[N][Abs][Unpd][Pl]	nanuut
nanugh*[N][Abs][Unpd][Sg]	nanuq
neghqwaagh[N][Abs][Unpd][Du]	neghqwaaghek
neghqwaagh[N][Abs][Unpd][Pl]	neghqwaaghet
neghqwaagh[N][Abs][Unpd][Sg]	neghqwaaq
ne[N][Abs][Unpd][Du]	nek
ne[N][Abs][Unpd][Pl]	net
ne[N][Abs][Unpd][Sg]	na
nuna[N][Abs][Unpd][Du]	nunak
nuna[N][Abs][Unpd][Pl]	nunat
nuna[N][Abs][Unpd][Sg]	nuna
piitute[N][Abs][Unpd][Du]	piitutek
piitute[N][Abs][Unpd][Pl]	piitutet
piitute[N][Abs][Unpd][Sg]	piitun
piitute[N][Abs][Unpd][Sg]	piituta
qayagh[N][Abs][Unpd][Du]	qayak
qayagh[N][Abs][Unpd][Pl]	qayat
qayagh[N][Abs][Unpd][Sg]	qayaq
qiighw[N][Abs][Unpd][Du]	qiighwek
qiighw[N][Abs][Unpd][Pl]	qiighwet
qiighw[N][Abs][Unpd][Sg]	qiiqw
qikmigh[N][Abs][Unpd][Du]	qikmik
qikmigh[N][Abs][Unpd][Pl]	qikmit
qikmigh[N][Abs][Unpd][Sg]	qikmiq
qulmesiite[N][Abs][Unpd][Du]	qulmesiitek
qulmesiite[N][Abs][Unpd][Pl]	qulmesiitet
qulmesiite[N][Abs][Unpd][Sg]	qulmesiin
qulmesiite[N][Abs][Unpd][Sg]	qulmesiita
repa[N][Abs][Unpd][Du]	repak
repa[N][Abs][Unpd][Pl]	repat
repa[N][Abs][Unpd][Sg]	repa
riigte[N][Abs][Unpd][Du]	riigtek
riigte[N][Abs][Unpd][Pl]	riigtet
riigte[N][Abs][Unpd][Sg]	riign
riigte[N][Abs][Unpd][Sg]	riigta
saaghw[N][Abs][Unpd][Du]	saaghwek
saaghw[N][Abs][Unpd][Pl]	saaghwet
saaghw[N][Abs][Unpd][Sg]	saaqw
savig[N][Abs][Unpd][Du]	savigek
savig[N][Abs][Unpd][Pl]	saviget
