afsengagh*[N][Abl_Mod][Unpd][Sg]	afsengaghmeng
aghnagh[N][Abl_Mod][Unpd][Sg]	aghnameng
aghnegh[N][Abl_Mod][Unpd][Sg]	aghneghmeng
amaa[N][Abl_Mod][Unpd][Sg]	amaameng
angyagh[N][Abl_Mod][Unpd][Sg]	angyameng
anipa[N][Abl_Mod][Unpd][Sg]	anipameng
ategh[N][Abl_Mod][Unpd][Sg]	ateghmeng
atkug[N][Abl_Mod][Unpd][Sg]	atkugmeng
ayvegh[N][Abl_Mod][Unpd][Sg]	ayveghmeng
ggute[N][Abl_Mod][Unpd][Sg]	gguutmeng
iye[N][Abl_Mod][Unpd][Sg]	iiymeng
kameg[N][Abl_Mod][Unpd][Sg]	kamegmeng
kaviigh[N][Abl_Mod][Unpd][Sg]	kaviighmeng
kemeg[N][Abl_Mod][Unpd][Sg]	kemegmeng
kiig[N][Abl_Mod][Unpd][Sg]	kiigmeng
kii[N][Abl_Mod][Unpd][Sg]	kiimeng
kiiw[N][Abl_Mod][Unpd][Sg]	kiiwmeng
mangteghagh[N][Abl_Mod][Unpd][Sg]	mangteghameng
naayghagh[N][Abl_Mod][Unpd][Sg]	naayghameng
nanugh[N][Abl_Mod][Unpd][Sg]	nanumeng
neghqwaagh[N][Abl_Mod][Unpd][Sg]	neghqwaaghmeng
ne[N][Abl_Mod][Unpd][Sg]	nemeng
qiighw[N][Abl_Mod][Unpd][Sg]	qiighwmeng
qikmigh[N][Abl_Mod][Unpd][Sg]	qikmimeng
qulmesiite[N][Abl_Mod][Unpd][Sg]	qulmesiitmeng
repa[N][Abl_Mod][Unpd][Sg]	repameng
riigte[N][Abl_Mod][Unpd][Sg]	riigtemeng
savig[N][Abl_Mod][Unpd][Sg]	savigmeng
sigute[N][Abl_Mod][Unpd][Sg]	sigutmeng
siku[N][Abl_Mod][Unpd][Sg]	sikumeng
siqugh*[N][Abl_Mod][Unpd][Sg]	siqughmeng
tafsi[N][Abl_Mod][Unpd][Sg]	tafsimeng
taghnughhagh*[N][Abl_Mod][Unpd][Sg]	taghnughhaghmeng
ulaagh[N][Abl_Mod][Unpd][Sg]	ulaaghmeng
uupa[N][Abl_Mod][Unpd][Sg]	uupameng
uyghag[N][Abl_Mod][Unpd][Sg]	uyghagmeng
yaquleg[N][Abl_Mod][Unpd][Sg]	yaqulegmeng
yughaghte[N][Abl_Mod][Unpd][Sg]	yughaghtemeng
yug[N][Abl_Mod][Unpd][Sg]	yugmeng
Yupig[N][Abl_Mod][Unpd][Sg]	Yupigmeng
