afsengagh*[N][Equ][Unpd][Pl]	afsengaastun
afsengagh*[N][Equ][Unpd][Sg]	afsengaghtun
aghnagh[N][Equ][Unpd][Pl]	aghnastun
aghnagh[N][Equ][Unpd][Sg]	aghnatun
aghnegh[N][Equ][Unpd][Pl]	aghneghestun
aghnegh[N][Equ][Unpd][Sg]	aghneghtun
amaa[N][Equ][Unpd][Pl]	amaastun
amaa[N][Equ][Unpd][Sg]	amaatun
angyagh[N][Equ][Unpd][Pl]	angyastun
angyagh[N][Equ][Unpd][Sg]	angyatun
anipa[N][Equ][Unpd][Pl]	anipastun
anipa[N][Equ][Unpd][Sg]	anipatun
ategh[N][Equ][Unpd][Pl]	aatghestun
ategh[N][Equ][Unpd][Sg]	ateghtun
atkug[N][Equ][Unpd][Pl]	atkugestun
atkug[N][Equ][Unpd][Sg]	atkugtun
ayvegh[N][Equ][Unpd][Pl]	ayveghestun
ayvegh[N][Equ][Unpd][Sg]	ayveghtun
ggute[N][Equ][Unpd][Pl]	ggutestun
ggute[N][Equ][Unpd][Sg]	gguuttun
iye[N][Equ][Unpd][Pl]	iyestun
iye[N][Equ][Unpd][Sg]	iiytun
kameg[N][Equ][Unpd][Pl]	kaamgestun
kameg[N][Equ][Unpd][Sg]	kamegtun
kaviigh[N][Equ][Unpd][Pl]	kaviighestun
kaviigh[N][Equ][Unpd][Sg]	kaviightun
kemeg[N][Equ][Unpd][Pl]	kemgestun
kemeg[N][Equ][Unpd][Sg]	kemegtun
kiig[N][Equ][Unpd][Pl]	kiigestun
kiig[N][Equ][Unpd][Sg]	kiigtun
kii[N][Equ][Unpd][Pl]	kiistun
kii[N][Equ][Unpd][Sg]	kiitun
kiiw[N][Equ][Unpd][Pl]	kiiwestun
kiiw[N][Equ][Unpd][Sg]	kiiwtun
mangteghagh[N][Equ][Unpd][Pl]	mangteghastun
mangteghagh[N][Equ][Unpd][Sg]	mangteghatun
naayghagh[N][Equ][Unpd][Pl]	naayghastun
naayghagh[N][Equ][Unpd][Sg]	naayghatun
nanugh[N][Equ][Unpd][Pl]	nanustun
nanugh[N][Equ][Unpd][Sg]	nanutun
neghqwaagh[N][Equ][Unpd][Pl]	neghqwaaghestun
neghqwaagh[N][Equ][Unpd][Sg]	neghqwaaghtun
ne[N][Equ][Unpd][Pl]	nestun
ne[N][Equ][Unpd][Sg]	netun
qiighw[N][Equ][Unpd][Pl]	qiighwestun
qiighw[N][Equ][Unpd][Sg]	qiighwtun
qikmigh[N][Equ][Unpd][Pl]	qikmistun
qikmigh[N][Equ][Unpd][Sg]	qikmitun
qulmesiite[N][Equ][Unpd][Pl]	qulmesiitestun
qulmesiite[N][Equ][Unpd][Sg]	qulmesiittun
repa[N][Equ][Unpd][Pl]	repastun
repa[N][Equ][Unpd][Sg]	repatun
riigte[N][Equ][Unpd][Pl]	riigtestun
riigte[N][Equ][Unpd][Sg]	riigtetun
savig[N][Equ][Unpd][Pl]	savigestun
savig[N][Equ][Unpd][Sg]	savigtun
sigute[N][Equ][Unpd][Pl]	sigutestun
sigute[N][Equ][Unpd][Sg]	siguttun
siku[N][Equ][Unpd][Pl]	sikustun
siku[N][Equ][Unpd][Sg]	sikutun
siqugh*[N][Equ][Unpd][Pl]	siquustun
siqugh*[N][Equ][Unpd][Sg]	siqughtun
tafsi[N][Equ][Unpd][Pl]	tafsistun
tafsi[N][Equ][Unpd][Sg]	tafsitun
taghnughhagh*[N][Equ][Unpd][Pl]	taghnughhaastun
taghnughhagh*[N][Equ][Unpd][Sg]	taghnughhaghtun
ulaagh [N][Equ][Unpd][Pl]	+?
ulaagh [N][Equ][Unpd][Sg]	+?
uupa[N][Equ][Unpd][Pl]	uupastun
uupa[N][Equ][Unpd][Sg]	uupatun
uyghag[N][Equ][Unpd][Pl]	uyghagestun
uyghag[N][Equ][Unpd][Sg]	uyghagtun
yaquleg[N][Equ][Unpd][Pl]	yaqulgestun
yaquleg[N][Equ][Unpd][Sg]	yaqulegtun
yughaghte[N][Equ][Unpd][Pl]	yughaghtestun
yughaghte[N][Equ][Unpd][Sg]	yughaghtetun
yug[N][Equ][Unpd][Pl]	yugestun
yug[N][Equ][Unpd][Sg]	yugtun
Yupig[N][Equ][Unpd][Pl]	Yupigestun
Yupig[N][Equ][Unpd][Sg]	Yupigtun
