afsengagh*[N][Loc][Unpd][Pl]	afsengaghni
afsengagh*[N][Loc][Unpd][Sg]	afsengaghmi
aghnagh[N][Loc][Unpd][Pl]	aghnani
aghnagh[N][Loc][Unpd][Sg]	aghnami
aghnegh[N][Loc][Unpd][Pl]	aghneghni
aghnegh[N][Loc][Unpd][Sg]	aghneghmi
amaa[N][Loc][Unpd][Pl]	amaani
amaa[N][Loc][Unpd][Sg]	amaami
angyagh[N][Loc][Unpd][Pl]	angyani
angyagh[N][Loc][Unpd][Sg]	angyami
anipa[N][Loc][Unpd][Pl]	anipani
anipa[N][Loc][Unpd][Sg]	anipami
ategh[N][Loc][Unpd][Pl]	ateghni
ategh[N][Loc][Unpd][Sg]	ateghmi
atkug[N][Loc][Unpd][Pl]	atkugni
atkug[N][Loc][Unpd][Sg]	atkugmi
ayvegh[N][Loc][Unpd][Pl]	ayveghni
ayvegh[N][Loc][Unpd][Sg]	ayveghmi
ggute[N][Loc][Unpd][Pl]	gguutni
ggute[N][Loc][Unpd][Sg]	gguutmi
iye[N][Loc][Unpd][Pl]	iiyni
iye[N][Loc][Unpd][Sg]	iiymi
kameg[N][Loc][Unpd][Pl]	kamegni
kameg[N][Loc][Unpd][Sg]	kamegmi
kaviigh[N][Loc][Unpd][Pl]	kaviighni
kaviigh[N][Loc][Unpd][Sg]	kaviighmi
kemeg[N][Loc][Unpd][Pl]	kemegni
kemeg[N][Loc][Unpd][Sg]	kemegmi
kiig[N][Loc][Unpd][Pl]	kiigni
kiig[N][Loc][Unpd][Sg]	kiigmi
kii[N][Loc][Unpd][Pl]	kiini
kii[N][Loc][Unpd][Sg]	kiimi
kiiw[N][Loc][Unpd][Pl]	kiiwni
kiiw[N][Loc][Unpd][Sg]	kiiwmi
mangteghagh[N][Loc][Unpd][Pl]	mangteghani
mangteghagh[N][Loc][Unpd][Sg]	mangteghami
naayghagh[N][Loc][Unpd][Pl]	naayghani
naayghagh[N][Loc][Unpd][Sg]	naayghami
nanugh[N][Loc][Unpd][Pl]	nanuni
nanugh[N][Loc][Unpd][Sg]	nanumi
neghqwaagh[N][Loc][Unpd][Pl]	neghqwaaghni
neghqwaagh[N][Loc][Unpd][Sg]	neghqwaaghmi
ne[N][Loc][Unpd][Pl]	neni
ne[N][Loc][Unpd][Sg]	nemi
qiighw[N][Loc][Unpd][Pl]	qiighwni
qiighw[N][Loc][Unpd][Sg]	qiighwmi
qikmigh[N][Loc][Unpd][Pl]	qikmini
qikmigh[N][Loc][Unpd][Sg]	qikmimi
qulmesiite[N][Loc][Unpd][Pl]	qulmesiitni
qulmesiite[N][Loc][Unpd][Sg]	qulmesiitmi
repa[N][Loc][Unpd][Pl]	repani
repa[N][Loc][Unpd][Sg]	repami
riigte[N][Loc][Unpd][Pl]	riigteni
riigte[N][Loc][Unpd][Sg]	riigtemi
savig[N][Loc][Unpd][Pl]	savigni
savig[N][Loc][Unpd][Sg]	savigmi
sigute[N][Loc][Unpd][Pl]	sigutni
sigute[N][Loc][Unpd][Sg]	sigutmi
siku[N][Loc][Unpd][Pl]	sikuni
siku[N][Loc][Unpd][Sg]	sikumi
siqugh*[N][Loc][Unpd][Pl]	siqughni
siqugh*[N][Loc][Unpd][Sg]	siqughmi
tafsi[N][Loc][Unpd][Pl]	tafsini
tafsi[N][Loc][Unpd][Sg]	tafsimi
taghnughhagh*[N][Loc][Unpd][Pl]	taghnughhaghni
taghnughhagh*[N][Loc][Unpd][Sg]	taghnughhaghmi
ulaagh [N][Loc][Unpd][Pl]	+?
ulaagh [N][Loc][Unpd][Sg]	+?
uupa[N][Loc][Unpd][Pl]	uupani
uupa[N][Loc][Unpd][Sg]	uupami
uyghag[N][Loc][Unpd][Pl]	uyghagni
uyghag[N][Loc][Unpd][Sg]	uyghagmi
yaquleg[N][Loc][Unpd][Pl]	yaqulegni
yaquleg[N][Loc][Unpd][Sg]	yaqulegmi
yughaghte[N][Loc][Unpd][Pl]	yughaghteni
yughaghte[N][Loc][Unpd][Sg]	yughaghtemi
yug[N][Loc][Unpd][Pl]	yugni
yug[N][Loc][Unpd][Sg]	yugmi
Yupig[N][Loc][Unpd][Pl]	Yupigni
Yupig[N][Loc][Unpd][Sg]	Yupigmi
