afsengagh*[N][Ter][Unpd][Pl]	afsengaghnun
afsengagh*[N][Ter][Unpd][Sg]	afsengaghmun
aghnagh[N][Ter][Unpd][Pl]	aghnanun
aghnagh[N][Ter][Unpd][Sg]	aghnamun
aghnegh[N][Ter][Unpd][Pl]	aghneghnun
aghnegh[N][Ter][Unpd][Sg]	aghneghmun
amaa[N][Ter][Unpd][Pl]	amaanun
amaa[N][Ter][Unpd][Sg]	amaamun
angyagh[N][Ter][Unpd][Pl]	angyanun
angyagh[N][Ter][Unpd][Sg]	angyamun
anipa[N][Ter][Unpd][Pl]	anipanun
anipa[N][Ter][Unpd][Sg]	anipamun
ategh[N][Ter][Unpd][Pl]	ateghnun
ategh[N][Ter][Unpd][Sg]	ateghmun
atkug[N][Ter][Unpd][Pl]	atkugnun
atkug[N][Ter][Unpd][Sg]	atkugmun
ayvegh[N][Ter][Unpd][Pl]	ayveghnun
ayvegh[N][Ter][Unpd][Sg]	ayveghmun
ggute[N][Ter][Unpd][Pl]	gguutnun
ggute[N][Ter][Unpd][Sg]	gguutmun
iye[N][Ter][Unpd][Pl]	iiynun
iye[N][Ter][Unpd][Sg]	iiymun
kameg[N][Ter][Unpd][Pl]	kamegnun
kameg[N][Ter][Unpd][Sg]	kamegmun
kaviigh[N][Ter][Unpd][Pl]	kaviighnun
kaviigh[N][Ter][Unpd][Sg]	kaviighmun
kemeg[N][Ter][Unpd][Pl]	kemegnun
kemeg[N][Ter][Unpd][Sg]	kemegmun
kiig[N][Ter][Unpd][Pl]	kiignun
kiig[N][Ter][Unpd][Sg]	kiigmun
kii[N][Ter][Unpd][Pl]	kiinun
kii[N][Ter][Unpd][Sg]	kiimun
kiiw[N][Ter][Unpd][Pl]	kiiwnun
kiiw[N][Ter][Unpd][Sg]	kiiwmun
mangteghagh[N][Ter][Unpd][Pl]	mangteghanun
mangteghagh[N][Ter][Unpd][Sg]	mangteghamun
naayghagh[N][Ter][Unpd][Pl]	naayghanun
naayghagh[N][Ter][Unpd][Sg]	naayghamun
nanugh[N][Ter][Unpd][Pl]	nanunun
nanugh[N][Ter][Unpd][Sg]	nanumun
neghqwaagh[N][Ter][Unpd][Pl]	neghqwaaghnun
neghqwaagh[N][Ter][Unpd][Sg]	neghqwaaghmun
ne[N][Ter][Unpd][Pl]	nenun
ne[N][Ter][Unpd][Sg]	nemun
qiighw[N][Ter][Unpd][Pl]	qiighwnun
qiighw[N][Ter][Unpd][Sg]	qiighwmun
qikmigh[N][Ter][Unpd][Pl]	qikminun
qikmigh[N][Ter][Unpd][Sg]	qikmimun
qulmesiite[N][Ter][Unpd][Pl]	qulmesiitnun
qulmesiite[N][Ter][Unpd][Sg]	qulmesiitmun
repa[N][Ter][Unpd][Pl]	repanun
repa[N][Ter][Unpd][Sg]	repamun
riigte[N][Ter][Unpd][Pl]	riigtenun
riigte[N][Ter][Unpd][Sg]	riigtemun
savig[N][Ter][Unpd][Pl]	savignun
savig[N][Ter][Unpd][Sg]	savigmun
sigute[N][Ter][Unpd][Pl]	sigutnun
sigute[N][Ter][Unpd][Sg]	sigutmun
siku[N][Ter][Unpd][Pl]	sikunun
siku[N][Ter][Unpd][Sg]	sikumun
siqugh*[N][Ter][Unpd][Pl]	siqughnun
siqugh*[N][Ter][Unpd][Sg]	siqughmun
tafsi[N][Ter][Unpd][Pl]	tafsinun
tafsi[N][Ter][Unpd][Sg]	tafsimun
taghnughhagh*[N][Ter][Unpd][Pl]	taghnughhaghnun
taghnughhagh*[N][Ter][Unpd][Sg]	taghnughhaghmun
ulaagh [N][Ter][Unpd][Pl]	+?
ulaagh [N][Ter][Unpd][Sg]	+?
uupa[N][Ter][Unpd][Pl]	uupanun
uupa[N][Ter][Unpd][Sg]	uupamun
uyghag[N][Ter][Unpd][Pl]	uyghagnun
uyghag[N][Ter][Unpd][Sg]	uyghagmun
yaquleg[N][Ter][Unpd][Pl]	yaqulegnun
yaquleg[N][Ter][Unpd][Sg]	yaqulegmun
yughaghte[N][Ter][Unpd][Pl]	yughaghtenun
yughaghte[N][Ter][Unpd][Sg]	yughaghtemun
yug[N][Ter][Unpd][Pl]	yugnun
yug[N][Ter][Unpd][Sg]	yugmun
Yupig[N][Ter][Unpd][Pl]	Yupignun
Yupig[N][Ter][Unpd][Sg]	Yupigmun
