afsengagh*[N][Via][Unpd][Pl]	afsengaatgun
afsengagh*[N][Via][Unpd][Sg]	afsengaghkun
aghnagh[N][Via][Unpd][Pl]	aghnatgun
aghnagh[N][Via][Unpd][Sg]	aghnakun
aghnegh[N][Via][Unpd][Pl]	aghneghetgun
aghnegh[N][Via][Unpd][Sg]	aghneghkun
amaa[N][Via][Unpd][Pl]	amaatgun
amaa[N][Via][Unpd][Sg]	amaakun
angyagh[N][Via][Unpd][Pl]	angyatgun
angyagh[N][Via][Unpd][Sg]	angyakun
anipa[N][Via][Unpd][Pl]	anipatgun
anipa[N][Via][Unpd][Sg]	anipakun
ategh[N][Via][Unpd][Pl]	aatghetgun
ategh[N][Via][Unpd][Sg]	ateghkun
atkug[N][Via][Unpd][Pl]	atkugetgun
atkug[N][Via][Unpd][Sg]	atkugkun
ayvegh[N][Via][Unpd][Pl]	ayveghetgun
ayvegh[N][Via][Unpd][Sg]	ayveghkun
ggute[N][Via][Unpd][Pl]	ggutetgun
ggute[N][Via][Unpd][Sg]	gguutkun
iye[N][Via][Unpd][Pl]	iyetgun
iye[N][Via][Unpd][Sg]	iiykun
kameg[N][Via][Unpd][Pl]	kaamgetgun
kameg[N][Via][Unpd][Sg]	kamegkun
kaviigh[N][Via][Unpd][Pl]	kaviighetgun
kaviigh[N][Via][Unpd][Sg]	kaviighkun
kemeg[N][Via][Unpd][Pl]	kemgetgun
kemeg[N][Via][Unpd][Sg]	kemegkun
kiig[N][Via][Unpd][Pl]	kiigetgun
kiig[N][Via][Unpd][Sg]	kiigkun
kii[N][Via][Unpd][Pl]	kiitgun
kii[N][Via][Unpd][Sg]	kiikun
kiiw[N][Via][Unpd][Pl]	kiiwetgun
kiiw[N][Via][Unpd][Sg]	kiiwkun
mangteghagh[N][Via][Unpd][Pl]	mangteghatgun
mangteghagh[N][Via][Unpd][Sg]	mangteghakun
naayghagh[N][Via][Unpd][Pl]	naayghatgun
naayghagh[N][Via][Unpd][Sg]	naayghakun
nanugh[N][Via][Unpd][Pl]	nanutgun
nanugh[N][Via][Unpd][Sg]	nanukun
neghqwaagh[N][Via][Unpd][Pl]	neghqwaaghetgun
neghqwaagh[N][Via][Unpd][Sg]	neghqwaaghkun
ne[N][Via][Unpd][Pl]	netgun
ne[N][Via][Unpd][Sg]	nekun
qiighw[N][Via][Unpd][Pl]	qiighwetgun
qiighw[N][Via][Unpd][Sg]	qiighwkun
qikmigh[N][Via][Unpd][Pl]	qikmitgun
qikmigh[N][Via][Unpd][Sg]	qikmikun
qulmesiite[N][Via][Unpd][Pl]	qulmesiitetgun
qulmesiite[N][Via][Unpd][Sg]	qulmesiitkun
repa[N][Via][Unpd][Pl]	repatgun
repa[N][Via][Unpd][Sg]	repakun
riigte[N][Via][Unpd][Pl]	riigtetgun
riigte[N][Via][Unpd][Sg]	riigtekun
savig[N][Via][Unpd][Pl]	savigetgun
savig[N][Via][Unpd][Sg]	savigkun
sigute[N][Via][Unpd][Pl]	sigutetgun
sigute[N][Via][Unpd][Sg]	sigutkun
siku[N][Via][Unpd][Pl]	sikutgun
siku[N][Via][Unpd][Sg]	sikukun
siqugh*[N][Via][Unpd][Pl]	siquutgun
siqugh*[N][Via][Unpd][Sg]	siqughkun
tafsi[N][Via][Unpd][Pl]	tafsitgun
tafsi[N][Via][Unpd][Sg]	tafsikun
taghnughhagh*[N][Via][Unpd][Pl]	taghnughhaatgun
taghnughhagh*[N][Via][Unpd][Sg]	taghnughhaghkun
ulaagh [N][Via][Unpd][Pl]	+?
ulaagh [N][Via][Unpd][Sg]	+?
uupa[N][Via][Unpd][Pl]	uupatgun
uupa[N][Via][Unpd][Sg]	uupakun
uyghag[N][Via][Unpd][Pl]	uyghagetgun
uyghag[N][Via][Unpd][Sg]	uyghagkun
yaquleg[N][Via][Unpd][Pl]	yaqulgetgun
yaquleg[N][Via][Unpd][Sg]	yaqulegkun
yughaghte[N][Via][Unpd][Pl]	yughaghtetgun
yughaghte[N][Via][Unpd][Sg]	yughaghtekun
yug[N][Via][Unpd][Pl]	yugetgun
yug[N][Via][Unpd][Sg]	yugkun
Yupig[N][Via][Unpd][Pl]	Yupigetgun
Yupig[N][Via][Unpd][Sg]	Yupigkun
