aane[V][Ind][3Sg]	aanuq
aghnagh[N][Abs][Unpd][Du]	aghnak
aghnagh[N][Abs][Unpd][Pl]	aghnat
aghnagh[N][Abs][Unpd][Sg]	aghnaq
angyagh[N][Abl_Mod][Unpd][Sg]	angyameng
anigu[N][Abl_Mod][Unpd][Sg]	anigumeng
aqii[V][Ind][3Sg]	aqiiguq
ggute[N][Abl_Mod][Unpd][Sg]	gguutmeng
iye[N][Abl_Mod][Unpd][Pl]	iyeneng
iye[N][Abl_Mod][Unpd][Sg]	iiymeng
kaate[V][Ind][1Pl]	kaatukut
naayghagh[N][Abl_Mod][Unpd][Sg]	naayghameng
naayvagh[N][Abl_Mod][Unpd][Pl]	naayvaneng
naayvagh[N][Abl_Mod][Unpd][Sg]	naayvameng
nanugh*[N][Abl_Mod][Unpd][Sg]	nanughmeng
negh[V][Ind][1Sg]	neghtunga
negh[V][Ind][3Du]	neghtuk
negh[V][Ind][3Pl]	neghtut
negh[V][Ind][3Sg]	neghtuq
nenglagh[V][Ind][3Sg]	nenglaghtuq
pagunghagh*[N][Abl_Mod][Unpd][Sg]	pagunghaghmeng
pinigh[V][Ind][3Sg]	pinightuq
qiya[V][Ind][3Sg]	qiyaaq
qulmesiite[N][Abl_Mod][Unpd][Pl]	qulmesiitneng
qulmesiite[N][Abl_Mod][Unpd][Sg]	qulmesiitmeng
riigte[N][Abl_Mod][Unpd][Sg]	riigtemeng
sikig[N][Abl_Mod][Unpd][Sg]	sikigmeng
tagi[V][Ind][1Sg]	tagiinga
tagi[V][Ind][3Sg]	tagiiq
tuqu[V][Ind][3Sg]	tuquuq
