aane[V][Ind][1Du]	aanukung
aane[V][Ind][1Pl]	aanukut
aane[V][Ind][1Sg]	aanunga
aane[V][Ind][2Du]	aanutek
aane[V][Ind][2Pl]	aanusi
aane[V][Ind][2Sg]	aanuten
aane[V][Ind][3Du]	aanuk
aane[V][Ind][3Pl]	aanut
aane[V][Ind][3Sg]	aanuq
aange[V][Ind][1Du]	aangukung
aange[V][Ind][1Pl]	aangukut
aange[V][Ind][1Sg]	aangunga
aange[V][Ind][2Du]	aangutek
aange[V][Ind][2Pl]	aangusi
aange[V][Ind][2Sg]	aanguten
aange[V][Ind][3Du]	aanguk
aange[V][Ind][3Pl]	aangut
aange[V][Ind][3Sg]	aanguq
aghulaqe[V][Ind][1Du]	aghulaqukung
aghulaqe[V][Ind][1Pl]	aghulaqukut
aghulaqe[V][Ind][1Sg]	aghulaqunga
aghulaqe[V][Ind][2Du]	aghulaqutek
aghulaqe[V][Ind][2Pl]	aghulaqusi
aghulaqe[V][Ind][2Sg]	aghulaquten
aghulaqe[V][Ind][3Du]	aghulaquk
aghulaqe[V][Ind][3Pl]	aghulaqut
aghulaqe[V][Ind][3Sg]	aghulaquq
aghula[V][Ind][1Du]	aghulaakung
aghula[V][Ind][1Pl]	aghulaakut
aghula[V][Ind][1Sg]	aghulaanga
aghula[V][Ind][2Du]	aghulaatek
aghula[V][Ind][2Pl]	aghulaasi
aghula[V][Ind][2Sg]	aghulaaten
aghula[V][Ind][3Du]	aghulaak
aghula[V][Ind][3Pl]	aghulaat
aghula[V][Ind][3Sg]	aghulaaq
alinge[V][Ind][1Du]	alingukung
alinge[V][Ind][1Pl]	alingukut
alinge[V][Ind][1Sg]	alingunga
alinge[V][Ind][2Du]	alingutek
alinge[V][Ind][2Pl]	alingusi
alinge[V][Ind][2Sg]	alinguten
alinge[V][Ind][3Du]	alinguk
alinge[V][Ind][3Pl]	alingut
alinge[V][Ind][3Sg]	alinguq
aqii[V][Ind][1Du]	aqiigukung
aqii[V][Ind][1Pl]	aqiigukut
aqii[V][Ind][1Sg]	aqiigunga
aqii[V][Ind][2Du]	aqiigutek
aqii[V][Ind][2Pl]	aqiigusi
aqii[V][Ind][2Sg]	aqiiguten
aqii[V][Ind][3Du]	aqiiguk
aqii[V][Ind][3Pl]	aqiigut
aqii[V][Ind][3Sg]	aqiiguq
esghaate[V][Ind][1Du]	esghaatukung
esghaate[V][Ind][1Pl]	esghaatukut
esghaate[V][Ind][1Sg]	esghaatunga
esghaate[V][Ind][2Du]	esghaatutek
esghaate[V][Ind][2Pl]	esghaatusi
esghaate[V][Ind][2Sg]	esghaatuten
esghaate[V][Ind][3Du]	esghaatuk
esghaate[V][Ind][3Pl]	esghaatut
esghaate[V][Ind][3Sg]	esghaatuq
esleqe[V][Ind][1Du]	eslequkung
esleqe[V][Ind][1Pl]	eslequkut
esleqe[V][Ind][1Sg]	eslequnga
esleqe[V][Ind][2Du]	eslequtek
esleqe[V][Ind][2Pl]	eslequsi
esleqe[V][Ind][2Sg]	eslequten
esleqe[V][Ind][3Du]	eslequk
esleqe[V][Ind][3Pl]	eslequt
esleqe[V][Ind][3Sg]	eslequq
gaagh[V][Ind][1Du]	gaaghtukung
gaagh[V][Ind][1Pl]	gaaghtukut
gaagh[V][Ind][1Sg]	gaaghtunga
gaagh[V][Ind][2Du]	gaaghtutek
gaagh[V][Ind][2Pl]	gaaghtusi
gaagh[V][Ind][2Sg]	gaaghtuten
gaagh[V][Ind][3Du]	gaaghtuk
gaagh[V][Ind][3Pl]	gaaghtut
gaagh[V][Ind][3Sg]	gaaghtuq
ifla[V][Ind][1Du]	iflaakung
ifla[V][Ind][1Pl]	iflaakut
ifla[V][Ind][1Sg]	iflaanga
ifla[V][Ind][2Du]	iflaatek
ifla[V][Ind][2Pl]	iflaasi
ifla[V][Ind][2Sg]	iflaaten
ifla[V][Ind][3Du]	iflaak
ifla[V][Ind][3Pl]	iflaat
ifla[V][Ind][3Sg]	iflaaq
ingaghte[V][Ind][1Du]	ingaghtukung
ingaghte[V][Ind][1Pl]	ingaghtukut
ingaghte[V][Ind][1Sg]	ingaghtunga
ingaghte[V][Ind][2Du]	ingaghtutek
ingaghte[V][Ind][2Pl]	ingaghtusi
ingaghte[V][Ind][2Sg]	ingaghtuten
ingaghte[V][Ind][3Du]	ingaghtuk
ingaghte[V][Ind][3Pl]	ingaghtut
ingaghte[V][Ind][3Sg]	ingaghtuq
inghu[V][Ind][1Du]	inghuukung
inghu[V][Ind][1Pl]	inghuukut
inghu[V][Ind][1Sg]	inghuunga
inghu[V][Ind][2Du]	inghuutek
inghu[V][Ind][2Pl]	inghuusi
inghu[V][Ind][2Sg]	inghuuten
inghu[V][Ind][3Du]	inghuuk
inghu[V][Ind][3Pl]	inghuut
inghu[V][Ind][3Sg]	inghuuq
itegh[V][Ind][1Du]	iteghtukung
itegh[V][Ind][1Pl]	iteghtukut
itegh[V][Ind][1Sg]	iteghtunga
itegh[V][Ind][2Du]	iteghtutek
itegh[V][Ind][2Pl]	iteghtusi
itegh[V][Ind][2Sg]	iteghtuten
itegh[V][Ind][3Du]	iteghtuk
itegh[V][Ind][3Pl]	iteghtut
itegh[V][Ind][3Sg]	iteghtuq
kaate[V][Ind][1Du]	kaatukung
kaate[V][Ind][1Pl]	kaatukut
kaate[V][Ind][1Sg]	kaatunga
kaate[V][Ind][2Du]	kaatutek
kaate[V][Ind][2Pl]	kaatusi
kaate[V][Ind][2Sg]	kaatuten
kaate[V][Ind][3Du]	kaatuk
kaate[V][Ind][3Pl]	kaatut
kaate[V][Ind][3Sg]	kaatuq
kuuve[V][Ind][1Du]	kuuvukung
kuuve[V][Ind][1Pl]	kuuvukut
kuuve[V][Ind][1Sg]	kuuvunga
kuuve[V][Ind][2Du]	kuuvutek
kuuve[V][Ind][2Pl]	kuuvusi
kuuve[V][Ind][2Sg]	kuuvuten
kuuve[V][Ind][3Du]	kuuvuk
kuuve[V][Ind][3Pl]	kuuvut
kuuve[V][Ind][3Sg]	kuuvuq
megh[V][Ind][1Du]	meghtukung
megh[V][Ind][1Pl]	meghtukut
megh[V][Ind][1Sg]	meghtunga
megh[V][Ind][2Du]	meghtutek
megh[V][Ind][2Pl]	meghtusi
megh[V][Ind][2Sg]	meghtuten
megh[V][Ind][3Du]	meghtuk
megh[V][Ind][3Pl]	meghtut
megh[V][Ind][3Sg]	meghtuq
nagate[V][Ind][1Du]	nagatukung
nagate[V][Ind][1Pl]	nagatukut
nagate[V][Ind][1Sg]	nagatunga
nagate[V][Ind][2Du]	nagatutek
nagate[V][Ind][2Pl]	nagatusi
nagate[V][Ind][2Sg]	nagatuten
nagate[V][Ind][3Du]	nagatuk
nagate[V][Ind][3Pl]	nagatut
nagate[V][Ind][3Sg]	nagatuq
negh[V][Ind][1Du]	neghtukung
