aaw[N][Abs][1DuPoss][DuPosd]	aawegpung
aaw[N][Abs][1DuPoss][PlPosd]	aapung
aaw[N][Abs][1DuPoss][SgPosd]	aawpung
aghnaghagh*[N][Abs][1DuPoss][DuPosd]	aghnaghaagpung
aghnaghagh*[N][Abs][1DuPoss][PlPosd]	aghnaghaghpung
aghnaghagh*[N][Abs][1DuPoss][SgPosd]	aghnaghagh(p/v)ung
angyagh[N][Abs][1DuPoss][DuPosd]	angyagpung
angyagh[N][Abs][1DuPoss][PlPosd]	angyapung
angyagh[N][Abs][1DuPoss][SgPosd]	angyaghpung
apa[N][Abs][1DuPoss][DuPosd]	apagpung
apa[N][Abs][1DuPoss][PlPosd]	apapung
apa[N][Abs][1DuPoss][SgPosd]	apavung
ata[N][Abs][1DuPoss][DuPosd]	atagpung
ata[N][Abs][1DuPoss][PlPosd]	atapung
ata[N][Abs][1DuPoss][SgPosd]	atavung
ategh[N][Abs][1DuPoss][DuPosd]	aatghegpung
ategh[N][Abs][1DuPoss][PlPosd]	atepung
ategh[N][Abs][1DuPoss][SgPosd]	ateghpung
avaqutagh[N][Abs][1DuPoss][DuPosd]	avaqutagpung
avaqutagh[N][Abs][1DuPoss][PlPosd]	avaqutapung
avaqutagh[N][Abs][1DuPoss][SgPosd]	avaqutaghpung
eltughagh*[N][Abs][1DuPoss][DuPosd]	eltughaagpung
eltughagh*[N][Abs][1DuPoss][PlPosd]	eltughaghpung
eltughagh*[N][Abs][1DuPoss][SgPosd]	eltughagh(p/v)ung
ggute[N][Abs][1DuPoss][DuPosd]	ggutegpung
ggute[N][Abs][1DuPoss][PlPosd]	ggutepung
ggute[N][Abs][1DuPoss][SgPosd]	ggutevung
ighnegh[N][Abs][1DuPoss][DuPosd]	ighneghegpung
ighnegh[N][Abs][1DuPoss][PlPosd]	ighnepung
ighnegh[N][Abs][1DuPoss][SgPosd]	ighneghpung
iigge[N][Abs][1DuPoss][DuPosd]	iiggegpung
iigge[N][Abs][1DuPoss][PlPosd]	iiggepung
iigge[N][Abs][1DuPoss][SgPosd]	iiggevung
iye[N][Abs][1DuPoss][DuPosd]	iyegpung
iye[N][Abs][1DuPoss][PlPosd]	iyepung
iye[N][Abs][1DuPoss][SgPosd]	iyevung
kemeg[N][Abs][1DuPoss][DuPosd]	kemgegpung
kemeg[N][Abs][1DuPoss][PlPosd]	kemepung
kemeg[N][Abs][1DuPoss][SgPosd]	kemegpung
mekelghiigh[N][Abs][1DuPoss][DuPosd]	mekelghiighegpung
mekelghiigh[N][Abs][1DuPoss][PlPosd]	mekelghiipung
mekelghiigh[N][Abs][1DuPoss][SgPosd]	mekelghiighpung
mekestaaghhagh*[N][Abs][1DuPoss][DuPosd]	mekestaaghhaagpung
mekestaaghhagh*[N][Abs][1DuPoss][PlPosd]	mekestaaghhaghpung
mekestaaghhagh*[N][Abs][1DuPoss][SgPosd]	mekestaaghhagh(p/v)ung
naa[N][Abs][1DuPoss][DuPosd]	naagpung
naa[N][Abs][1DuPoss][PlPosd]	naapung
naa[N][Abs][1DuPoss][SgPosd]	naavung
ne[N][Abs][1DuPoss][DuPosd]	negpung
ne[N][Abs][1DuPoss][PlPosd]	nepung
ne[N][Abs][1DuPoss][SgPosd]	nevung
nengyugh*[N][Abs][1DuPoss][DuPosd]	nengyuugpung
nengyugh*[N][Abs][1DuPoss][PlPosd]	nengyughpung
nengyugh*[N][Abs][1DuPoss][SgPosd]	nengyugh(p/v)ung
nuliigh[N][Abs][1DuPoss][DuPosd]	nuliighegpung
nuliigh[N][Abs][1DuPoss][PlPosd]	nuliipung
nuliigh[N][Abs][1DuPoss][SgPosd]	nuliighpung
nuyagh[N][Abs][1DuPoss][DuPosd]	nuyagpung
nuyagh[N][Abs][1DuPoss][PlPosd]	nuyapung
nuyagh[N][Abs][1DuPoss][SgPosd]	nuyaghpung
panig[N][Abs][1DuPoss][DuPosd]	panigegpung
panig[N][Abs][1DuPoss][PlPosd]	panipung
panig[N][Abs][1DuPoss][SgPosd]	panigpung
qiighw[N][Abs][1DuPoss][DuPosd]	qiighwegpung
qiighw[N][Abs][1DuPoss][PlPosd]	qiipung
qiighw[N][Abs][1DuPoss][SgPosd]	qiighwpung
seghlegh[N][Abs][1DuPoss][DuPosd]	seghleghegpung
seghlegh[N][Abs][1DuPoss][PlPosd]	seghlepung
seghlegh[N][Abs][1DuPoss][SgPosd]	seghleghpung
sigute[N][Abs][1DuPoss][DuPosd]	sigutegpung
sigute[N][Abs][1DuPoss][PlPosd]	sigutepung
sigute[N][Abs][1DuPoss][SgPosd]	sigutevung
takestaaghhagh*[N][Abs][1DuPoss][DuPosd]	takestaaghhaagpung
takestaaghhagh*[N][Abs][1DuPoss][PlPosd]	takestaaghhaghpung
takestaaghhagh*[N][Abs][1DuPoss][SgPosd]	takestaaghhagh(p/v)ung
ugi[N][Abs][1DuPoss][DuPosd]	ugigpung
ugi[N][Abs][1DuPoss][PlPosd]	ugipung
ugi[N][Abs][1DuPoss][SgPosd]	ugivung
