aaw[N][Abs][1PlPoss][DuPosd]	aawegput
aaw[N][Abs][1PlPoss][PlPosd]	aaput
aaw[N][Abs][1PlPoss][SgPosd]	aawput
aghnaghagh*[N][Abs][1PlPoss][DuPosd]	aghnaghaagput
aghnaghagh*[N][Abs][1PlPoss][PlPosd]	aghnaghaghput
aghnaghagh*[N][Abs][1PlPoss][SgPosd]	aghnaghagh(p/v)ut
angyagh[N][Abs][1PlPoss][DuPosd]	angyaghput
angyagh[N][Abs][1PlPoss][PlPosd]	angyaput
angyagh[N][Abs][1PlPoss][SgPosd]	angyaghput
apa[N][Abs][1PlPoss][DuPosd]	apagput
apa[N][Abs][1PlPoss][PlPosd]	apaput
apa[N][Abs][1PlPoss][SgPosd]	apavut
ata[N][Abs][1PlPoss][DuPosd]	atagput
ata[N][Abs][1PlPoss][PlPosd]	ataput
ata[N][Abs][1PlPoss][SgPosd]	atavut
ategh[N][Abs][1PlPoss][DuPosd]	aatghegput
ategh[N][Abs][1PlPoss][PlPosd]	ateput
ategh[N][Abs][1PlPoss][SgPosd]	ateghput
avaqutagh[N][Abs][1PlPoss][DuPosd]	avaqutagput
avaqutagh[N][Abs][1PlPoss][PlPosd]	avaqutaput
avaqutagh[N][Abs][1PlPoss][SgPosd]	avaqutaghput
eltughagh*[N][Abs][1PlPoss][DuPosd]	eltughaagput
eltughagh*[N][Abs][1PlPoss][PlPosd]	eltughaghput
eltughagh*[N][Abs][1PlPoss][SgPosd]	eltughagh(p/v)ut
ggute[N][Abs][1PlPoss][DuPosd]	ggutegput
ggute[N][Abs][1PlPoss][PlPosd]	gguteput
ggute[N][Abs][1PlPoss][SgPosd]	ggutevut
ighnegh[N][Abs][1PlPoss][DuPosd]	ighneghegput
ighnegh[N][Abs][1PlPoss][PlPosd]	ighneput
ighnegh[N][Abs][1PlPoss][SgPosd]	ighneghput
iigge[N][Abs][1PlPoss][DuPosd]	iiggegput
iigge[N][Abs][1PlPoss][PlPosd]	iiggeput
iigge[N][Abs][1PlPoss][SgPosd]	iiggevut
iye[N][Abs][1PlPoss][DuPosd]	iyegput
iye[N][Abs][1PlPoss][PlPosd]	iyeput
iye[N][Abs][1PlPoss][SgPosd]	iyevut
kemeg[N][Abs][1PlPoss][DuPosd]	kemgegput
kemeg[N][Abs][1PlPoss][PlPosd]	kemeput
kemeg[N][Abs][1PlPoss][SgPosd]	kemegput
mekelghiigh[N][Abs][1PlPoss][DuPosd]	mekelghiighegput
mekelghiigh[N][Abs][1PlPoss][PlPosd]	mekelghiiput
mekelghiigh[N][Abs][1PlPoss][SgPosd]	mekelghiighput
mekestaaghhagh*[N][Abs][1PlPoss][DuPosd]	mekestaaghhaagput
mekestaaghhagh*[N][Abs][1PlPoss][PlPosd]	mekestaaghhaghput
mekestaaghhagh*[N][Abs][1PlPoss][SgPosd]	mekestaaghhagh(p/v)ut
naa[N][Abs][1PlPoss][DuPosd]	naagput
naa[N][Abs][1PlPoss][PlPosd]	naaput
naa[N][Abs][1PlPoss][SgPosd]	naavut
ne[N][Abs][1PlPoss][DuPosd]	negput
ne[N][Abs][1PlPoss][PlPosd]	neput
ne[N][Abs][1PlPoss][SgPosd]	nevut
nengyugh*[N][Abs][1PlPoss][DuPosd]	nengyuugput
nengyugh*[N][Abs][1PlPoss][PlPosd]	nengyughput
nengyugh*[N][Abs][1PlPoss][SgPosd]	nengyugh(p/v)ut
nuliigh[N][Abs][1PlPoss][DuPosd]	nuliighegput
nuliigh[N][Abs][1PlPoss][PlPosd]	nuliiput
nuliigh[N][Abs][1PlPoss][SgPosd]	nuliighput
nuyagh[N][Abs][1PlPoss][DuPosd]	nuyagput
nuyagh[N][Abs][1PlPoss][PlPosd]	nuyaput
nuyagh[N][Abs][1PlPoss][SgPosd]	nuyaghput
panig[N][Abs][1PlPoss][DuPosd]	panigegput
panig[N][Abs][1PlPoss][PlPosd]	paniput
panig[N][Abs][1PlPoss][SgPosd]	panigput
qiighw[N][Abs][1PlPoss][DuPosd]	qiighwegput
qiighw[N][Abs][1PlPoss][PlPosd]	qiiput
qiighw[N][Abs][1PlPoss][SgPosd]	qiighwput
seghlegh[N][Abs][1PlPoss][DuPosd]	seghleghegput
seghlegh[N][Abs][1PlPoss][PlPosd]	seghleput
seghlegh[N][Abs][1PlPoss][SgPosd]	seghleghput
sigute[N][Abs][1PlPoss][DuPosd]	sigutegput
sigute[N][Abs][1PlPoss][PlPosd]	siguteput
sigute[N][Abs][1PlPoss][SgPosd]	sigutevut
takestaaghhagh*[N][Abs][1PlPoss][DuPosd]	takestaaghhaagput
takestaaghhagh*[N][Abs][1PlPoss][PlPosd]	takestaaghhaghput
takestaaghhagh*[N][Abs][1PlPoss][SgPosd]	takestaaghhagh(p/v)ut
ugi[N][Abs][1PlPoss][DuPosd]	ugigput
ugi[N][Abs][1PlPoss][PlPosd]	ugiput
ugi[N][Abs][1PlPoss][SgPosd]	ugivut
