aaw[N][Abs][1DuPoss][DuPosd]	aawegpung
aaw[N][Abs][1DuPoss][PlPosd]	aapung
aaw[N][Abs][1DuPoss][SgPosd]	aawpung
aaw[N][Abs][1PlPoss][DuPosd]	aawegput
aaw[N][Abs][1PlPoss][PlPosd]	aaput
aaw[N][Abs][1PlPoss][SgPosd]	aawput
aaw[N][Abs][1SgPoss][DuPosd]	aawegka
aaw[N][Abs][1SgPoss][PlPosd]	aawenka
aaw[N][Abs][1SgPoss][SgPosd]	aakwa
aghnaghagh*[N][Abs][1DuPoss][DuPosd]	aghnaghaagpung
aghnaghagh*[N][Abs][1DuPoss][PlPosd]	aghnaghapung
aghnaghagh*[N][Abs][1DuPoss][SgPosd]	aghnaghaghpung
aghnaghagh*[N][Abs][1PlPoss][DuPosd]	aghnaghaagput
aghnaghagh*[N][Abs][1PlPoss][PlPosd]	aghnaghaput
aghnaghagh*[N][Abs][1PlPoss][SgPosd]	aghnaghaghput
aghnaghagh*[N][Abs][1SgPoss][DuPosd]	aghnaghaagka
aghnaghagh*[N][Abs][1SgPoss][PlPosd]	aghnaghaanka
aghnaghagh*[N][Abs][1SgPoss][SgPosd]	aghnaghaqa
angyagh[N][Abs][1DuPoss][DuPosd]	angyagpung
angyagh[N][Abs][1DuPoss][PlPosd]	angyapung
angyagh[N][Abs][1DuPoss][SgPosd]	angyaghpung
angyagh[N][Abs][1PlPoss][DuPosd]	angyagput
angyagh[N][Abs][1PlPoss][PlPosd]	angyaput
angyagh[N][Abs][1PlPoss][SgPosd]	angyaghput
angyagh[N][Abs][1SgPoss][DuPosd]	angyagka
angyagh[N][Abs][1SgPoss][PlPosd]	angyanka
angyagh[N][Abs][1SgPoss][SgPosd]	angyaqa
apa[N][Abs][1DuPoss][DuPosd]	apagpung
apa[N][Abs][1DuPoss][PlPosd]	apapung
apa[N][Abs][1DuPoss][SgPosd]	apavung
apa[N][Abs][1PlPoss][DuPosd]	apagput
apa[N][Abs][1PlPoss][PlPosd]	apaput
apa[N][Abs][1PlPoss][SgPosd]	apavut
apa[N][Abs][1SgPoss][DuPosd]	apagka
apa[N][Abs][1SgPoss][PlPosd]	apanka
apa[N][Abs][1SgPoss][SgPosd]	apaka
ata[N][Abs][1DuPoss][DuPosd]	atagpung
ata[N][Abs][1DuPoss][PlPosd]	atapung
ata[N][Abs][1DuPoss][SgPosd]	atavung
ata[N][Abs][1PlPoss][DuPosd]	atagput
ata[N][Abs][1PlPoss][PlPosd]	ataput
ata[N][Abs][1PlPoss][SgPosd]	atavut
ata[N][Abs][1SgPoss][DuPosd]	atagka
ata[N][Abs][1SgPoss][PlPosd]	atanka
ata[N][Abs][1SgPoss][SgPosd]	ataka
ategh[N][Abs][1DuPoss][DuPosd]	aatghegpung
ategh[N][Abs][1DuPoss][PlPosd]	atepung
ategh[N][Abs][1DuPoss][SgPosd]	ateghpung
ategh[N][Abs][1PlPoss][DuPosd]	aatghegput
ategh[N][Abs][1PlPoss][PlPosd]	ateput
ategh[N][Abs][1PlPoss][SgPosd]	ateghput
ategh[N][Abs][1SgPoss][DuPosd]	aatghegka
ategh[N][Abs][1SgPoss][PlPosd]	aatghenka
ategh[N][Abs][1SgPoss][SgPosd]	aatqa
avaqutagh[N][Abs][1DuPoss][DuPosd]	avaqutagpung
avaqutagh[N][Abs][1DuPoss][PlPosd]	avaqutapung
avaqutagh[N][Abs][1DuPoss][SgPosd]	avaqutaghpung
avaqutagh[N][Abs][1PlPoss][DuPosd]	avaqutagput
avaqutagh[N][Abs][1PlPoss][PlPosd]	avaqutaput
avaqutagh[N][Abs][1PlPoss][SgPosd]	avaqutaghput
avaqutagh[N][Abs][1SgPoss][DuPosd]	avaqutagka
avaqutagh[N][Abs][1SgPoss][PlPosd]	avaqutanka
avaqutagh[N][Abs][1SgPoss][SgPosd]	avaqutaqa
eltughagh*[N][Abs][1DuPoss][DuPosd]	eltughaagpung
eltughagh*[N][Abs][1DuPoss][PlPosd]	eltughapung
eltughagh*[N][Abs][1DuPoss][SgPosd]	eltughaghpung
eltughagh*[N][Abs][1PlPoss][DuPosd]	eltughaagput
eltughagh*[N][Abs][1PlPoss][PlPosd]	eltughaput
eltughagh*[N][Abs][1PlPoss][SgPosd]	eltughaghput
eltughagh*[N][Abs][1SgPoss][DuPosd]	eltughaagka
eltughagh*[N][Abs][1SgPoss][PlPosd]	eltughaanka
eltughagh*[N][Abs][1SgPoss][SgPosd]	eltughaqa
ggute[N][Abs][1DuPoss][DuPosd]	ggutegpung
ggute[N][Abs][1DuPoss][PlPosd]	ggutepung
ggute[N][Abs][1DuPoss][SgPosd]	ggutevung
ggute[N][Abs][1PlPoss][DuPosd]	ggutegput
ggute[N][Abs][1PlPoss][PlPosd]	gguteput
ggute[N][Abs][1PlPoss][SgPosd]	ggutevut
ggute[N][Abs][1SgPoss][DuPosd]	ggutegka
ggute[N][Abs][1SgPoss][PlPosd]	ggutenka
ggute[N][Abs][1SgPoss][SgPosd]	gguutka
ighnegh[N][Abs][1DuPoss][DuPosd]	ighneghegpung
ighnegh[N][Abs][1DuPoss][PlPosd]	ighnepung
ighnegh[N][Abs][1DuPoss][SgPosd]	ighneghpung
ighnegh[N][Abs][1PlPoss][DuPosd]	ighneghegput
ighnegh[N][Abs][1PlPoss][PlPosd]	ighneput
ighnegh[N][Abs][1PlPoss][SgPosd]	ighneghput
ighnegh[N][Abs][1SgPoss][DuPosd]	ighneghegka
ighnegh[N][Abs][1SgPoss][PlPosd]	ighneghenka
ighnegh[N][Abs][1SgPoss][SgPosd]	ighneqa
iigge[N][Abs][1DuPoss][DuPosd]	iiggegpung
iigge[N][Abs][1DuPoss][PlPosd]	iiggepung
iigge[N][Abs][1DuPoss][SgPosd]	iiggevung
iigge[N][Abs][1PlPoss][DuPosd]	iiggegput
iigge[N][Abs][1PlPoss][PlPosd]	iiggeput
iigge[N][Abs][1PlPoss][SgPosd]	iiggevut
iigge[N][Abs][1SgPoss][DuPosd]	iiggegka
iigge[N][Abs][1SgPoss][PlPosd]	iiggenka
iigge[N][Abs][1SgPoss][SgPosd]	iigka
iye[N][Abs][1DuPoss][DuPosd]	iyegpung
iye[N][Abs][1DuPoss][PlPosd]	iyepung
iye[N][Abs][1DuPoss][SgPosd]	iyevung
iye[N][Abs][1PlPoss][DuPosd]	iyegput
iye[N][Abs][1PlPoss][PlPosd]	iyeput
iye[N][Abs][1PlPoss][SgPosd]	iyevut
iye[N][Abs][1SgPoss][DuPosd]	iyegka
iye[N][Abs][1SgPoss][PlPosd]	iyenka
