aaw[N][Abs][1SgPoss][DuPosd]	aawegka
aaw[N][Abs][1SgPoss][PlPosd]	aawenka
aaw[N][Abs][1SgPoss][SgPosd]	aakwa
aghnaghagh*[N][Abs][1SgPoss][DuPosd]	aghnaghaagka
aghnaghagh*[N][Abs][1SgPoss][PlPosd]	aghnaghaanka
aghnaghagh*[N][Abs][1SgPoss][SgPosd]	aghnaghaghqa
angyagh[N][Abs][1SgPoss][DuPosd]	angyagka
angyagh[N][Abs][1SgPoss][PlPosd]	angyanka
angyagh[N][Abs][1SgPoss][SgPosd]	angyaqa
apa[N][Abs][1SgPoss][DuPosd]	apagka
apa[N][Abs][1SgPoss][PlPosd]	apanka
apa[N][Abs][1SgPoss][SgPosd]	apaka
ata[N][Abs][1SgPoss][DuPosd]	atagka
ata[N][Abs][1SgPoss][PlPosd]	atanka
ata[N][Abs][1SgPoss][SgPosd]	ataka
ategh[N][Abs][1SgPoss][DuPosd]	aatghegka
ategh[N][Abs][1SgPoss][PlPosd]	aatghenka
ategh[N][Abs][1SgPoss][SgPosd]	aatqa
avaqutagh[N][Abs][1SgPoss][DuPosd]	avaqutagka
avaqutagh[N][Abs][1SgPoss][PlPosd]	avaqutanka
avaqutagh[N][Abs][1SgPoss][SgPosd]	avaqutaqa
eltughagh*[N][Abs][1SgPoss][DuPosd]	eltughaagka
eltughagh*[N][Abs][1SgPoss][PlPosd]	eltughaanka
eltughagh*[N][Abs][1SgPoss][SgPosd]	eltughaghqa
ggute[N][Abs][1SgPoss][DuPosd]	ggutegka
ggute[N][Abs][1SgPoss][PlPosd]	ggutenka
ggute[N][Abs][1SgPoss][SgPosd]	gguutka
ighnegh[N][Abs][1SgPoss][DuPosd]	ighneghegka
ighnegh[N][Abs][1SgPoss][PlPosd]	ighneghenka
ighnegh[N][Abs][1SgPoss][SgPosd]	ighneqa
iigge[N][Abs][1SgPoss][DuPosd]	iiggegka
iigge[N][Abs][1SgPoss][PlPosd]	iiggenka
iigge[N][Abs][1SgPoss][SgPosd]	iiggka
iye[N][Abs][1SgPoss][DuPosd]	iyegka
iye[N][Abs][1SgPoss][PlPosd]	iyenka
iye[N][Abs][1SgPoss][SgPosd]	iiska
kemeg[N][Abs][1SgPoss][DuPosd]	kemgegka
kemeg[N][Abs][1SgPoss][PlPosd]	kemgenka
kemeg[N][Abs][1SgPoss][SgPosd]	kemka
mekelghiigh[N][Abs][1SgPoss][DuPosd]	mekelghiighegka
mekelghiigh[N][Abs][1SgPoss][PlPosd]	mekelghiighenka
mekelghiigh[N][Abs][1SgPoss][SgPosd]	mekelghiiqa
mekestaaghhagh*[N][Abs][1SgPoss][DuPosd]	mekestaaghhaagka
mekestaaghhagh*[N][Abs][1SgPoss][PlPosd]	mekestaaghhaanka
mekestaaghhagh*[N][Abs][1SgPoss][SgPosd]	mekestaaghhaghqa
naa[N][Abs][1SgPoss][DuPosd]	naagka
naa[N][Abs][1SgPoss][PlPosd]	naanka
naa[N][Abs][1SgPoss][SgPosd]	naaka
ne[N][Abs][1SgPoss][DuPosd]	negka
ne[N][Abs][1SgPoss][PlPosd]	nenka
ne[N][Abs][1SgPoss][SgPosd]	neka
nengyugh*[N][Abs][1SgPoss][DuPosd]	nengyuugka
nengyugh*[N][Abs][1SgPoss][PlPosd]	nengyuunka
nengyugh*[N][Abs][1SgPoss][SgPosd]	nengyughqa
nuliigh[N][Abs][1SgPoss][DuPosd]	nuliighegka
nuliigh[N][Abs][1SgPoss][PlPosd]	nuliighenka
nuliigh[N][Abs][1SgPoss][SgPosd]	nuliiqa
nuyagh[N][Abs][1SgPoss][DuPosd]	nuyagka
nuyagh[N][Abs][1SgPoss][PlPosd]	nuyanka
nuyagh[N][Abs][1SgPoss][SgPosd]	nuyaqa
panig[N][Abs][1SgPoss][DuPosd]	panigegka
panig[N][Abs][1SgPoss][PlPosd]	panigenka
panig[N][Abs][1SgPoss][SgPosd]	panika
qiighw[N][Abs][1SgPoss][DuPosd]	qiighwegka
qiighw[N][Abs][1SgPoss][PlPosd]	qiighwenka
qiighw[N][Abs][1SgPoss][SgPosd]	qiiqwa
seghlegh[N][Abs][1SgPoss][DuPosd]	seghleghegka
seghlegh[N][Abs][1SgPoss][PlPosd]	seghleghenka
seghlegh[N][Abs][1SgPoss][SgPosd]	seghleqa
sigute[N][Abs][1SgPoss][DuPosd]	sigutegka
sigute[N][Abs][1SgPoss][PlPosd]	sigutenka
sigute[N][Abs][1SgPoss][SgPosd]	sigutka
takestaaghhagh*[N][Abs][1SgPoss][DuPosd]	takestaaghhaagka
takestaaghhagh*[N][Abs][1SgPoss][PlPosd]	takestaaghhaanka
takestaaghhagh*[N][Abs][1SgPoss][SgPosd]	takestaaghhaghqa
ugi[N][Abs][1SgPoss][DuPosd]	ugigka
ugi[N][Abs][1SgPoss][PlPosd]	uginka
ugi[N][Abs][1SgPoss][SgPosd]	ugika
