aaw[N][Abs][2DuPoss][DuPosd]	aawegtek
aaw[N][Abs][2DuPoss][PlPosd]	aatek
aaw[N][Abs][2DuPoss][SgPosd]	aawtek
aghnaghagh*[N][Abs][2DuPoss][DuPosd]	aghnaghaagtek
aghnaghagh*[N][Abs][2DuPoss][PlPosd]	aghnaghaghtek
aghnaghagh*[N][Abs][2DuPoss][SgPosd]	aghnaghaghtek
angyagh[N][Abs][2DuPoss][DuPosd]	angyagtek
angyagh[N][Abs][2DuPoss][PlPosd]	angyatek
angyagh[N][Abs][2DuPoss][SgPosd]	angyaghtek
apa[N][Abs][2DuPoss][DuPosd]	apagtek
apa[N][Abs][2DuPoss][PlPosd]	apatek
apa[N][Abs][2DuPoss][SgPosd]	apayek
ata[N][Abs][2DuPoss][DuPosd]	atagtek
ata[N][Abs][2DuPoss][PlPosd]	atatek
ata[N][Abs][2DuPoss][SgPosd]	atayek
ategh[N][Abs][2DuPoss][DuPosd]	aatghegtek
ategh[N][Abs][2DuPoss][PlPosd]	atetek
ategh[N][Abs][2DuPoss][SgPosd]	ateghtek
avaqutagh[N][Abs][2DuPoss][DuPosd]	avaqutagtek
avaqutagh[N][Abs][2DuPoss][PlPosd]	avaqutatek
avaqutagh[N][Abs][2DuPoss][SgPosd]	avaqutaghtek
eltughagh*[N][Abs][2DuPoss][DuPosd]	eltughaagtek
eltughagh*[N][Abs][2DuPoss][PlPosd]	eltughaghtek
eltughagh*[N][Abs][2DuPoss][SgPosd]	eltughaghtek
ggute[N][Abs][2DuPoss][DuPosd]	ggutegtek
ggute[N][Abs][2DuPoss][PlPosd]	ggutetek
ggute[N][Abs][2DuPoss][SgPosd]	gguteyek
ighnegh[N][Abs][2DuPoss][DuPosd]	ighneghegtek
ighnegh[N][Abs][2DuPoss][PlPosd]	ighnetek
ighnegh[N][Abs][2DuPoss][SgPosd]	ighneghtek
iigge[N][Abs][2DuPoss][DuPosd]	iiggegtek
iigge[N][Abs][2DuPoss][PlPosd]	iiggetek
iigge[N][Abs][2DuPoss][SgPosd]	iiggeyek
iye[N][Abs][2DuPoss][DuPosd]	iyegtek
iye[N][Abs][2DuPoss][PlPosd]	iyetek
iye[N][Abs][2DuPoss][SgPosd]	iyeyek
kemeg[N][Abs][2DuPoss][DuPosd]	kemgegtek
kemeg[N][Abs][2DuPoss][PlPosd]	kemetek
kemeg[N][Abs][2DuPoss][SgPosd]	kemegtek
mekelghiigh[N][Abs][2DuPoss][DuPosd]	mekelghiighegtek
mekelghiigh[N][Abs][2DuPoss][PlPosd]	mekelghiitek
mekelghiigh[N][Abs][2DuPoss][SgPosd]	mekelghiightek
mekestaaghhagh*[N][Abs][2DuPoss][DuPosd]	mekestaaghhaagtek
mekestaaghhagh*[N][Abs][2DuPoss][PlPosd]	mekestaaghhaghtek
mekestaaghhagh*[N][Abs][2DuPoss][SgPosd]	mekestaaghhaghtek
naa[N][Abs][2DuPoss][DuPosd]	naagtek
naa[N][Abs][2DuPoss][PlPosd]	naatek
naa[N][Abs][2DuPoss][SgPosd]	naayek
ne[N][Abs][2DuPoss][DuPosd]	negtek
ne[N][Abs][2DuPoss][PlPosd]	netek
ne[N][Abs][2DuPoss][SgPosd]	neyek
nengyugh*[N][Abs][2DuPoss][DuPosd]	nengyuugtek
nengyugh*[N][Abs][2DuPoss][PlPosd]	nengyughtek
nengyugh*[N][Abs][2DuPoss][SgPosd]	nengyughtek
nuliigh[N][Abs][2DuPoss][DuPosd]	nuliighegtek
nuliigh[N][Abs][2DuPoss][PlPosd]	nuliitek
nuliigh[N][Abs][2DuPoss][SgPosd]	nuliightek
nuyagh[N][Abs][2DuPoss][DuPosd]	nuyagtek
nuyagh[N][Abs][2DuPoss][PlPosd]	nuyatek
nuyagh[N][Abs][2DuPoss][SgPosd]	nuyaghtek
panig[N][Abs][2DuPoss][DuPosd]	panigegtek
panig[N][Abs][2DuPoss][PlPosd]	panitek
panig[N][Abs][2DuPoss][SgPosd]	panigtek
qiighw[N][Abs][2DuPoss][DuPosd]	qiighwegtek
qiighw[N][Abs][2DuPoss][PlPosd]	qiitek
qiighw[N][Abs][2DuPoss][SgPosd]	qiighwtek
seghlegh[N][Abs][2DuPoss][DuPosd]	seghleghegtek
seghlegh[N][Abs][2DuPoss][PlPosd]	seghletek
seghlegh[N][Abs][2DuPoss][SgPosd]	seghleghtek
sigute[N][Abs][2DuPoss][DuPosd]	sigutegtek
sigute[N][Abs][2DuPoss][PlPosd]	sigutetek
sigute[N][Abs][2DuPoss][SgPosd]	siguteyek
takestaaghhagh*[N][Abs][2DuPoss][DuPosd]	takestaaghhaagtek
takestaaghhagh*[N][Abs][2DuPoss][PlPosd]	takestaaghhaghtek
takestaaghhagh*[N][Abs][2DuPoss][SgPosd]	takestaaghhaghtek
ugi[N][Abs][2DuPoss][DuPosd]	ugigtek
ugi[N][Abs][2DuPoss][PlPosd]	ugitek
ugi[N][Abs][2DuPoss][SgPosd]	ugiyek
