aaw[N][Abs][2PlPoss][DuPosd]	aawegsi
aaw[N][Abs][2PlPoss][PlPosd]	aasi
aaw[N][Abs][2PlPoss][SgPosd]	aawsi
aghnaghagh*[N][Abs][2PlPoss][DuPosd]	aghnaghaagsi
aghnaghagh*[N][Abs][2PlPoss][PlPosd]	aghnaghaghsi
aghnaghagh*[N][Abs][2PlPoss][SgPosd]	aghnaghagh(s/z)i
angyagh[N][Abs][2PlPoss][DuPosd]	angyagsi
angyagh[N][Abs][2PlPoss][PlPosd]	angyasi
angyagh[N][Abs][2PlPoss][SgPosd]	angyaghsi
apa[N][Abs][2PlPoss][DuPosd]	apagsi
apa[N][Abs][2PlPoss][PlPosd]	apasi
apa[N][Abs][2PlPoss][SgPosd]	apazi
ata[N][Abs][2PlPoss][DuPosd]	atagsi
ata[N][Abs][2PlPoss][PlPosd]	atasi
ata[N][Abs][2PlPoss][SgPosd]	atazi
ategh[N][Abs][2PlPoss][DuPosd]	aatghegsi
ategh[N][Abs][2PlPoss][PlPosd]	atesi
ategh[N][Abs][2PlPoss][SgPosd]	ateghsi
avaqutagh[N][Abs][2PlPoss][DuPosd]	avaqutagsi
avaqutagh[N][Abs][2PlPoss][PlPosd]	avaqutasi
avaqutagh[N][Abs][2PlPoss][SgPosd]	avaqutaghsi
eltughagh*[N][Abs][2PlPoss][DuPosd]	eltughaagsi
eltughagh*[N][Abs][2PlPoss][PlPosd]	eltughaghsi
eltughagh*[N][Abs][2PlPoss][SgPosd]	eltughagh(s/z)i
ggute[N][Abs][2PlPoss][DuPosd]	ggutegsi
ggute[N][Abs][2PlPoss][PlPosd]	ggutesi
ggute[N][Abs][2PlPoss][SgPosd]	ggutezi
ighnegh[N][Abs][2PlPoss][DuPosd]	ighneghegsi
ighnegh[N][Abs][2PlPoss][PlPosd]	ighnesi
ighnegh[N][Abs][2PlPoss][SgPosd]	ighneghsi
iigge[N][Abs][2PlPoss][DuPosd]	iiggegsi
iigge[N][Abs][2PlPoss][PlPosd]	iiggesi
iigge[N][Abs][2PlPoss][SgPosd]	iiggezi
iye[N][Abs][2PlPoss][DuPosd]	iyegsi
iye[N][Abs][2PlPoss][PlPosd]	iyesi
iye[N][Abs][2PlPoss][SgPosd]	iyezi
kemeg[N][Abs][2PlPoss][DuPosd]	kemgegsi
kemeg[N][Abs][2PlPoss][PlPosd]	kemesi
kemeg[N][Abs][2PlPoss][SgPosd]	kemegsi
mekelghiigh[N][Abs][2PlPoss][DuPosd]	mekelghiighegsi
mekelghiigh[N][Abs][2PlPoss][PlPosd]	mekelghiisi
mekelghiigh[N][Abs][2PlPoss][SgPosd]	mekelghiighsi
mekestaaghhagh*[N][Abs][2PlPoss][DuPosd]	mekestaaghhaagsi
mekestaaghhagh*[N][Abs][2PlPoss][PlPosd]	mekestaaghhaghsi
mekestaaghhagh*[N][Abs][2PlPoss][SgPosd]	mekestaaghhagh(s/z)i
naa[N][Abs][2PlPoss][DuPosd]	naagsi
naa[N][Abs][2PlPoss][PlPosd]	naasi
naa[N][Abs][2PlPoss][SgPosd]	naazi
ne[N][Abs][2PlPoss][DuPosd]	negsi
ne[N][Abs][2PlPoss][PlPosd]	nesi
ne[N][Abs][2PlPoss][SgPosd]	nezi
nengyugh*[N][Abs][2PlPoss][DuPosd]	nengyuugsi
nengyugh*[N][Abs][2PlPoss][PlPosd]	nengyughsi
nengyugh*[N][Abs][2PlPoss][SgPosd]	nengyugh(s/z)i
nuliigh[N][Abs][2PlPoss][DuPosd]	nuliighegsi
nuliigh[N][Abs][2PlPoss][PlPosd]	nuliisi
nuliigh[N][Abs][2PlPoss][SgPosd]	nuliighsi
nuyagh[N][Abs][2PlPoss][DuPosd]	nuyagsi
nuyagh[N][Abs][2PlPoss][PlPosd]	nuyasi
nuyagh[N][Abs][2PlPoss][SgPosd]	nuyaghsi
panig[N][Abs][2PlPoss][DuPosd]	panigegsi
panig[N][Abs][2PlPoss][PlPosd]	panisi
panig[N][Abs][2PlPoss][SgPosd]	panigsi
qiighw[N][Abs][2PlPoss][DuPosd]	qiighwegsi
qiighw[N][Abs][2PlPoss][PlPosd]	qiisi
qiighw[N][Abs][2PlPoss][SgPosd]	qiighwsi
seghlegh[N][Abs][2PlPoss][DuPosd]	seghleghegsi
seghlegh[N][Abs][2PlPoss][PlPosd]	seghlesi
seghlegh[N][Abs][2PlPoss][SgPosd]	seghleghsi
sigute[N][Abs][2PlPoss][DuPosd]	sigutegsi
sigute[N][Abs][2PlPoss][PlPosd]	sigutesi
sigute[N][Abs][2PlPoss][SgPosd]	sigutezi
takestaaghhagh*[N][Abs][2PlPoss][DuPosd]	takestaaghhaagsi
takestaaghhagh*[N][Abs][2PlPoss][PlPosd]	takestaaghhaghsi
takestaaghhagh*[N][Abs][2PlPoss][SgPosd]	takestaaghhagh(s/z)i
ugi[N][Abs][2PlPoss][DuPosd]	ugigsi
ugi[N][Abs][2PlPoss][PlPosd]	ugisi
ugi[N][Abs][2PlPoss][SgPosd]	ugizi
