aaw[N][Abs][2DuPoss][DuPosd]	aawegtek
aaw[N][Abs][2DuPoss][PlPosd]	aatek
aaw[N][Abs][2DuPoss][SgPosd]	aawtek
aaw[N][Abs][2PlPoss][DuPosd]	aawegsi
aaw[N][Abs][2PlPoss][PlPosd]	aasi
aaw[N][Abs][2PlPoss][SgPosd]	aawsi
aaw[N][Abs][2SgPoss][DuPosd]	aawegken
aaw[N][Abs][2SgPoss][PlPosd]	aawten
aaw[N][Abs][2SgPoss][SgPosd]	aawen
aghnaghagh*[N][Abs][2DuPoss][DuPosd]	aghnaghaagtek
aghnaghagh*[N][Abs][2DuPoss][PlPosd]	aghnaghatek
aghnaghagh*[N][Abs][2DuPoss][SgPosd]	aghnaghaghtek
aghnaghagh*[N][Abs][2PlPoss][DuPosd]	aghnaghaagsi
aghnaghagh*[N][Abs][2PlPoss][PlPosd]	aghnaghasi
aghnaghagh*[N][Abs][2PlPoss][SgPosd]	aghnaghaghsi
aghnaghagh*[N][Abs][2SgPoss][DuPosd]	aghnaghaagken
aghnaghagh*[N][Abs][2SgPoss][PlPosd]	aghnaghaghten
aghnaghagh*[N][Abs][2SgPoss][SgPosd]	aghnaghaan
angyagh[N][Abs][2DuPoss][DuPosd]	angyagtek
angyagh[N][Abs][2DuPoss][PlPosd]	angyatek
angyagh[N][Abs][2DuPoss][SgPosd]	angyaghtek
angyagh[N][Abs][2PlPoss][DuPosd]	angyagsi
angyagh[N][Abs][2PlPoss][PlPosd]	angyasi
angyagh[N][Abs][2PlPoss][SgPosd]	angyaghsi
angyagh[N][Abs][2SgPoss][DuPosd]	angyagken
angyagh[N][Abs][2SgPoss][PlPosd]	angyaghten
angyagh[N][Abs][2SgPoss][SgPosd]	angyan
apa[N][Abs][2DuPoss][DuPosd]	apagtek
apa[N][Abs][2DuPoss][PlPosd]	apatek
apa[N][Abs][2DuPoss][SgPosd]	apayek
apa[N][Abs][2PlPoss][DuPosd]	apagsi
apa[N][Abs][2PlPoss][PlPosd]	apasi
apa[N][Abs][2PlPoss][SgPosd]	apazi
apa[N][Abs][2SgPoss][DuPosd]	apagken
apa[N][Abs][2SgPoss][PlPosd]	apaten
apa[N][Abs][2SgPoss][SgPosd]	apan
ata[N][Abs][2DuPoss][DuPosd]	atagtek
ata[N][Abs][2DuPoss][PlPosd]	atatek
ata[N][Abs][2DuPoss][SgPosd]	atayek
ata[N][Abs][2PlPoss][DuPosd]	atagsi
ata[N][Abs][2PlPoss][PlPosd]	atasi
ata[N][Abs][2PlPoss][SgPosd]	atazi
ata[N][Abs][2SgPoss][DuPosd]	atagken
ata[N][Abs][2SgPoss][PlPosd]	ataten
ata[N][Abs][2SgPoss][SgPosd]	atan
ategh[N][Abs][2DuPoss][DuPosd]	aatghegtek
ategh[N][Abs][2DuPoss][PlPosd]	atetek
ategh[N][Abs][2DuPoss][SgPosd]	ateghtek
ategh[N][Abs][2PlPoss][DuPosd]	aatghegsi
ategh[N][Abs][2PlPoss][PlPosd]	atesi
ategh[N][Abs][2PlPoss][SgPosd]	ateghsi
ategh[N][Abs][2SgPoss][DuPosd]	aatghegken
ategh[N][Abs][2SgPoss][PlPosd]	ateghten
ategh[N][Abs][2SgPoss][SgPosd]	aatghen
avaqutagh[N][Abs][2DuPoss][DuPosd]	avaqutagtek
avaqutagh[N][Abs][2DuPoss][PlPosd]	avaqutatek
avaqutagh[N][Abs][2DuPoss][SgPosd]	avaqutaghtek
avaqutagh[N][Abs][2PlPoss][DuPosd]	avaqutagsi
avaqutagh[N][Abs][2PlPoss][PlPosd]	avaqutasi
avaqutagh[N][Abs][2PlPoss][SgPosd]	avaqutaghsi
avaqutagh[N][Abs][2SgPoss][DuPosd]	avaqutagken
avaqutagh[N][Abs][2SgPoss][PlPosd]	avaqutaghten
avaqutagh[N][Abs][2SgPoss][SgPosd]	avaqutan
eltughagh*[N][Abs][2DuPoss][DuPosd]	eltughaagtek
eltughagh*[N][Abs][2DuPoss][PlPosd]	eltughatek
eltughagh*[N][Abs][2DuPoss][SgPosd]	eltughaghtek
eltughagh*[N][Abs][2PlPoss][DuPosd]	eltughaagsi
eltughagh*[N][Abs][2PlPoss][PlPosd]	eltughasi
eltughagh*[N][Abs][2PlPoss][SgPosd]	eltughaghsi
eltughagh*[N][Abs][2SgPoss][DuPosd]	eltughaagken
eltughagh*[N][Abs][2SgPoss][PlPosd]	eltughaghten
eltughagh*[N][Abs][2SgPoss][SgPosd]	eltughaan
ggute[N][Abs][2DuPoss][DuPosd]	ggutegtek
ggute[N][Abs][2DuPoss][PlPosd]	ggutetek
ggute[N][Abs][2DuPoss][SgPosd]	gguteyek
ggute[N][Abs][2PlPoss][DuPosd]	ggutegsi
ggute[N][Abs][2PlPoss][PlPosd]	ggutesi
ggute[N][Abs][2PlPoss][SgPosd]	ggutezi
ggute[N][Abs][2SgPoss][DuPosd]	ggutegken
ggute[N][Abs][2SgPoss][PlPosd]	gguteten
ggute[N][Abs][2SgPoss][SgPosd]	gguten
ighnegh[N][Abs][2DuPoss][DuPosd]	ighneghegtek
ighnegh[N][Abs][2DuPoss][PlPosd]	ighnetek
ighnegh[N][Abs][2DuPoss][SgPosd]	ighneghtek
ighnegh[N][Abs][2PlPoss][DuPosd]	ighneghegsi
ighnegh[N][Abs][2PlPoss][PlPosd]	ighnesi
ighnegh[N][Abs][2PlPoss][SgPosd]	ighneghsi
ighnegh[N][Abs][2SgPoss][DuPosd]	ighneghegken
ighnegh[N][Abs][2SgPoss][PlPosd]	ighneghten
ighnegh[N][Abs][2SgPoss][SgPosd]	ighneghen
iigge[N][Abs][2DuPoss][DuPosd]	iiggegtek
iigge[N][Abs][2DuPoss][PlPosd]	iiggetek
iigge[N][Abs][2DuPoss][SgPosd]	iiggeyek
iigge[N][Abs][2PlPoss][DuPosd]	iiggegsi
iigge[N][Abs][2PlPoss][PlPosd]	iiggesi
iigge[N][Abs][2PlPoss][SgPosd]	iiggezi
iigge[N][Abs][2SgPoss][DuPosd]	iiggegken
iigge[N][Abs][2SgPoss][PlPosd]	iiggeten
iigge[N][Abs][2SgPoss][SgPosd]	iiggen
iye[N][Abs][2DuPoss][DuPosd]	iyegtek
iye[N][Abs][2DuPoss][PlPosd]	iyetek
iye[N][Abs][2DuPoss][SgPosd]	iyeyek
iye[N][Abs][2PlPoss][DuPosd]	iyegsi
iye[N][Abs][2PlPoss][PlPosd]	iyesi
iye[N][Abs][2PlPoss][SgPosd]	iyezi
iye[N][Abs][2SgPoss][DuPosd]	iyegken
iye[N][Abs][2SgPoss][PlPosd]	iyeten
iye[N][Abs][2SgPoss][SgPosd]	iyen
kemeg[N][Abs][2DuPoss][DuPosd]	kemgegtek
kemeg[N][Abs][2DuPoss][PlPosd]	kemetek
kemeg[N][Abs][2DuPoss][SgPosd]	kemegtek
kemeg[N][Abs][2PlPoss][DuPosd]	kemgegsi
kemeg[N][Abs][2PlPoss][PlPosd]	kemesi
kemeg[N][Abs][2PlPoss][SgPosd]	kemegsi
kemeg[N][Abs][2SgPoss][DuPosd]	kemgegken
kemeg[N][Abs][2SgPoss][PlPosd]	kemegten
kemeg[N][Abs][2SgPoss][SgPosd]	kemgen
mekelghiigh[N][Abs][2DuPoss][DuPosd]	mekelghiighegtek
mekelghiigh[N][Abs][2DuPoss][PlPosd]	mekelghiitek
mekelghiigh[N][Abs][2DuPoss][SgPosd]	mekelghiightek
mekelghiigh[N][Abs][2PlPoss][DuPosd]	mekelghiighegsi
mekelghiigh[N][Abs][2PlPoss][PlPosd]	mekelghiisi
mekelghiigh[N][Abs][2PlPoss][SgPosd]	mekelghiighsi
mekelghiigh[N][Abs][2SgPoss][DuPosd]	mekelghiighegken
mekelghiigh[N][Abs][2SgPoss][PlPosd]	mekelghiighten
mekelghiigh[N][Abs][2SgPoss][SgPosd]	mekelghiighen
mekestaaghhagh*[N][Abs][2DuPoss][DuPosd]	mekestaaghhaagtek
mekestaaghhagh*[N][Abs][2DuPoss][PlPosd]	mekestaaghhatek
mekestaaghhagh*[N][Abs][2DuPoss][SgPosd]	mekestaaghhaghtek
mekestaaghhagh*[N][Abs][2PlPoss][DuPosd]	mekestaaghhaagsi
mekestaaghhagh*[N][Abs][2PlPoss][PlPosd]	mekestaaghhasi
mekestaaghhagh*[N][Abs][2PlPoss][SgPosd]	mekestaaghhaghsi
mekestaaghhagh*[N][Abs][2SgPoss][DuPosd]	mekestaaghhaagken
mekestaaghhagh*[N][Abs][2SgPoss][PlPosd]	mekestaaghhaghten
mekestaaghhagh*[N][Abs][2SgPoss][SgPosd]	mekestaaghhaan
naa[N][Abs][2DuPoss][DuPosd]	naagtek
naa[N][Abs][2DuPoss][PlPosd]	naatek
naa[N][Abs][2DuPoss][SgPosd]	naayek
naa[N][Abs][2PlPoss][DuPosd]	naagsi
naa[N][Abs][2PlPoss][PlPosd]	naasi
naa[N][Abs][2PlPoss][SgPosd]	naazi
naa[N][Abs][2SgPoss][DuPosd]	naagken
naa[N][Abs][2SgPoss][PlPosd]	naaten
naa[N][Abs][2SgPoss][SgPosd]	naan
ne[N][Abs][2DuPoss][DuPosd]	negtek
ne[N][Abs][2DuPoss][PlPosd]	netek
ne[N][Abs][2DuPoss][SgPosd]	neyek
ne[N][Abs][2PlPoss][DuPosd]	negsi
ne[N][Abs][2PlPoss][PlPosd]	nesi
ne[N][Abs][2PlPoss][SgPosd]	nezi
ne[N][Abs][2SgPoss][DuPosd]	negken
ne[N][Abs][2SgPoss][PlPosd]	neten
ne[N][Abs][2SgPoss][SgPosd]	nen
nengyugh*[N][Abs][2DuPoss][DuPosd]	nengyuugtek
nengyugh*[N][Abs][2DuPoss][PlPosd]	nengyutek
nengyugh*[N][Abs][2DuPoss][SgPosd]	nengyughtek
nengyugh*[N][Abs][2PlPoss][DuPosd]	nengyuugsi
nengyugh*[N][Abs][2PlPoss][PlPosd]	nengyusi
nengyugh*[N][Abs][2PlPoss][SgPosd]	nengyughsi
nengyugh*[N][Abs][2SgPoss][DuPosd]	nengyuugken
nengyugh*[N][Abs][2SgPoss][PlPosd]	nengyughten
nengyugh*[N][Abs][2SgPoss][SgPosd]	nengyuun
nuliigh[N][Abs][2DuPoss][DuPosd]	nuliighegtek
nuliigh[N][Abs][2DuPoss][PlPosd]	nuliitek
nuliigh[N][Abs][2DuPoss][SgPosd]	nuliightek
nuliigh[N][Abs][2PlPoss][DuPosd]	nuliighegsi
nuliigh[N][Abs][2PlPoss][PlPosd]	nuliisi
nuliigh[N][Abs][2PlPoss][SgPosd]	nuliighsi
nuliigh[N][Abs][2SgPoss][DuPosd]	nuliighegken
nuliigh[N][Abs][2SgPoss][PlPosd]	nuliighten
nuliigh[N][Abs][2SgPoss][SgPosd]	nuliighen
nuyagh[N][Abs][2DuPoss][DuPosd]	nuyagtek
nuyagh[N][Abs][2DuPoss][PlPosd]	nuyatek
nuyagh[N][Abs][2DuPoss][SgPosd]	nuyaghtek
nuyagh[N][Abs][2PlPoss][DuPosd]	nuyagsi
nuyagh[N][Abs][2PlPoss][PlPosd]	nuyasi
nuyagh[N][Abs][2PlPoss][SgPosd]	nuyaghsi
nuyagh[N][Abs][2SgPoss][DuPosd]	nuyagken
nuyagh[N][Abs][2SgPoss][PlPosd]	nuyaghten
nuyagh[N][Abs][2SgPoss][SgPosd]	nuyan
panig[N][Abs][2DuPoss][DuPosd]	panigegtek
panig[N][Abs][2DuPoss][PlPosd]	panitek
panig[N][Abs][2DuPoss][SgPosd]	panigtek
panig[N][Abs][2PlPoss][DuPosd]	panigegsi
panig[N][Abs][2PlPoss][PlPosd]	panisi
panig[N][Abs][2PlPoss][SgPosd]	panigsi
panig[N][Abs][2SgPoss][DuPosd]	panigegken
panig[N][Abs][2SgPoss][PlPosd]	panigten
panig[N][Abs][2SgPoss][SgPosd]	panigen
qiighw[N][Abs][2DuPoss][DuPosd]	qiighwegtek
qiighw[N][Abs][2DuPoss][PlPosd]	qiitek
qiighw[N][Abs][2DuPoss][SgPosd]	qiighwtek
qiighw[N][Abs][2PlPoss][DuPosd]	qiighwegsi
qiighw[N][Abs][2PlPoss][PlPosd]	qiisi
qiighw[N][Abs][2PlPoss][SgPosd]	qiighwsi
qiighw[N][Abs][2SgPoss][DuPosd]	qiighwegken
qiighw[N][Abs][2SgPoss][PlPosd]	qiighwten
qiighw[N][Abs][2SgPoss][SgPosd]	qiighwen
seghlegh[N][Abs][2DuPoss][DuPosd]	seghleghegtek
seghlegh[N][Abs][2DuPoss][PlPosd]	seghletek
seghlegh[N][Abs][2DuPoss][SgPosd]	seghleghtek
seghlegh[N][Abs][2PlPoss][DuPosd]	seghleghegsi
seghlegh[N][Abs][2PlPoss][PlPosd]	seghlesi
seghlegh[N][Abs][2PlPoss][SgPosd]	seghleghsi
seghlegh[N][Abs][2SgPoss][DuPosd]	seghleghegken
seghlegh[N][Abs][2SgPoss][PlPosd]	seghleghten
seghlegh[N][Abs][2SgPoss][SgPosd]	seghleghen
sigute[N][Abs][2DuPoss][DuPosd]	sigutegtek
sigute[N][Abs][2DuPoss][PlPosd]	sigutetek
