aaw[N][Abs][2SgPoss][DuPosd]	aawegken
aaw[N][Abs][2SgPoss][PlPosd]	aawten
aaw[N][Abs][2SgPoss][SgPosd]	aawen
aghnaghagh*[N][Abs][2SgPoss][DuPosd]	aghnaghaagken
aghnaghagh*[N][Abs][2SgPoss][PlPosd]	aghnaghaghten
aghnaghagh*[N][Abs][2SgPoss][SgPosd]	aghnaghaan
angyagh[N][Abs][2SgPoss][DuPosd]	angyagken
angyagh[N][Abs][2SgPoss][PlPosd]	angyaghten
angyagh[N][Abs][2SgPoss][SgPosd]	angyan
apa[N][Abs][2SgPoss][DuPosd]	apagken
apa[N][Abs][2SgPoss][PlPosd]	apaten
apa[N][Abs][2SgPoss][SgPosd]	apan
ata[N][Abs][2SgPoss][DuPosd]	atagken
ata[N][Abs][2SgPoss][PlPosd]	ataten
ata[N][Abs][2SgPoss][SgPosd]	atan
ategh[N][Abs][2SgPoss][DuPosd]	aatghegken
ategh[N][Abs][2SgPoss][PlPosd]	ateghten
ategh[N][Abs][2SgPoss][SgPosd]	aatghen
avaqutagh[N][Abs][2SgPoss][DuPosd]	avaqutagken
avaqutagh[N][Abs][2SgPoss][PlPosd]	avaqutaghten
avaqutagh[N][Abs][2SgPoss][SgPosd]	avaqutan
eltughagh*[N][Abs][2SgPoss][DuPosd]	eltughaagken
eltughagh*[N][Abs][2SgPoss][PlPosd]	eltughaghten
eltughagh*[N][Abs][2SgPoss][SgPosd]	eltughaan
ggute[N][Abs][2SgPoss][DuPosd]	ggutegken
ggute[N][Abs][2SgPoss][PlPosd]	gguteten
ggute[N][Abs][2SgPoss][SgPosd]	gguten
ighnegh[N][Abs][2SgPoss][DuPosd]	ighneghegken
ighnegh[N][Abs][2SgPoss][PlPosd]	ighneghten
ighnegh[N][Abs][2SgPoss][SgPosd]	ighneghen
iigge[N][Abs][2SgPoss][DuPosd]	iiggegken
iigge[N][Abs][2SgPoss][PlPosd]	iiggeten
iigge[N][Abs][2SgPoss][SgPosd]	iiggen
iye[N][Abs][2SgPoss][DuPosd]	iyegken
iye[N][Abs][2SgPoss][PlPosd]	iyeten
iye[N][Abs][2SgPoss][SgPosd]	iyen
kemeg[N][Abs][2SgPoss][DuPosd]	kemgegken
kemeg[N][Abs][2SgPoss][PlPosd]	kemegten
kemeg[N][Abs][2SgPoss][SgPosd]	kemgen
mekelghiigh[N][Abs][2SgPoss][DuPosd]	mekelghiighegken
mekelghiigh[N][Abs][2SgPoss][PlPosd]	mekelghiighten
mekelghiigh[N][Abs][2SgPoss][SgPosd]	mekelghiighen
mekestaaghhagh*[N][Abs][2SgPoss][DuPosd]	mekestaaghhaagken
mekestaaghhagh*[N][Abs][2SgPoss][PlPosd]	mekestaaghhaghten
mekestaaghhagh*[N][Abs][2SgPoss][SgPosd]	mekestaaghhaan
naa[N][Abs][2SgPoss][DuPosd]	naagken
naa[N][Abs][2SgPoss][PlPosd]	naaten
naa[N][Abs][2SgPoss][SgPosd]	naan
ne[N][Abs][2SgPoss][DuPosd]	negken
ne[N][Abs][2SgPoss][PlPosd]	neten
ne[N][Abs][2SgPoss][SgPosd]	nen
nengyugh*[N][Abs][2SgPoss][DuPosd]	nengyuugken
nengyugh*[N][Abs][2SgPoss][PlPosd]	nengyughten
nengyugh*[N][Abs][2SgPoss][SgPosd]	nengyuun
nuliigh[N][Abs][2SgPoss][DuPosd]	nuliighegken
nuliigh[N][Abs][2SgPoss][PlPosd]	nuliighten
nuliigh[N][Abs][2SgPoss][SgPosd]	nuliighen
nuyagh[N][Abs][2SgPoss][DuPosd]	nuyagken
nuyagh[N][Abs][2SgPoss][PlPosd]	nuyaghten
nuyagh[N][Abs][2SgPoss][SgPosd]	nuyan
panig[N][Abs][2SgPoss][DuPosd]	panigegken
panig[N][Abs][2SgPoss][PlPosd]	panigten
panig[N][Abs][2SgPoss][SgPosd]	panigen
qiighw[N][Abs][2SgPoss][DuPosd]	qiighwegken
qiighw[N][Abs][2SgPoss][PlPosd]	qiighwten
qiighw[N][Abs][2SgPoss][SgPosd]	qiighwen
seghlegh[N][Abs][2SgPoss][DuPosd]	seghleghegken
seghlegh[N][Abs][2SgPoss][PlPosd]	seghleghten
seghlegh[N][Abs][2SgPoss][SgPosd]	seghleghen
sigute[N][Abs][2SgPoss][DuPosd]	sigutegken
sigute[N][Abs][2SgPoss][PlPosd]	siguteten
sigute[N][Abs][2SgPoss][SgPosd]	siguten
takestaaghhagh*[N][Abs][2SgPoss][DuPosd]	takestaaghhaagken
takestaaghhagh*[N][Abs][2SgPoss][PlPosd]	takestaaghhaghten
takestaaghhagh*[N][Abs][2SgPoss][SgPosd]	takestaaghhaan
ugi[N][Abs][2SgPoss][DuPosd]	ugigken
ugi[N][Abs][2SgPoss][PlPosd]	ugiten
ugi[N][Abs][2SgPoss][SgPosd]	ugin
