aghnaghagh*[N][Abl_Mod][Unpd][Sg]	aghnaghaghmeng
aaw[N][Abl_Mod][Unpd][Sg]	aawmeng
ape[N][Abl_Mod][Unpd][Sg]	aapmeng
ata[N][Abl_Mod][Unpd][Sg]	atameng
avaqutagh[N][Abl_Mod][Unpd][Sg]	avaqutameng
eltughagh*[N][Abl_Mod][Unpd][Sg]	eltughaghmeng
iigge[N][Abl_Mod][Unpd][Sg]	iiggmeng
ighnegh[N][Abl_Mod][Unpd][Sg]	ighneghmeng
mekestaaghhagh*[N][Abl_Mod][Unpd][Sg]	mekestaaghhaghmeng
mekelghiigh[N][Abl_Mod][Unpd][Sg]	mekelghiighmeng
naa[N][Abl_Mod][Unpd][Sg]	naameng
nengyugh*[N][Abl_Mod][Unpd][Sg]	nengyughmeng
nuliigh[N][Abl_Mod][Unpd][Sg]	nuliighmeng
nuyagh[N][Abl_Mod][Unpd][Sg]	nuyameng
panig[N][Abl_Mod][Unpd][Sg]	panigmeng
seghlegh[N][Abl_Mod][Unpd][Sg]	seghleghmeng
takestaaghhagh*[N][Abl_Mod][Unpd][Sg]	takestaaghhaghmeng
ugi[N][Abl_Mod][Unpd][Sg]	ugimeng
