aakagh*[N][Abs][Du]	aakaak
aakagh*[N][Abs][Pl]	aakaat
aakagh*[N][Abs][Sg]	aakaq
anengagh[N][Abs][Du]	anengak
anengagh[N][Abs][Pl]	anengat
anengagh[N][Abs][Sg]	anengaq
elngaatall[N][Abs][Du]	elngaatallek
elngaatall[N][Abs][Pl]	elngaatallet
elngaatall[N][Abs][Sg]	elngaatall
estugagh*[N][Abs][Du]	estugaak
estugagh*[N][Abs][Pl]	estugaat
estugagh*[N][Abs][Sg]	estugaq
igaghvig[N][Abs][Du]	igaghvigek
igaghvig[N][Abs][Pl]	igaghviget
igaghvig[N][Abs][Sg]	igaghvik
itegagh[N][Abs][Du]	itegak
itegagh[N][Abs][Pl]	itegat
itegagh[N][Abs][Sg]	itegaq
iyaghvig[N][Abs][Du]	iyaghvigek
iyaghvig[N][Abs][Pl]	iyaghviget
iyaghvig[N][Abs][Sg]	iyaghvik
naasqugh[N][Abs][Du]	naasquk
naasqugh[N][Abs][Pl]	naasqut
naasqugh[N][Abs][Sg]	naasquq
nayag[N][Abs][Du]	nayagek
nayag[N][Abs][Pl]	nayaget
nayag[N][Abs][Sg]	nayak
ngelqagh[N][Abs][Du]	ngelqak
ngelqagh[N][Abs][Pl]	ngelqat
ngelqagh[N][Abs][Sg]	ngelqaq
nunivag[N][Abs][Du]	nunivagek
nunivag[N][Abs][Pl]	nunivaget
nunivag[N][Abs][Sg]	nunivak
papeg[N][Abs][Du]	paapgek
papeg[N][Abs][Pl]	paapget
papeg[N][Abs][Sg]	papek
puu[N][Abs][Du]	puuk
puu[N][Abs][Pl]	puut
puu[N][Abs][Sg]	puu
qanegh[N][Abs][Du]	qaanghek
qanegh[N][Abs][Pl]	qaanghet
qanegh[N][Abs][Sg]	qaneq
qengagh[N][Abs][Du]	qengak
qengagh[N][Abs][Pl]	qengat
qengagh[N][Abs][Sg]	qengaq
quunpeng[N][Abs][Du]	quunpengek
quunpeng[N][Abs][Pl]	quunpenget
quunpeng[N][Abs][Sg]	quunpeng
suflugagh[N][Abs][Du]	suflugak
suflugagh[N][Abs][Pl]	suflugat
suflugagh[N][Abs][Sg]	suflugaq
tepe[N][Abs][Du]	tepek
tepe[N][Abs][Pl]	tepet
tepe[N][Abs][Sg]	tepa
tukugh*[N][Abs][Du]	tukuuk
tukugh*[N][Abs][Pl]	tukuut
tukugh*[N][Abs][Sg]	tukuq
tume[N][Abs][Du]	tumek
tume[N][Abs][Pl]	tumet
tume[N][Abs][Sg]	tuma
unaami[N][Abs][Du]	unaamik
unaami[N][Abs][Pl]	unaamit
unaami[N][Abs][Sg]	unaami
uyughagh*[N][Abs][Du]	uyughaak
uyughagh*[N][Abs][Pl]	uyughaat
uyughagh*[N][Abs][Sg]	uyughaq
yughaghvig[N][Abs][Du]	yughaghvigek
yughaghvig[N][Abs][Pl]	yughaghviget
yughaghvig[N][Abs][Sg]	yughaghvik
